method,n_real,n_syn,seed,class,f1
rule,2,40,3,worn,0.5695364238410596
random_open_loop,2,40,3,healthy,0.7649402390438247
random_open_loop,2,40,3,worn,0.6242038216560509
LLM_synthetic,2,40,3,healthy,0.732824427480916
LLM_synthetic,2,40,3,worn,0.5205479452054794
real_only,2,10,4,healthy,0.7487684729064039
real_only,2,10,4,worn,0.751219512195122
noise_aug,2,10,4,healthy,0.6595744680851063
noise_aug,2,10,4,worn,0.7090909090909091
rule,2,10,4,healthy,0.8275862068965517
rule,2,10,4,worn,0.7727272727272727
random_open_loop,2,10,4,healthy,0.8240343347639485
random_open_loop,2,10,4,worn,0.7657142857142857
LLM_synthetic,2,10,4,healthy,0.8205128205128205
LLM_synthetic,2,10,4,worn,0.7586206896551724
real_only,2,20,4,healthy,0.7942583732057417
real_only,2,20,4,worn,0.7839195979899497
noise_aug,2,20,4,healthy,0.6766169154228856
noise_aug,2,20,4,worn,0.6859903381642513
rule,2,20,4,healthy,0.8205128205128205
rule,2,20,4,worn,0.7586206896551724
random_open_loop,2,20,4,healthy,0.810126582278481
random_open_loop,2,20,4,worn,0.7368421052631579
LLM_synthetic,2,20,4,healthy,0.8
LLM_synthetic,2,20,4,worn,0.7142857142857143
real_only,2,40,4,healthy,0.782608695652174
real_only,2,40,4,worn,0.7761194029850746
noise_aug,2,40,4,healthy,0.7596153846153846
noise_aug,2,40,4,worn,0.75
rule,2,40,4,healthy,0.8135593220338984
rule,2,40,4,worn,0.7441860465116279
random_open_loop,2,40,4,healthy,0.8
random_open_loop,2,40,4,worn,0.7142857142857143
LLM_synthetic,2,40,4,healthy,0.8067226890756303
LLM_synthetic,2,40,4,worn,0.7294117647058823
real_only,2,10,5,healthy,0.7397260273972602
real_only,2,10,5,worn,0.6984126984126984
noise_aug,2,10,5,healthy,0.7217391304347827
noise_aug,2,10,5,worn,0.6404494382022472
rule,2,10,5,healthy,0.8426395939086294
rule,2,10,5,worn,0.8530805687203792
random_open_loop,2,10,5,healthy,0.7685185185185185
random_open_loop,2,10,5,worn,0.7395833333333334
LLM_synthetic,2,10,5,healthy,0.7545454545454545
LLM_synthetic,2,10,5,worn,0.7127659574468085
real_only,2,20,5,healthy,0.7431192660550459
real_only,2,20,5,worn,0.7052631578947368
noise_aug,2,20,5,healthy,0.7522935779816514
