baseline,n_real,seed,actual,predicted,n
metadata_safe,2,5,healthy,healthy,8
metadata_safe,2,5,healthy,worn,0
metadata_safe,2,5,worn,healthy,9
metadata_safe,2,5,worn,worn,0
metadata_leaky_diagnostic,2,5,healthy,healthy,8
metadata_leaky_diagnostic,2,5,healthy,worn,0
metadata_leaky_diagnostic,2,5,worn,healthy,5
metadata_leaky_diagnostic,2,5,worn,worn,4
real_only,2,5,healthy,healthy,8
real_only,2,5,healthy,worn,0
real_only,2,5,worn,healthy,9
real_only,2,5,worn,worn,0
noise_aug,2,5,healthy,healthy,8
noise_aug,2,5,healthy,worn,0
noise_aug,2,5,worn,healthy,9
noise_aug,2,5,worn,worn,0
random_open_loop,2,5,healthy,healthy,8
random_open_loop,2,5,healthy,worn,0
random_open_loop,2,5,worn,healthy,9
random_open_loop,2,5,worn,worn,0
rule,2,5,healthy,healthy,8
rule,2,5,healthy,worn,0
rule,2,5,worn,healthy,9
rule,2,5,worn,worn,0
majority,2,6,healthy,healthy,8
majority,2,6,healthy,worn,0
majority,2,6,worn,healthy,9
majority,2,6,worn,worn,0
metadata_safe,2,6,healthy,healthy,0
metadata_safe,2,6,healthy,worn,8
metadata_safe,2,6,worn,healthy,0
metadata_safe,2,6,worn,worn,9
metadata_leaky_diagnostic,2,6,healthy,healthy,6
metadata_leaky_diagnostic,2,6,healthy,worn,2
metadata_leaky_diagnostic,2,6,worn,healthy,2
metadata_leaky_diagnostic,2,6,worn,worn,7
real_only,2,6,healthy,healthy,8
real_only,2,6,healthy,worn,0
real_only,2,6,worn,healthy,7
real_only,2,6,worn,worn,2
noise_aug,2,6,healthy,healthy,8
noise_aug,2,6,healthy,worn,0
noise_aug,2,6,worn,healthy,6
noise_aug,2,6,worn,worn,3
random_open_loop,2,6,healthy,healthy,8
random_open_loop,2,6,healthy,worn,0
random_open_loop,2,6,worn,healthy,4
random_open_loop,2,6,worn,worn,5
rule,2,6,healthy,healthy,8
rule,2,6,healthy,worn,0
rule,2,6,worn,healthy,5
rule,2,6,worn,worn,4
majority,2,7,healthy,healthy,8
majority,2,7,healthy,worn,0
majority,2,7,worn,healthy,9
majority,2,7,worn,worn,0
metadata_safe,2,7,healthy,healthy,8
metadata_safe,2,7,healthy,worn,0
metadata_safe,2,7,worn,healthy,9
metadata_safe,2,7,worn,worn,0
metadata_leaky_diagnostic,2,7,healthy,healthy,7
metadata_leaky_diagnostic,2,7,healthy,worn,1
metadata_leaky_diagnostic,2,7,worn,healthy,5
metadata_leaky_diagnostic,2,7,worn,worn,4
real_only,2,7,healthy,healthy,8
real_only,2,7,healthy,worn,0
real_only,2,7,worn,healthy,5
real_only,2,7,worn,worn,4
noise_aug,2,7,healthy,healthy,8
noise_aug,2,7,healthy,worn,0
noise_aug,2,7,worn,healthy,5
noise_aug,2,7,worn,worn,4
random_open_loop,2,7,healthy,healthy,8
random_open_loop,2,7,healthy,worn,0
random_open_loop,2,7,worn,healthy,5
random_open_loop,2,7,worn,worn,4
rule,2,7,healthy,healthy,8
rule,2,7,healthy,worn,0
rule,2,7,worn,healthy,5
rule,2,7,worn,worn,4
majority,2,8,healthy,healthy,8
majority,2,8,healthy,worn,0
majority,2,8,worn,healthy,9
majority,2,8,worn,worn,0
metadata_safe,2,8,healthy,healthy,4
metadata_safe,2,8,healthy,worn,4
metadata_safe,2,8,worn,healthy,4
metadata_safe,2,8,worn,worn,5
metadata_leaky_diagnostic,2,8,healthy,healthy,6
metadata_leaky_diagnostic,2,8,healthy,worn,2
metadata_leaky_diagnostic,2,8,worn,healthy,4
metadata_leaky_diagnostic,2,8,worn,worn,5
real_only,2,8,healthy,healthy,8
real_only,2,8,healthy,worn,0
real_only,2,8,worn,healthy,5
real_only,2,8,worn,worn,4
noise_aug,2,8,healthy,healthy,8
noise_aug,2,8,healthy,worn,0
noise_aug,2,8,worn,healthy,5
noise_aug,2,8,worn,worn,4
random_open_loop,2,8,healthy,healthy,7
random_open_loop,2,8,healthy,worn,1
random_open_loop,2,8,worn,healthy,1
random_open_loop,2,8,worn,worn,8
rule,2,8,healthy,healthy,8
rule,2,8,healthy,worn,0
rule,2,8,worn,healthy,5
rule,2,8,worn,worn,4
majority,2,9,healthy,healthy,8
majority,2,9,healthy,worn,0
majority,2,9,worn,healthy,9
majority,2,9,worn,worn,0
metadata_safe,2,9,healthy,healthy,4
metadata_safe,2,9,healthy,worn,4
metadata_safe,2,9,worn,healthy,5
metadata_safe,2,9,worn,worn,4
metadata_leaky_diagnostic,2,9,healthy,healthy,5
metadata_leaky_diagnostic,2,9,healthy,worn,3
metadata_leaky_diagnostic,2,9,worn,healthy,3
metadata_leaky_diagnostic,2,9,worn,worn,6
real_only,2,9,healthy,healthy,8
real_only,2,9,healthy,worn,0
real_only,2,9,worn,healthy,6
real_only,2,9,worn,worn,3
noise_aug,2,9,healthy,healthy,8
noise_aug,2,9,healthy,worn,0
noise_aug,2,9,worn,healthy,6
noise_aug,2,9,worn,worn,3
random_open_loop,2,9,healthy,healthy,8
random_open_loop,2,9,healthy,worn,0
random_open_loop,2,9,worn,healthy,5
random_open_loop,2,9,worn,worn,4
rule,2,9,healthy,healthy,8
rule,2,9,healthy,worn,0
rule,2,9,worn,healthy,4
rule,2,9,worn,worn,5
majority,2,10,healthy,healthy,8
majority,2,10,healthy,worn,0
majority,2,10,worn,healthy,9
majority,2,10,worn,worn,0
metadata_safe,2,10,healthy,healthy,0
metadata_safe,2,10,healthy,worn,8
metadata_safe,2,10,worn,healthy,0
metadata_safe,2,10,worn,worn,9
metadata_leaky_diagnostic,2,10,healthy,healthy,4
metadata_leaky_diagnostic,2,10,healthy,worn,4
metadata_leaky_diagnostic,2,10,worn,healthy,0
metadata_leaky_diagnostic,2,10,worn,worn,9
real_only,2,10,healthy,healthy,8
real_only,2,10,healthy,worn,0
real_only,2,10,worn,healthy,4
real_only,2,10,worn,worn,5
noise_aug,2,10,healthy,healthy,4
noise_aug,2,10,healthy,worn,4
noise_aug,2,10,worn,healthy,5
noise_aug,2,10,worn,worn,4
random_open_loop,2,10,healthy,healthy,6
random_open_loop,2,10,healthy,worn,2
random_open_loop,2,10,worn,healthy,5
random_open_loop,2,10,worn,worn,4
rule,2,10,healthy,healthy,8
rule,2,10,healthy,worn,0
rule,2,10,worn,healthy,8
rule,2,10,worn,worn,1
majority,2,11,healthy,healthy,8
majority,2,11,healthy,worn,0
majority,2,11,worn,healthy,9
majority,2,11,worn,worn,0
metadata_safe,2,11,healthy,healthy,8
metadata_safe,2,11,healthy,worn,0
metadata_safe,2,11,worn,healthy,9
metadata_safe,2,11,worn,worn,0
metadata_leaky_diagnostic,2,11,healthy,healthy,4
metadata_leaky_diagnostic,2,11,healthy,worn,4
metadata_leaky_diagnostic,2,11,worn,healthy,2
metadata_leaky_diagnostic,2,11,worn,worn,7
real_only,2,11,healthy,healthy,8
real_only,2,11,healthy,worn,0
real_only,2,11,worn,healthy,5
real_only,2,11,worn,worn,4
noise_aug,2,11,healthy,healthy,8
noise_aug,2,11,healthy,worn,0
noise_aug,2,11,worn,healthy,5
