baseline,n_real,seed,actual,predicted,n
random_open_loop,5,5,healthy,healthy,8
random_open_loop,5,5,healthy,worn,0
random_open_loop,5,5,worn,healthy,7
random_open_loop,5,5,worn,worn,2
rule,5,5,healthy,healthy,8
rule,5,5,healthy,worn,0
rule,5,5,worn,healthy,9
rule,5,5,worn,worn,0
majority,5,6,healthy,healthy,8
majority,5,6,healthy,worn,0
majority,5,6,worn,healthy,9
majority,5,6,worn,worn,0
metadata_safe,5,6,healthy,healthy,4
metadata_safe,5,6,healthy,worn,4
metadata_safe,5,6,worn,healthy,5
metadata_safe,5,6,worn,worn,4
metadata_leaky_diagnostic,5,6,healthy,healthy,5
metadata_leaky_diagnostic,5,6,healthy,worn,3
metadata_leaky_diagnostic,5,6,worn,healthy,0
metadata_leaky_diagnostic,5,6,worn,worn,9
real_only,5,6,healthy,healthy,8
real_only,5,6,healthy,worn,0
real_only,5,6,worn,healthy,3
real_only,5,6,worn,worn,6
noise_aug,5,6,healthy,healthy,8
noise_aug,5,6,healthy,worn,0
noise_aug,5,6,worn,healthy,3
noise_aug,5,6,worn,worn,6
random_open_loop,5,6,healthy,healthy,8
random_open_loop,5,6,healthy,worn,0
random_open_loop,5,6,worn,healthy,6
random_open_loop,5,6,worn,worn,3
rule,5,6,healthy,healthy,8
rule,5,6,healthy,worn,0
rule,5,6,worn,healthy,4
rule,5,6,worn,worn,5
majority,5,7,healthy,healthy,8
majority,5,7,healthy,worn,0
majority,5,7,worn,healthy,9
majority,5,7,worn,worn,0
metadata_safe,5,7,healthy,healthy,8
metadata_safe,5,7,healthy,worn,0
metadata_safe,5,7,worn,healthy,9
metadata_safe,5,7,worn,worn,0
metadata_leaky_diagnostic,5,7,healthy,healthy,6
metadata_leaky_diagnostic,5,7,healthy,worn,2
metadata_leaky_diagnostic,5,7,worn,healthy,0
metadata_leaky_diagnostic,5,7,worn,worn,9
real_only,5,7,healthy,healthy,8
real_only,5,7,healthy,worn,0
real_only,5,7,worn,healthy,5
real_only,5,7,worn,worn,4
noise_aug,5,7,healthy,healthy,8
noise_aug,5,7,healthy,worn,0
noise_aug,5,7,worn,healthy,5
noise_aug,5,7,worn,worn,4
random_open_loop,5,7,healthy,healthy,8
random_open_loop,5,7,healthy,worn,0
random_open_loop,5,7,worn,healthy,5
random_open_loop,5,7,worn,worn,4
rule,5,7,healthy,healthy,8
rule,5,7,healthy,worn,0
rule,5,7,worn,healthy,5
rule,5,7,worn,worn,4
majority,5,8,healthy,healthy,8
majority,5,8,healthy,worn,0
majority,5,8,worn,healthy,9
majority,5,8,worn,worn,0
metadata_safe,5,8,healthy,healthy,0
metadata_safe,5,8,healthy,worn,8
metadata_safe,5,8,worn,healthy,0
metadata_safe,5,8,worn,worn,9
metadata_leaky_diagnostic,5,8,healthy,healthy,6
metadata_leaky_diagnostic,5,8,healthy,worn,2
metadata_leaky_diagnostic,5,8,worn,healthy,0
metadata_leaky_diagnostic,5,8,worn,worn,9
real_only,5,8,healthy,healthy,8
real_only,5,8,healthy,worn,0
real_only,5,8,worn,healthy,3
real_only,5,8,worn,worn,6
noise_aug,5,8,healthy,healthy,8
noise_aug,5,8,healthy,worn,0
noise_aug,5,8,worn,healthy,3
noise_aug,5,8,worn,worn,6
random_open_loop,5,8,healthy,healthy,8
random_open_loop,5,8,healthy,worn,0
random_open_loop,5,8,worn,healthy,3
random_open_loop,5,8,worn,worn,6
rule,5,8,healthy,healthy,8
rule,5,8,healthy,worn,0
rule,5,8,worn,healthy,5
rule,5,8,worn,worn,4
majority,5,9,healthy,healthy,8
majority,5,9,healthy,worn,0
majority,5,9,worn,healthy,9
majority,5,9,worn,worn,0
metadata_safe,5,9,healthy,healthy,8
metadata_safe,5,9,healthy,worn,0
metadata_safe,5,9,worn,healthy,9
metadata_safe,5,9,worn,worn,0
metadata_leaky_diagnostic,5,9,healthy,healthy,8
metadata_leaky_diagnostic,5,9,healthy,worn,0
metadata_leaky_diagnostic,5,9,worn,healthy,4
metadata_leaky_diagnostic,5,9,worn,worn,5
real_only,5,9,healthy,healthy,8
real_only,5,9,healthy,worn,0
real_only,5,9,worn,healthy,5
real_only,5,9,worn,worn,4
noise_aug,5,9,healthy,healthy,8
noise_aug,5,9,healthy,worn,0
noise_aug,5,9,worn,healthy,5
noise_aug,5,9,worn,worn,4
random_open_loop,5,9,healthy,healthy,8
random_open_loop,5,9,healthy,worn,0
random_open_loop,5,9,worn,healthy,4
random_open_loop,5,9,worn,worn,5
rule,5,9,healthy,healthy,8
rule,5,9,healthy,worn,0
rule,5,9,worn,healthy,7
rule,5,9,worn,worn,2
majority,5,10,healthy,healthy,8
majority,5,10,healthy,worn,0
majority,5,10,worn,healthy,9
majority,5,10,worn,worn,0
metadata_safe,5,10,healthy,healthy,8
metadata_safe,5,10,healthy,worn,0
metadata_safe,5,10,worn,healthy,9
metadata_safe,5,10,worn,worn,0
metadata_leaky_diagnostic,5,10,healthy,healthy,8
metadata_leaky_diagnostic,5,10,healthy,worn,0
metadata_leaky_diagnostic,5,10,worn,healthy,0
metadata_leaky_diagnostic,5,10,worn,worn,9
real_only,5,10,healthy,healthy,8
real_only,5,10,healthy,worn,0
real_only,5,10,worn,healthy,5
real_only,5,10,worn,worn,4
noise_aug,5,10,healthy,healthy,8
noise_aug,5,10,healthy,worn,0
noise_aug,5,10,worn,healthy,5
noise_aug,5,10,worn,worn,4
random_open_loop,5,10,healthy,healthy,8
random_open_loop,5,10,healthy,worn,0
random_open_loop,5,10,worn,healthy,5
random_open_loop,5,10,worn,worn,4
rule,5,10,healthy,healthy,8
rule,5,10,healthy,worn,0
rule,5,10,worn,healthy,9
rule,5,10,worn,worn,0
majority,5,11,healthy,healthy,8
majority,5,11,healthy,worn,0
majority,5,11,worn,healthy,9
majority,5,11,worn,worn,0
metadata_safe,5,11,healthy,healthy,8
metadata_safe,5,11,healthy,worn,0
metadata_safe,5,11,worn,healthy,9
metadata_safe,5,11,worn,worn,0
metadata_leaky_diagnostic,5,11,healthy,healthy,6
metadata_leaky_diagnostic,5,11,healthy,worn,2
metadata_leaky_diagnostic,5,11,worn,healthy,0
metadata_leaky_diagnostic,5,11,worn,worn,9
real_only,5,11,healthy,healthy,8
real_only,5,11,healthy,worn,0
real_only,5,11,worn,healthy,4
real_only,5,11,worn,worn,5
noise_aug,5,11,healthy,healthy,8
noise_aug,5,11,healthy,worn,0
noise_aug,5,11,worn,healthy,5
noise_aug,5,11,worn,worn,4
random_open_loop,5,11,healthy,healthy,8
random_open_loop,5,11,healthy,worn,0
random_open_loop,5,11,worn,healthy,5
random_open_loop,5,11,worn,worn,4
rule,5,11,healthy,healthy,8
rule,5,11,healthy,worn,0
rule,5,11,worn,healthy,5
rule,5,11,worn,worn,4
majority,5,12,healthy,healthy,8
majority,5,12,healthy,worn,0
majority,5,12,worn,healthy,9
majority,5,12,worn,worn,0
metadata_safe,5,12,healthy,healthy,4
metadata_safe,5,12,healthy,worn,4
metadata_safe,5,12,worn,healthy,5
metadata_safe,5,12,worn,worn,4
metadata_leaky_diagnostic,5,12,healthy,healthy,6
metadata_leaky_diagnostic,5,12,healthy,worn,2
metadata_leaky_diagnostic,5,12,worn,healthy,1
metadata_leaky_diagnostic,5,12,worn,worn,8
real_only,5,12,healthy,healthy,8
real_only,5,12,healthy,worn,0
real_only,5,12,worn,healthy,5
real_only,5,12,worn,worn,4
noise_aug,5,12,healthy,healthy,8
noise_aug,5,12,healthy,worn,0
noise_aug,5,12,worn,healthy,5
noise_aug,5,12,worn,worn,4
random_open_loop,5,12,healthy,healthy,8
random_open_loop,5,12,healthy,worn,0
random_open_loop,5,12,worn,healthy,8
random_open_loop,5,12,worn,worn,1
rule,5,12,healthy,healthy,8
rule,5,12,healthy,worn,0
rule,5,12,worn,healthy,6
rule,5,12,worn,worn,3
majority,5,13,healthy,healthy,8
majority,5,13,healthy,worn,0
majority,5,13,worn,healthy,9
majority,5,13,worn,worn,0
metadata_safe,5,13,healthy,healthy,8
metadata_safe,5,13,healthy,worn,0
metadata_safe,5,13,worn,healthy,9
metadata_safe,5,13,worn,worn,0
metadata_leaky_diagnostic,5,13,healthy,healthy,6
metadata_leaky_diagnostic,5,13,healthy,worn,2
metadata_leaky_diagnostic,5,13,worn,healthy,2
metadata_leaky_diagnostic,5,13,worn,worn,7
real_only,5,13,healthy,healthy,8
real_only,5,13,healthy,worn,0
real_only,5,13,worn,healthy,2
real_only,5,13,worn,worn,7
noise_aug,5,13,healthy,healthy,8
noise_aug,5,13,healthy,worn,0
noise_aug,5,13,worn,healthy,2
noise_aug,5,13,worn,worn,7
random_open_loop,5,13,healthy,healthy,8
random_open_loop,5,13,healthy,worn,0
random_open_loop,5,13,worn,healthy,5
random_open_loop,5,13,worn,worn,4
rule,5,13,healthy,healthy,8
rule,5,13,healthy,worn,0
rule,5,13,worn,healthy,5
rule,5,13,worn,worn,4
majority,5,14,healthy,healthy,8
majority,5,14,healthy,worn,0
majority,5,14,worn,healthy,9
majority,5,14,worn,worn,0
metadata_safe,5,14,healthy,healthy,4
metadata_safe,5,14,healthy,worn,4
metadata_safe,5,14,worn,healthy,4
metadata_safe,5,14,worn,worn,5
metadata_leaky_diagnostic,5,14,healthy,healthy,6
metadata_leaky_diagnostic,5,14,healthy,worn,2
metadata_leaky_diagnostic,5,14,worn,healthy,2
metadata_leaky_diagnostic,5,14,worn,worn,7
real_only,5,14,healthy,healthy,8
real_only,5,14,healthy,worn,0
real_only,5,14,worn,healthy,0
real_only,5,14,worn,worn,9
noise_aug,5,14,healthy,healthy,8
noise_aug,5,14,healthy,worn,0
noise_aug,5,14,worn,healthy,1
noise_aug,5,14,worn,worn,8
random_open_loop,5,14,healthy,healthy,8
random_open_loop,5,14,healthy,worn,0
random_open_loop,5,14,worn,healthy,0
random_open_loop,5,14,worn,worn,9
rule,5,14,healthy,healthy,8
rule,5,14,healthy,worn,0
rule,5,14,worn,healthy,5
rule,5,14,worn,worn,4
majority,5,15,healthy,healthy,8
majority,5,15,healthy,worn,0
majority,5,15,worn,healthy,9
majority,5,15,worn,worn,0
metadata_safe,5,15,healthy,healthy,4
metadata_safe,5,15,healthy,worn,4
metadata_safe,5,15,worn,healthy,4
metadata_safe,5,15,worn,worn,5
metadata_leaky_diagnostic,5,15,healthy,healthy,6
metadata_leaky_diagnostic,5,15,healthy,worn,2
metadata_leaky_diagnostic,5,15,worn,healthy,2
metadata_leaky_diagnostic,5,15,worn,worn,7
real_only,5,15,healthy,healthy,8
real_only,5,15,healthy,worn,0
real_only,5,15,worn,healthy,3
real_only,5,15,worn,worn,6
noise_aug,5,15,healthy,healthy,8
noise_aug,5,15,healthy,worn,0
noise_aug,5,15,worn,healthy,3
noise_aug,5,15,worn,worn,6
random_open_loop,5,15,healthy,healthy,8
random_open_loop,5,15,healthy,worn,0
random_open_loop,5,15,worn,healthy,3
random_open_loop,5,15,worn,worn,6
rule,5,15,healthy,healthy,8
rule,5,15,healthy,worn,0
rule,5,15,worn,healthy,5
rule,5,15,worn,worn,4
majority,5,16,healthy,healthy,8
majority,5,16,healthy,worn,0
majority,5,16,worn,healthy,9
majority,5,16,worn,worn,0
metadata_safe,5,16,healthy,healthy,4
metadata_safe,5,16,healthy,worn,4
metadata_safe,5,16,worn,healthy,5
metadata_safe,5,16,worn,worn,4
metadata_leaky_diagnostic,5,16,healthy,healthy,6
metadata_leaky_diagnostic,5,16,healthy,worn,2
metadata_leaky_diagnostic,5,16,worn,healthy,0
metadata_leaky_diagnostic,5,16,worn,worn,9
real_only,5,16,healthy,healthy,8
real_only,5,16,healthy,worn,0
real_only,5,16,worn,healthy,6
real_only,5,16,worn,worn,3
noise_aug,5,16,healthy,healthy,8
noise_aug,5,16,healthy,worn,0
noise_aug,5,16,worn,healthy,5
noise_aug,5,16,worn,worn,4
random_open_loop,5,16,healthy,healthy,7
random_open_loop,5,16,healthy,worn,1
random_open_loop,5,16,worn,healthy,6
random_open_loop,5,16,worn,worn,3
rule,5,16,healthy,healthy,8
rule,5,16,healthy,worn,0
rule,5,16,worn,healthy,5
rule,5,16,worn,worn,4
majority,5,17,healthy,healthy,8
majority,5,17,healthy,worn,0
majority,5,17,worn,healthy,9
majority,5,17,worn,worn,0
metadata_safe,5,17,healthy,healthy,4
metadata_safe,5,17,healthy,worn,4
metadata_safe,5,17,worn,healthy,4
metadata_safe,5,17,worn,worn,5
metadata_leaky_diagnostic,5,17,healthy,healthy,6
metadata_leaky_diagnostic,5,17,healthy,worn,2
metadata_leaky_diagnostic,5,17,worn,healthy,0
metadata_leaky_diagnostic,5,17,worn,worn,9
real_only,5,17,healthy,healthy,8
real_only,5,17,healthy,worn,0
real_only,5,17,worn,healthy,5
real_only,5,17,worn,worn,4
noise_aug,5,17,healthy,healthy,8
noise_aug,5,17,healthy,worn,0
noise_aug,5,17,worn,healthy,3
noise_aug,5,17,worn,worn,6
random_open_loop,5,17,healthy,healthy,8
random_open_loop,5,17,healthy,worn,0
random_open_loop,5,17,worn,healthy,6
random_open_loop,5,17,worn,worn,3
rule,5,17,healthy,healthy,8
rule,5,17,healthy,worn,0
rule,5,17,worn,healthy,5
rule,5,17,worn,worn,4
majority,5,18,healthy,healthy,8
majority,5,18,healthy,worn,0
majority,5,18,worn,healthy,9
majority,5,18,worn,worn,0
metadata_safe,5,18,healthy,healthy,0
metadata_safe,5,18,healthy,worn,8
metadata_safe,5,18,worn,healthy,0
metadata_safe,5,18,worn,worn,9
metadata_leaky_diagnostic,5,18,healthy,healthy,6
metadata_leaky_diagnostic,5,18,healthy,worn,2
metadata_leaky_diagnostic,5,18,worn,healthy,3
metadata_leaky_diagnostic,5,18,worn,worn,6
real_only,5,18,healthy,healthy,8
real_only,5,18,healthy,worn,0
real_only,5,18,worn,healthy,5
real_only,5,18,worn,worn,4
noise_aug,5,18,healthy,healthy,8
noise_aug,5,18,healthy,worn,0
noise_aug,5,18,worn,healthy,5
noise_aug,5,18,worn,worn,4
random_open_loop,5,18,healthy,healthy,8
random_open_loop,5,18,healthy,worn,0
random_open_loop,5,18,worn,healthy,4
random_open_loop,5,18,worn,worn,5
rule,5,18,healthy,healthy,8
rule,5,18,healthy,worn,0
rule,5,18,worn,healthy,5
rule,5,18,worn,worn,4
majority,5,19,healthy,healthy,8
majority,5,19,healthy,worn,0
majority,5,19,worn,healthy,9
majority,5,19,worn,worn,0
metadata_safe,5,19,healthy,healthy,4
metadata_safe,5,19,healthy,worn,4
metadata_safe,5,19,worn,healthy,5
metadata_safe,5,19,worn,worn,4
metadata_leaky_diagnostic,5,19,healthy,healthy,4
metadata_leaky_diagnostic,5,19,healthy,worn,4
metadata_leaky_diagnostic,5,19,worn,healthy,1
metadata_leaky_diagnostic,5,19,worn,worn,8
real_only,5,19,healthy,healthy,8
real_only,5,19,healthy,worn,0
real_only,5,19,worn,healthy,3
real_only,5,19,worn,worn,6
noise_aug,5,19,healthy,healthy,8
noise_aug,5,19,healthy,worn,0
noise_aug,5,19,worn,healthy,2
noise_aug,5,19,worn,worn,7
random_open_loop,5,19,healthy,healthy,8
random_open_loop,5,19,healthy,worn,0
random_open_loop,5,19,worn,healthy,6
random_open_loop,5,19,worn,worn,3
rule,5,19,healthy,healthy,8
rule,5,19,healthy,worn,0
rule,5,19,worn,healthy,4
rule,5,19,worn,worn,5
majority,10,0,healthy,healthy,8
majority,10,0,healthy,worn,0
majority,10,0,worn,healthy,9
majority,10,0,worn,worn,0
metadata_safe,10,0,healthy,healthy,0
metadata_safe,10,0,healthy,worn,8
metadata_safe,10,0,worn,healthy,0
metadata_safe,10,0,worn,worn,9
metadata_leaky_diagnostic,10,0,healthy,healthy,8
metadata_leaky_diagnostic,10,0,healthy,worn,0
metadata_leaky_diagnostic,10,0,worn,healthy,0
metadata_leaky_diagnostic,10,0,worn,worn,9
real_only,10,0,healthy,healthy,8
real_only,10,0,healthy,worn,0
real_only,10,0,worn,healthy,2
real_only,10,0,worn,worn,7
noise_aug,10,0,healthy,healthy,8
noise_aug,10,0,healthy,worn,0
noise_aug,10,0,worn,healthy,2
noise_aug,10,0,worn,worn,7
random_open_loop,10,0,healthy,healthy,8
random_open_loop,10,0,healthy,worn,0
random_open_loop,10,0,worn,healthy,3
random_open_loop,10,0,worn,worn,6
rule,10,0,healthy,healthy,8
rule,10,0,healthy,worn,0
rule,10,0,worn,healthy,5
rule,10,0,worn,worn,4
majority,10,1,healthy,healthy,8
majority,10,1,healthy,worn,0
majority,10,1,worn,healthy,9
majority,10,1,worn,worn,0
metadata_safe,10,1,healthy,healthy,8
metadata_safe,10,1,healthy,worn,0
metadata_safe,10,1,worn,healthy,9
metadata_safe,10,1,worn,worn,0
metadata_leaky_diagnostic,10,1,healthy,healthy,6
metadata_leaky_diagnostic,10,1,healthy,worn,2
metadata_leaky_diagnostic,10,1,worn,healthy,0
metadata_leaky_diagnostic,10,1,worn,worn,9
real_only,10,1,healthy,healthy,8
real_only,10,1,healthy,worn,0
real_only,10,1,worn,healthy,3
real_only,10,1,worn,worn,6
noise_aug,10,1,healthy,healthy,8
noise_aug,10,1,healthy,worn,0
noise_aug,10,1,worn,healthy,3
noise_aug,10,1,worn,worn,6
random_open_loop,10,1,healthy,healthy,8
random_open_loop,10,1,healthy,worn,0
random_open_loop,10,1,worn,healthy,4
random_open_loop,10,1,worn,worn,5
rule,10,1,healthy,healthy,8
rule,10,1,healthy,worn,0
rule,10,1,worn,healthy,5
rule,10,1,worn,worn,4
majority,10,2,healthy,healthy,8
majority,10,2,healthy,worn,0
majority,10,2,worn,healthy,9
majority,10,2,worn,worn,0
metadata_safe,10,2,healthy,healthy,4
metadata_safe,10,2,healthy,worn,4
metadata_safe,10,2,worn,healthy,4
metadata_safe,10,2,worn,worn,5
metadata_leaky_diagnostic,10,2,healthy,healthy,6
metadata_leaky_diagnostic,10,2,healthy,worn,2
metadata_leaky_diagnostic,10,2,worn,healthy,0
metadata_leaky_diagnostic,10,2,worn,worn,9
real_only,10,2,healthy,healthy,8
real_only,10,2,healthy,worn,0
real_only,10,2,worn,healthy,4
real_only,10,2,worn,worn,5
noise_aug,10,2,healthy,healthy,8
noise_aug,10,2,healthy,worn,0
noise_aug,10,2,worn,healthy,4
noise_aug,10,2,worn,worn,5
random_open_loop,10,2,healthy,healthy,8
random_open_loop,10,2,healthy,worn,0
random_open_loop,10,2,worn,healthy,5
random_open_loop,10,2,worn,worn,4
rule,10,2,healthy,healthy,8
rule,10,2,healthy,worn,0
rule,10,2,worn,healthy,5
rule,10,2,worn,worn,4
majority,10,3,healthy,healthy,8
majority,10,3,healthy,worn,0
majority,10,3,worn,healthy,9
majority,10,3,worn,worn,0
metadata_safe,10,3,healthy,healthy,8
metadata_safe,10,3,healthy,worn,0
metadata_safe,10,3,worn,healthy,9
metadata_safe,10,3,worn,worn,0
metadata_leaky_diagnostic,10,3,healthy,healthy,8
metadata_leaky_diagnostic,10,3,healthy,worn,0
metadata_leaky_diagnostic,10,3,worn,healthy,0
metadata_leaky_diagnostic,10,3,worn,worn,9
real_only,10,3,healthy,healthy,8
real_only,10,3,healthy,worn,0
real_only,10,3,worn,healthy,3
real_only,10,3,worn,worn,6
noise_aug,10,3,healthy,healthy,8
noise_aug,10,3,healthy,worn,0
noise_aug,10,3,worn,healthy,3
noise_aug,10,3,worn,worn,6
random_open_loop,10,3,healthy,healthy,8
random_open_loop,10,3,healthy,worn,0
random_open_loop,10,3,worn,healthy,5
random_open_loop,10,3,worn,worn,4
rule,10,3,healthy,healthy,8
rule,10,3,healthy,worn,0
rule,10,3,worn,healthy,5
rule,10,3,worn,worn,4
majority,10,4,healthy,healthy,8
majority,10,4,healthy,worn,0
majority,10,4,worn,healthy,9
majority,10,4,worn,worn,0
metadata_safe,10,4,healthy,healthy,0
metadata_safe,10,4,healthy,worn,8
metadata_safe,10,4,worn,healthy,0
metadata_safe,10,4,worn,worn,9
metadata_leaky_diagnostic,10,4,healthy,healthy,8
metadata_leaky_diagnostic,10,4,healthy,worn,0
metadata_leaky_diagnostic,10,4,worn,healthy,0
metadata_leaky_diagnostic,10,4,worn,worn,9
real_only,10,4,healthy,healthy,8
real_only,10,4,healthy,worn,0
real_only,10,4,worn,healthy,3
real_only,10,4,worn,worn,6
noise_aug,10,4,healthy,healthy,8
noise_aug,10,4,healthy,worn,0
noise_aug,10,4,worn,healthy,3
noise_aug,10,4,worn,worn,6
random_open_loop,10,4,healthy,healthy,8
random_open_loop,10,4,healthy,worn,0
random_open_loop,10,4,worn,healthy,4
random_open_loop,10,4,worn,worn,5
rule,10,4,healthy,healthy,8
rule,10,4,healthy,worn,0
rule,10,4,worn,healthy,5
rule,10,4,worn,worn,4
majority,10,5,healthy,healthy,8
majority,10,5,healthy,worn,0
majority,10,5,worn,healthy,9
majority,10,5,worn,worn,0
metadata_safe,10,5,healthy,healthy,4
metadata_safe,10,5,healthy,worn,4
metadata_safe,10,5,worn,healthy,4
metadata_safe,10,5,worn,worn,5
metadata_leaky_diagnostic,10,5,healthy,healthy,8
metadata_leaky_diagnostic,10,5,healthy,worn,0
metadata_leaky_diagnostic,10,5,worn,healthy,0
metadata_leaky_diagnostic,10,5,worn,worn,9
real_only,10,5,healthy,healthy,8
real_only,10,5,healthy,worn,0
real_only,10,5,worn,healthy,3
real_only,10,5,worn,worn,6
noise_aug,10,5,healthy,healthy,8
noise_aug,10,5,healthy,worn,0
noise_aug,10,5,worn,healthy,3
noise_aug,10,5,worn,worn,6
random_open_loop,10,5,healthy,healthy,8
random_open_loop,10,5,healthy,worn,0
random_open_loop,10,5,worn,healthy,5
random_open_loop,10,5,worn,worn,4
rule,10,5,healthy,healthy,8
rule,10,5,healthy,worn,0
rule,10,5,worn,healthy,5
rule,10,5,worn,worn,4
majority,10,6,healthy,healthy,8
majority,10,6,healthy,worn,0
majority,10,6,worn,healthy,9
majority,10,6,worn,worn,0
metadata_safe,10,6,healthy,healthy,4
metadata_safe,10,6,healthy,worn,4
metadata_safe,10,6,worn,healthy,5
metadata_safe,10,6,worn,worn,4
metadata_leaky_diagnostic,10,6,healthy,healthy,8
metadata_leaky_diagnostic,10,6,healthy,worn,0
metadata_leaky_diagnostic,10,6,worn,healthy,0
metadata_leaky_diagnostic,10,6,worn,worn,9
real_only,10,6,healthy,healthy,8
real_only,10,6,healthy,worn,0
real_only,10,6,worn,healthy,4
real_only,10,6,worn,worn,5
noise_aug,10,6,healthy,healthy,8
noise_aug,10,6,healthy,worn,0
noise_aug,10,6,worn,healthy,3
noise_aug,10,6,worn,worn,6
random_open_loop,10,6,healthy,healthy,8
random_open_loop,10,6,healthy,worn,0
random_open_loop,10,6,worn,healthy,4
random_open_loop,10,6,worn,worn,5
rule,10,6,healthy,healthy,8
rule,10,6,healthy,worn,0
rule,10,6,worn,healthy,5
rule,10,6,worn,worn,4
majority,10,7,healthy,healthy,8
majority,10,7,healthy,worn,0
majority,10,7,worn,healthy,9
majority,10,7,worn,worn,0
metadata_safe,10,7,healthy,healthy,4
metadata_safe,10,7,healthy,worn,4
metadata_safe,10,7,worn,healthy,5
metadata_safe,10,7,worn,worn,4
metadata_leaky_diagnostic,10,7,healthy,healthy,6
metadata_leaky_diagnostic,10,7,healthy,worn,2
metadata_leaky_diagnostic,10,7,worn,healthy,0
metadata_leaky_diagnostic,10,7,worn,worn,9
real_only,10,7,healthy,healthy,8
real_only,10,7,healthy,worn,0
real_only,10,7,worn,healthy,6
real_only,10,7,worn,worn,3
noise_aug,10,7,healthy,healthy,8
noise_aug,10,7,healthy,worn,0
noise_aug,10,7,worn,healthy,4
noise_aug,10,7,worn,worn,5
random_open_loop,10,7,healthy,healthy,8
random_open_loop,10,7,healthy,worn,0
random_open_loop,10,7,worn,healthy,5
random_open_loop,10,7,worn,worn,4
rule,10,7,healthy,healthy,8
rule,10,7,healthy,worn,0
rule,10,7,worn,healthy,6
rule,10,7,worn,worn,3
majority,10,8,healthy,healthy,8
majority,10,8,healthy,worn,0
majority,10,8,worn,healthy,9
majority,10,8,worn,worn,0
metadata_safe,10,8,healthy,healthy,0
metadata_safe,10,8,healthy,worn,8
metadata_safe,10,8,worn,healthy,0
metadata_safe,10,8,worn,worn,9
metadata_leaky_diagnostic,10,8,healthy,healthy,6
metadata_leaky_diagnostic,10,8,healthy,worn,2
metadata_leaky_diagnostic,10,8,worn,healthy,0
metadata_leaky_diagnostic,10,8,worn,worn,9
real_only,10,8,healthy,healthy,8
real_only,10,8,healthy,worn,0
real_only,10,8,worn,healthy,3
real_only,10,8,worn,worn,6
noise_aug,10,8,healthy,healthy,8
noise_aug,10,8,healthy,worn,0
noise_aug,10,8,worn,healthy,4
noise_aug,10,8,worn,worn,5
random_open_loop,10,8,healthy,healthy,8
random_open_loop,10,8,healthy,worn,0
random_open_loop,10,8,worn,healthy,3
random_open_loop,10,8,worn,worn,6
rule,10,8,healthy,healthy,8
rule,10,8,healthy,worn,0
rule,10,8,worn,healthy,5
rule,10,8,worn,worn,4
majority,10,9,healthy,healthy,8
majority,10,9,healthy,worn,0
majority,10,9,worn,healthy,9
majority,10,9,worn,worn,0
metadata_safe,10,9,healthy,healthy,0
metadata_safe,10,9,healthy,worn,8
metadata_safe,10,9,worn,healthy,0
metadata_safe,10,9,worn,worn,9
metadata_leaky_diagnostic,10,9,healthy,healthy,6
metadata_leaky_diagnostic,10,9,healthy,worn,2
metadata_leaky_diagnostic,10,9,worn,healthy,0
metadata_leaky_diagnostic,10,9,worn,worn,9
real_only,10,9,healthy,healthy,8
real_only,10,9,healthy,worn,0
real_only,10,9,worn,healthy,4
real_only,10,9,worn,worn,5
noise_aug,10,9,healthy,healthy,8
noise_aug,10,9,healthy,worn,0
noise_aug,10,9,worn,healthy,4
noise_aug,10,9,worn,worn,5
random_open_loop,10,9,healthy,healthy,8
random_open_loop,10,9,healthy,worn,0
random_open_loop,10,9,worn,healthy,4
random_open_loop,10,9,worn,worn,5
rule,10,9,healthy,healthy,8
rule,10,9,healthy,worn,0
rule,10,9,worn,healthy,5
rule,10,9,worn,worn,4
majority,10,10,healthy,healthy,8
majority,10,10,healthy,worn,0
majority,10,10,worn,healthy,9
majority,10,10,worn,worn,0
metadata_safe,10,10,healthy,healthy,8
metadata_safe,10,10,healthy,worn,0
metadata_safe,10,10,worn,healthy,9
metadata_safe,10,10,worn,worn,0
metadata_leaky_diagnostic,10,10,healthy,healthy,8
metadata_leaky_diagnostic,10,10,healthy,worn,0
metadata_leaky_diagnostic,10,10,worn,healthy,0
metadata_leaky_diagnostic,10,10,worn,worn,9
real_only,10,10,healthy,healthy,8
real_only,10,10,healthy,worn,0
real_only,10,10,worn,healthy,3
real_only,10,10,worn,worn,6
noise_aug,10,10,healthy,healthy,8
noise_aug,10,10,healthy,worn,0
noise_aug,10,10,worn,healthy,3
noise_aug,10,10,worn,worn,6
random_open_loop,10,10,healthy,healthy,8
random_open_loop,10,10,healthy,worn,0
random_open_loop,10,10,worn,healthy,4
random_open_loop,10,10,worn,worn,5
rule,10,10,healthy,healthy,8
rule,10,10,healthy,worn,0
rule,10,10,worn,healthy,5
rule,10,10,worn,worn,4
majority,10,11,healthy,healthy,8
majority,10,11,healthy,worn,0
majority,10,11,worn,healthy,9
majority,10,11,worn,worn,0
metadata_safe,10,11,healthy,healthy,8
metadata_safe,10,11,healthy,worn,0
metadata_safe,10,11,worn,healthy,9
metadata_safe,10,11,worn,worn,0
metadata_leaky_diagnostic,10,11,healthy,healthy,6
metadata_leaky_diagnostic,10,11,healthy,worn,2
metadata_leaky_diagnostic,10,11,worn,healthy,0
metadata_leaky_diagnostic,10,11,worn,worn,9
real_only,10,11,healthy,healthy,8
real_only,10,11,healthy,worn,0
real_only,10,11,worn,healthy,7
real_only,10,11,worn,worn,2
