baseline,n_real,seed,acc,macro_f1,majority_acc_val,train_real_count
majority,2,0,0.47058823529411764,0.32,0.5294117647058824,4
metadata_safe,2,0,0.47058823529411764,0.32,0.5294117647058824,4
metadata_leaky_diagnostic,2,0,0.5882352941176471,0.5296442687747036,0.5294117647058824,4
real_only,2,0,0.47058823529411764,0.32,0.5294117647058824,4
noise_aug,2,0,0.5294117647058824,0.43333333333333335,0.5294117647058824,4
random_open_loop,2,0,0.7058823529411765,0.6886446886446886,0.5294117647058824,4
rule,2,0,0.6470588235294118,0.6136363636363636,0.5294117647058824,4
majority,2,1,0.47058823529411764,0.32,0.5294117647058824,4
metadata_safe,2,1,0.47058823529411764,0.47058823529411764,0.5294117647058824,4
metadata_leaky_diagnostic,2,1,0.6470588235294118,0.575,0.5294117647058824,4
real_only,2,1,0.47058823529411764,0.47058823529411764,0.5294117647058824,4
noise_aug,2,1,0.35294117647058826,0.343859649122807,0.5294117647058824,4
random_open_loop,2,1,0.5882352941176471,0.5824561403508772,0.5294117647058824,4
rule,2,1,0.6470588235294118,0.6458333333333333,0.5294117647058824,4
majority,2,2,0.47058823529411764,0.32,0.5294117647058824,4
metadata_safe,2,2,0.47058823529411764,0.47058823529411764,0.5294117647058824,4
metadata_leaky_diagnostic,2,2,0.5882352941176471,0.5824561403508772,0.5294117647058824,4
real_only,2,2,0.47058823529411764,0.32,0.5294117647058824,4
noise_aug,2,2,0.47058823529411764,0.32,0.5294117647058824,4
random_open_loop,2,2,0.5882352941176471,0.5296442687747036,0.5294117647058824,4
rule,2,2,0.47058823529411764,0.32,0.5294117647058824,4
majority,2,3,0.47058823529411764,0.32,0.5294117647058824,4
metadata_safe,2,3,0.5294117647058824,0.5277777777777778,0.5294117647058824,4
metadata_leaky_diagnostic,2,3,0.6470588235294118,0.6458333333333333,0.5294117647058824,4
real_only,2,3,0.7647058823529411,0.7571428571428571,0.5294117647058824,4
noise_aug,2,3,0.7647058823529411,0.7571428571428571,0.5294117647058824,4
random_open_loop,2,3,0.6470588235294118,0.6458333333333333,0.5294117647058824,4
rule,2,3,0.7647058823529411,0.7571428571428571,0.5294117647058824,4
majority,2,4,0.47058823529411764,0.32,0.5294117647058824,4
metadata_safe,2,4,0.5294117647058824,0.5277777777777778,0.5294117647058824,4
