baseline,n_real,seed,class,f1
random_open_loop,2,9,healthy,0.7619047619047619
random_open_loop,2,9,worn,0.6153846153846154
rule,2,9,healthy,0.8
rule,2,9,worn,0.7142857142857143
majority,2,10,healthy,0.64
majority,2,10,worn,0.0
metadata_safe,2,10,healthy,0.0
metadata_safe,2,10,worn,0.6923076923076923
metadata_leaky_diagnostic,2,10,healthy,0.6666666666666666
metadata_leaky_diagnostic,2,10,worn,0.8181818181818182
real_only,2,10,healthy,0.8
real_only,2,10,worn,0.7142857142857143
noise_aug,2,10,healthy,0.47058823529411764
noise_aug,2,10,worn,0.47058823529411764
random_open_loop,2,10,healthy,0.631578947368421
random_open_loop,2,10,worn,0.5333333333333333
rule,2,10,healthy,0.6666666666666666
rule,2,10,worn,0.2
majority,2,11,healthy,0.64
majority,2,11,worn,0.0
metadata_safe,2,11,healthy,0.64
metadata_safe,2,11,worn,0.0
metadata_leaky_diagnostic,2,11,healthy,0.5714285714285714
metadata_leaky_diagnostic,2,11,worn,0.7
real_only,2,11,healthy,0.7619047619047619
real_only,2,11,worn,0.6153846153846154
noise_aug,2,11,healthy,0.7619047619047619
noise_aug,2,11,worn,0.6153846153846154
random_open_loop,2,11,healthy,0.6956521739130435
random_open_loop,2,11,worn,0.36363636363636365
rule,2,11,healthy,0.7619047619047619
rule,2,11,worn,0.6153846153846154
majority,2,12,healthy,0.64
majority,2,12,worn,0.0
metadata_safe,2,12,healthy,0.5
metadata_safe,2,12,worn,0.5555555555555556
metadata_leaky_diagnostic,2,12,healthy,0.6666666666666666
metadata_leaky_diagnostic,2,12,worn,0.8181818181818182
real_only,2,12,healthy,0.8
real_only,2,12,worn,0.8421052631578947
noise_aug,2,12,healthy,0.8
noise_aug,2,12,worn,0.8421052631578947
random_open_loop,2,12,healthy,0.5
random_open_loop,2,12,worn,0.5555555555555556
rule,2,12,healthy,0.7272727272727273
rule,2,12,worn,0.5
majority,2,13,healthy,0.64
majority,2,13,worn,0.0
metadata_safe,2,13,healthy,0.47058823529411764
metadata_safe,2,13,worn,0.47058823529411764
metadata_leaky_diagnostic,2,13,healthy,0.4
metadata_leaky_diagnostic,2,13,worn,0.75
real_only,2,13,healthy,0.7
real_only,2,13,worn,0.5714285714285714
noise_aug,2,13,healthy,0.7619047619047619
noise_aug,2,13,worn,0.6153846153846154
random_open_loop,2,13,healthy,0.7619047619047619
random_open_loop,2,13,worn,0.6153846153846154
rule,2,13,healthy,0.7619047619047619
rule,2,13,worn,0.6153846153846154
majority,2,14,healthy,0.64
majority,2,14,worn,0.0
metadata_safe,2,14,healthy,0.64
metadata_safe,2,14,worn,0.0
metadata_leaky_diagnostic,2,14,healthy,0.7058823529411765
metadata_leaky_diagnostic,2,14,worn,0.7058823529411765
real_only,2,14,healthy,0.8
real_only,2,14,worn,0.7142857142857143
noise_aug,2,14,healthy,0.7619047619047619
noise_aug,2,14,worn,0.6153846153846154
random_open_loop,2,14,healthy,0.8
random_open_loop,2,14,worn,0.7142857142857143
rule,2,14,healthy,0.7619047619047619
rule,2,14,worn,0.6153846153846154
majority,2,15,healthy,0.64
majority,2,15,worn,0.0
metadata_safe,2,15,healthy,0.47058823529411764
metadata_safe,2,15,worn,0.47058823529411764
metadata_leaky_diagnostic,2,15,healthy,0.7619047619047619
metadata_leaky_diagnostic,2,15,worn,0.6153846153846154
real_only,2,15,healthy,0.64
real_only,2,15,worn,0.0
noise_aug,2,15,healthy,0.64
noise_aug,2,15,worn,0.0
random_open_loop,2,15,healthy,0.7272727272727273
random_open_loop,2,15,worn,0.5
rule,2,15,healthy,0.64
rule,2,15,worn,0.0
majority,2,16,healthy,0.64
majority,2,16,worn,0.0
metadata_safe,2,16,healthy,0.47058823529411764
metadata_safe,2,16,worn,0.47058823529411764
metadata_leaky_diagnostic,2,16,healthy,0.7368421052631579
metadata_leaky_diagnostic,2,16,worn,0.6666666666666666
real_only,2,16,healthy,0.64
real_only,2,16,worn,0.0
noise_aug,2,16,healthy,0.64
noise_aug,2,16,worn,0.0
random_open_loop,2,16,healthy,0.64
random_open_loop,2,16,worn,0.0
rule,2,16,healthy,0.64
rule,2,16,worn,0.0
majority,2,17,healthy,0.64
majority,2,17,worn,0.0
metadata_safe,2,17,healthy,0.64
metadata_safe,2,17,worn,0.0
metadata_leaky_diagnostic,2,17,healthy,0.75
metadata_leaky_diagnostic,2,17,worn,0.7777777777777778
real_only,2,17,healthy,0.6666666666666666
real_only,2,17,worn,0.2
noise_aug,2,17,healthy,0.6666666666666666
noise_aug,2,17,worn,0.2
random_open_loop,2,17,healthy,0.7619047619047619
random_open_loop,2,17,worn,0.6153846153846154
rule,2,17,healthy,0.6956521739130435
rule,2,17,worn,0.36363636363636365
majority,2,18,healthy,0.64
majority,2,18,worn,0.0
metadata_safe,2,18,healthy,0.47058823529411764
metadata_safe,2,18,worn,0.47058823529411764
metadata_leaky_diagnostic,2,18,healthy,0.47058823529411764
metadata_leaky_diagnostic,2,18,worn,0.47058823529411764
real_only,2,18,healthy,0.64
real_only,2,18,worn,0.0
noise_aug,2,18,healthy,0.64
noise_aug,2,18,worn,0.0
random_open_loop,2,18,healthy,0.6666666666666666
random_open_loop,2,18,worn,0.2
rule,2,18,healthy,0.6956521739130435
rule,2,18,worn,0.36363636363636365
majority,2,19,healthy,0.64
majority,2,19,worn,0.0
metadata_safe,2,19,healthy,0.64
metadata_safe,2,19,worn,0.0
metadata_leaky_diagnostic,2,19,healthy,0.7619047619047619
