baseline,n_real,mean_acc,mean_macro_f1
majority,2,0.47058823529411764,0.32
majority,5,0.47058823529411764,0.32
majority,10,0.47058823529411764,0.32
majority,9999,0.47058823529411764,0.32
metadata_leaky_diagnostic,2,0.6647058823529413,0.6477796030546232
metadata_leaky_diagnostic,5,0.8205882352941176,0.8162123080737631
metadata_leaky_diagnostic,10,0.9294117647058823,0.9274801587301587
metadata_leaky_diagnostic,9999,1.0,1.0
metadata_safe,2,0.4882352941176471,0.41687682252388136
metadata_safe,5,0.4970588235294118,0.40418929110105584
metadata_safe,10,0.5029411764705882,0.3857682252388135
metadata_safe,9999,0.47058823529411764,0.32
noise_aug,2,0.5764705882352941,0.5129764216261894
noise_aug,5,0.7558823529411764,0.7433560131818646
noise_aug,10,0.8029411764705883,0.7967448491947919
noise_aug,9999,0.8235294117647058,0.8210526315789475
random_open_loop,2,0.6323529411764706,0.5886939748530138
random_open_loop,5,0.7088235294117646,0.6807667834009367
random_open_loop,10,0.7529411764705882,0.7373341044919992
random_open_loop,9999,0.8235294117647058,0.8210526315789475
real_only,2,0.5941176470588235,0.5275959995494253
real_only,5,0.7558823529411764,0.7414229817347666
real_only,10,0.7941176470588235,0.7863740357976627
real_only,9999,0.8235294117647058,0.8210526315789475
rule,2,0.6352941176470589,0.5834585577466013
rule,5,0.6735294117647059,0.6389795783926219
rule,10,0.7029411764705883,0.6848942723942724
rule,9999,0.7058823529411765,0.6886446886446886
