channel,min,max,mean_of_means,max_std
Fx,-1569.064453125,527.706298828125,-55.6429505570611,299.0196838378906
Fy,-1284.2293701171875,344.9235534667969,-125.82503816974697,386.06292724609375
Fz,-237.3560028076172,813.1728515625,80.60443197791255,248.58224487304688
Ax,-5.242775917053223,5.509665012359619,0.0030618528542265214,0.8038769960403442
Ay,-7.61761999130249,7.295977592468262,0.0012375681460491876,0.9847065210342407
Az,-15.865013122558594,13.279004096984863,0.001536998565784619,1.3515667915344238
AE_RMS,-0.11320995539426804,1.1490010023117065,0.08238981664180756,0.2916969656944275
SREAL,0.0,816.464599609375,454.3005193454116,20.085113525390625
CV3_S,0.0,368.921875,304.0679558141908,19.158512115478516
CV3_X,0.0,24.729101181030273,4.6816134025801475,4.53499698638916
CV3_Y,0.0,12.0,3.531424678083676,3.761712074279785
CV3_Z,0.0,22.75046730041504,4.7616477083804005,4.711987018585205
TV2_S,-33.96561050415039,6.257689952850342,-4.457591537219375,12.154106140136719
TV2_X,-6.173346519470215,1.8670849800109863,-0.8789847911293827,1.4385528564453125
TV2_Y,-1.4511719942092896,3.068000078201294,0.8699152037612538,0.9668373465538025
TV2_Z,-2.231010675430298,5.708975315093994,-0.12717031625641592,2.0034432411193848
TV50,-2.0,88.94429779052734,22.652451273220688,23.23469352722168
TV51,0.0,4152.95166015625,1562.496869898554,986.8963012695312
FREAL,0.0,0.26604893803596497,0.09175987472173883,0.03897326812148094
