method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
rule,sharp,energy_frac_ch0,0.058475151,0.058409089,-6.6061647e-05,-0.037127,-0.001130,0.364706
rule,sharp,energy_frac_ch1,0.8836246,0.89167515,0.0080505561,0.237308,0.009111,0.145098
rule,sharp,energy_frac_ch2,0.04113655,0.042420927,0.0012843764,0.037526,0.031222,0.101961
rule,sharp,energy_frac_ch3,0.0048482995,0.0043979778,-0.00045032172,-0.166383,-0.092882,0.339216
rule,sharp,energy_frac_ch4,0.0010649405,0.001114928,4.9987492e-05,0.112585,0.046939,0.180392
rule,sharp,energy_frac_ch5,0.0018104221,0.0017908628,-1.9559331e-05,-0.017322,-0.010804,0.196078
rule,sharp,high_band_frac,0.011751773,0.011246867,-0.00050490686,-0.089429,-0.042964,0.523529
rule,sharp,total_rms,1.8646022,1.8500265,-0.01457569,-0.021180,-0.007817,0.112745
rule,worn,ch0_band0_frac,0.0046332941,0.0092230132,0.0045897192,1.620252,0.990595,0.407612
rule,worn,ch0_band1_frac,0.98208213,0.97089207,-0.011190056,-1.824033,-0.011394,0.350519
rule,worn,ch0_band2_frac,0.002728005,0.0080094267,0.0052814217,3.475227,1.936001,0.322664
rule,worn,ch0_band3_frac,0.0026568001,0.0028901344,0.00023333422,0.195971,0.087825,0.521626
rule,worn,ch0_band4_frac,0.0030907785,0.0025973716,-0.00049340691,-0.378591,-0.159638,0.645675
rule,worn,ch0_band5_frac,0.0031478864,0.0033596559,0.00021176943,0.155759,0.067274,0.489446
rule,worn,ch0_crest,1.8972932,1.9119124,0.014619267,0.083640,0.007705,0.654671
rule,worn,ch0_kurtosis,1.5981081,1.5988779,0.00076978986,0.015374,0.000482,0.696194
rule,worn,ch0_rms,1.6641238,1.6768322,0.012708417,0.014774,0.007637,0.053633
rule,worn,ch0_skewness,-0.011776697,-0.012685669,-0.00090897218,-0.045861,-0.077184,0.618858
rule,worn,ch0_tooth_rms_cv,0.39760559,0.39550577,-0.0020998266,-0.072269,-0.005281,0.544810
rule,worn,ch0_tpf_amp_ratio,0.0030529902,0.0035574263,0.00050443604,0.356835,0.165227,0.592907
rule,worn,ch1_band0_frac,0.65669002,0.80230026,0.14561023,0.226507,0.221734,0.333737
rule,worn,ch1_band1_frac,0.022030967,0.045383476,0.023352509,0.280784,1.059986,0.328374
rule,worn,ch1_band2_frac,0.083980745,0.14639841,0.062417664,0.398842,0.743238,0.283737
rule,worn,ch1_band3_frac,0.00017600102,0.0023917387,0.0022157377,8.256722,12.589346,0.968858
rule,worn,ch1_band4_frac,6.3335488e-05,0.00096060923,0.00089727374,6.408599,14.166998,0.589965
rule,worn,ch1_band5_frac,4.343938e-05,0.0006117314,0.00056829202,6.286240,13.082415,0.403806
rule,worn,ch1_crest,1.0387061,1.0402398,0.0015337775,0.036416,0.001477,0.493945
rule,worn,ch1_kurtosis,2.371822,2.0640609,-0.30776109,-0.415955,-0.129757,0.970588
rule,worn,ch1_rms,6.5480722,6.5550036,0.0069314334,0.002056,0.001059,0.070934
rule,worn,ch1_skewness,-0.031065346,0.0074205274,0.038485874,0.216577,1.238868,0.724048
rule,worn,ch1_tooth_rms_cv,0.017993949,0.017899399,-9.4549882e-05,-0.004032,-0.005255,0.245675
