method,class,channel,band,real_frac,method_frac,delta
rule,worn,vib_table,8-20,0.214616,0.276112,0.061495
rule,worn,vib_table,20-40,0.287798,0.408683,0.120885
rule,worn,vib_table,40-70,0.114899,0.106877,-0.008022
rule,worn,vib_table,70-100,0.317423,0.176782,-0.140641
rule,worn,vib_table,100-125,0.012494,0.010865,-0.001629
rule,worn,vib_spindle,0-8,0.110530,0.389111,0.278582
rule,worn,vib_spindle,8-20,0.229694,0.184004,-0.045690
rule,worn,vib_spindle,20-40,0.225050,0.156587,-0.068464
rule,worn,vib_spindle,40-70,0.220972,0.091544,-0.129429
rule,worn,vib_spindle,70-100,0.147118,0.079993,-0.067125
rule,worn,vib_spindle,100-125,0.066637,0.098762,0.032125
rule,worn,AE_table,0-8,0.105419,0.102507,-0.002912
rule,worn,AE_table,8-20,0.194408,0.254706,0.060297
rule,worn,AE_table,20-40,0.184379,0.215361,0.030982
rule,worn,AE_table,40-70,0.123423,0.155040,0.031617
rule,worn,AE_table,70-100,0.354388,0.226738,-0.127651
rule,worn,AE_table,100-125,0.037983,0.045649,0.007666
rule,worn,AE_spindle,0-8,0.164121,0.110512,-0.053609
rule,worn,AE_spindle,8-20,0.209481,0.196584,-0.012897
rule,worn,AE_spindle,20-40,0.213533,0.232112,0.018579
rule,worn,AE_spindle,40-70,0.117671,0.151568,0.033898
rule,worn,AE_spindle,70-100,0.260681,0.258534,-0.002147
rule,worn,AE_spindle,100-125,0.034514,0.050690,0.016176
rule,severe,smcAC,0-8,0.003696,0.008163,0.004467
rule,severe,smcAC,8-20,0.986361,0.976997,-0.009364
rule,severe,smcAC,20-40,0.002536,0.004433,0.001897
rule,severe,smcAC,40-70,0.002280,0.003331,0.001051
rule,severe,smcAC,70-100,0.002821,0.003774,0.000953
rule,severe,smcAC,100-125,0.002305,0.003302,0.000996
rule,severe,smcDC,0-8,0.909220,0.672094,-0.237126
rule,severe,smcDC,8-20,0.026629,0.080740,0.054111
rule,severe,smcDC,20-40,0.063954,0.242505,0.178551
rule,severe,smcDC,40-70,0.000137,0.002737,0.002600
rule,severe,smcDC,70-100,0.000038,0.001191,0.001153
rule,severe,smcDC,100-125,0.000022,0.000732,0.000711
rule,severe,vib_table,0-8,0.047298,0.018577,-0.028721
rule,severe,vib_table,8-20,0.309386,0.207149,-0.102237
rule,severe,vib_table,20-40,0.216909,0.303965,0.087056
rule,severe,vib_table,40-70,0.125918,0.209091,0.083174
rule,severe,vib_table,70-100,0.287301,0.244119,-0.043181
rule,severe,vib_table,100-125,0.013189,0.017098,0.003910
rule,severe,vib_spindle,0-8,0.210732,0.482662,0.271930
rule,severe,vib_spindle,8-20,0.200274,0.134620,-0.065654
rule,severe,vib_spindle,20-40,0.204689,0.110057,-0.094632
rule,severe,vib_spindle,40-70,0.178395,0.105597,-0.072797
rule,severe,vib_spindle,70-100,0.134462,0.076248,-0.058213
rule,severe,vib_spindle,100-125,0.071450,0.090816,0.019366
rule,severe,AE_table,0-8,0.124164,0.151739,0.027575
rule,severe,AE_table,8-20,0.171550,0.158352,-0.013198
rule,severe,AE_table,20-40,0.145076,0.226894,0.081817
rule,severe,AE_table,40-70,0.101338,0.150387,0.049049
rule,severe,AE_table,70-100,0.426352,0.263231,-0.163121
rule,severe,AE_table,100-125,0.031521,0.049398,0.017877
rule,severe,AE_spindle,0-8,0.234738,0.218109,-0.016629
rule,severe,AE_spindle,8-20,0.150976,0.115077,-0.035899
rule,severe,AE_spindle,20-40,0.150509,0.200187,0.049679
rule,severe,AE_spindle,40-70,0.099786,0.129025,0.029238
rule,severe,AE_spindle,70-100,0.334079,0.292777,-0.041303
rule,severe,AE_spindle,100-125,0.029911,0.044825,0.014914
random_open_loop,sharp,smcAC,0-8,0.010713,0.010488,-0.000225
random_open_loop,sharp,smcAC,8-20,0.972054,0.930391,-0.041663
random_open_loop,sharp,smcAC,20-40,0.007453,0.013070,0.005617
random_open_loop,sharp,smcAC,40-70,0.003466,0.016874,0.013408
random_open_loop,sharp,smcAC,70-100,0.003211,0.017023,0.013813
random_open_loop,sharp,smcAC,100-125,0.003103,0.012153,0.009051
random_open_loop,sharp,smcDC,0-8,0.841144,0.647956,-0.193188
random_open_loop,sharp,smcDC,8-20,0.071300,0.175456,0.104156
random_open_loop,sharp,smcDC,20-40,0.056334,0.131177,0.074843
random_open_loop,sharp,smcDC,40-70,0.025449,0.017715,-0.007734
random_open_loop,sharp,smcDC,70-100,0.005436,0.015976,0.010541
random_open_loop,sharp,smcDC,100-125,0.000338,0.011719,0.011382
random_open_loop,sharp,vib_table,0-8,0.027573,0.011293,-0.016280
random_open_loop,sharp,vib_table,8-20,0.414325,0.390065,-0.024260
random_open_loop,sharp,vib_table,20-40,0.253753,0.302070,0.048318
random_open_loop,sharp,vib_table,40-70,0.128963,0.151695,0.022732
random_open_loop,sharp,vib_table,70-100,0.165860,0.129348,-0.036513
random_open_loop,sharp,vib_table,100-125,0.009526,0.015529,0.006003
random_open_loop,sharp,vib_spindle,0-8,0.106931,0.349792,0.242861
random_open_loop,sharp,vib_spindle,8-20,0.299465,0.185666,-0.113799
random_open_loop,sharp,vib_spindle,20-40,0.143018,0.164531,0.021512
random_open_loop,sharp,vib_spindle,40-70,0.236568,0.129009,-0.107559
random_open_loop,sharp,vib_spindle,70-100,0.156027,0.092123,-0.063904
random_open_loop,sharp,vib_spindle,100-125,0.057991,0.078880,0.020890
random_open_loop,sharp,AE_table,0-8,0.066627,0.049392,-0.017235
random_open_loop,sharp,AE_table,8-20,0.356623,0.391375,0.034752
random_open_loop,sharp,AE_table,20-40,0.223879,0.239565,0.015686
random_open_loop,sharp,AE_table,40-70,0.139254,0.152023,0.012770
random_open_loop,sharp,AE_table,70-100,0.166297,0.117769,-0.048528
random_open_loop,sharp,AE_table,100-125,0.047321,0.049875,0.002555
random_open_loop,sharp,AE_spindle,0-8,0.041541,0.041026,-0.000515
