split_group,method,n_real,metric,folds,fold_mean,fold_std,fold_min,fold_max
pu_loco_all4,llm,5,acc,4,0.42031874999999996,0.052337267533915696,0.34190750000000003,0.4494775000000001
pu_loco_all4,llm,5,macro_f1,4,0.323741875,0.04718654038207469,0.25879250000000004,0.3718675
pu_loco_all4,llm,10,acc,4,0.499860625,0.07311987028659973,0.3997075,0.5553125000000001
pu_loco_all4,llm,10,macro_f1,4,0.44980437500000003,0.06607656860210866,0.35992999999999997,0.5016200000000001
pu_loco_all4,llm,25,acc,4,0.604958125,0.07586515532989546,0.5340149999999999,0.6790925
pu_loco_all4,llm,25,macro_f1,4,0.569919375,0.07244637457500894,0.5062625,0.6396725
pu_loco_all4,rule,5,acc,4,0.41690375,0.034311480980618356,0.3687175,0.44498250000000006
pu_loco_all4,rule,5,macro_f1,4,0.31882437500000005,0.041415079146721025,0.2878775,0.37966
pu_loco_all4,rule,10,acc,4,0.47402625,0.03232906912388087,0.4388675,0.515125
pu_loco_all4,rule,10,macro_f1,4,0.411974375,0.016823925098774235,0.40054750000000006,0.436905
pu_loco_all4,rule,25,acc,4,0.6080706250000001,0.09052251373680016,0.4991,0.6916375
pu_loco_all4,rule,25,macro_f1,4,0.575913125,0.1040630792751645,0.44934499999999994,0.6718824999999999
pu_loco_all4,random_open_loop,5,acc,4,0.3751137499999999,0.013816956747055364,0.35805750000000003,0.3916799999999999
pu_loco_all4,random_open_loop,5,macro_f1,4,0.268775,0.01570042979772634,0.24659499999999998,0.28350749999999997
pu_loco_all4,random_open_loop,10,acc,4,0.466956875,0.020763237080534916,0.44721,0.49259249999999993
pu_loco_all4,random_open_loop,10,macro_f1,4,0.38849624999999993,0.0346238459193949,0.3480225,0.4256475
pu_loco_all4,random_open_loop,25,acc,4,0.613805,0.015324543359156437,0.5908450000000001,0.62213
pu_loco_all4,random_open_loop,25,macro_f1,4,0.56635625,0.016454508184182624,0.5436675000000001,0.5820825000000001
pu_loco_all4,noise_aug,5,acc,4,0.5511775,0.025152511802998934,0.5230675,0.5793225000000001
pu_loco_all4,noise_aug,5,macro_f1,4,0.5041475,0.0369330570650016,0.46062250000000005,0.5432549999999999
pu_loco_all4,noise_aug,10,acc,4,0.589729375,0.035829436592870106,0.5475425,0.62414
pu_loco_all4,noise_aug,10,macro_f1,4,0.542144375,0.044630997373602335,0.48564000000000007,0.5836175
pu_loco_all4,noise_aug,25,acc,4,0.642975625,0.022901767706063617,0.6159025,0.6638474999999999
pu_loco_all4,noise_aug,25,macro_f1,4,0.600931875,0.030108082274186276,0.5717174999999999,0.6289875
pu_loco_all4,real_only,5,acc,4,0.37936250000000005,0.0155984607947921,0.3562775,0.390605
pu_loco_all4,real_only,5,macro_f1,4,0.25392875000000004,0.023631058438349027,0.218865,0.27044
pu_loco_all4,real_only,10,acc,4,0.39783250000000003,0.017685416897357312,0.38216250000000007,0.41976499999999994
pu_loco_all4,real_only,10,macro_f1,4,0.290063125,0.021660678118713212,0.27232,0.31918750000000007
pu_loco_all4,real_only,25,acc,4,0.5834975,0.029835530901371008,0.5478975,0.6094375
pu_loco_all4,real_only,25,macro_f1,4,0.53059875,0.03013621343859684,0.502165,0.5570225
