source,heldout,render_condition,class,n_records,mean_error_vs_heldout_pct,mean_abs_error_vs_heldout_pct,median_abs_error_vs_heldout_pct,max_abs_error_vs_heldout_pct,mean_abs_error_vs_render_condition_pct
llm,N09_M07_F10,N15_M01_F10,IR,2,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0.0
llm,N09_M07_F10,N15_M01_F10,OR,2,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0.0
llm,N09_M07_F10,N15_M07_F04,IR,1,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0.0
llm,N09_M07_F10,N15_M07_F04,OR,2,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0.0
llm,N09_M07_F10,N15_M07_F10,IR,2,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0.0
llm,N09_M07_F10,N15_M07_F10,OR,2,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0.0
llm,N15_M01_F10,N09_M07_F10,IR,2,-39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,0.0
llm,N15_M01_F10,N09_M07_F10,OR,3,-40.0,40.0,40.0,40.0,0.0
llm,N15_M01_F10,N15_M07_F04,IR,2,0.0,0.0,0.0,0.0,0.0
llm,N15_M01_F10,N15_M07_F04,OR,2,0.0,0.0,0.0,0.0,0.0
llm,N15_M01_F10,N15_M07_F10,IR,2,0.0,0.0,0.0,0.0,0.0
llm,N15_M01_F10,N15_M07_F10,OR,4,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F04,N09_M07_F10,IR,2,-39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,0.0
llm,N15_M07_F04,N09_M07_F10,OR,2,-40.0,40.0,40.0,40.0,0.0
llm,N15_M07_F04,N15_M01_F10,IR,1,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F04,N15_M01_F10,OR,1,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F04,N15_M07_F10,IR,2,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F04,N15_M07_F10,OR,2,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F10,N09_M07_F10,IR,4,-39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,0.0
llm,N15_M07_F10,N09_M07_F10,OR,3,-40.0,40.0,40.0,40.0,0.0
llm,N15_M07_F10,N15_M01_F10,IR,2,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F10,N15_M01_F10,OR,1,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F10,N15_M07_F04,IR,1,0.0,0.0,0.0,0.0,0.0
llm,N15_M07_F10,N15_M07_F04,OR,3,0.0,0.0,0.0,0.0,0.0
random_open_loop,N09_M07_F10,N15_M01_F10,IR,5,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0.0
random_open_loop,N09_M07_F10,N15_M01_F10,OR,5,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0.0
random_open_loop,N09_M07_F10,N15_M07_F04,IR,5,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0.0
random_open_loop,N09_M07_F10,N15_M07_F04,OR,5,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0.0
random_open_loop,N09_M07_F10,N15_M07_F10,IR,5,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0.0
random_open_loop,N09_M07_F10,N15_M07_F10,OR,5,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0.0
random_open_loop,N15_M01_F10,N09_M07_F10,IR,5,-39.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,0.0
