split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
loco_N09_M07_F10,loco_N09_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>random_open_loop,random_open_loop,greater,40,0.5085225,0.5662375,-0.057715,-0.09424999999999994,13,0,27,210.0,0.9969517741183154,1.0,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>noise_aug,noise_aug,greater,40,0.5085225,0.5717174999999999,-0.06319499999999999,-0.05404999999999996,11,0,29,162.0,0.9997309213367771,1.0,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>real_only,real_only,greater,40,0.5085225,0.502165,0.0063574999999999994,0.015949999999999992,22,0,18,430.0,0.39772395828094886,1.0,0.7342596152879056,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.34190750000000003,0.3687175,-0.026809999999999994,-0.03245000000000001,12,1,27,198.0,0.996311843509269,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_acc_superiority,acc,5,llm>random_open_loop,random_open_loop,greater,40,0.34190750000000003,0.37726249999999995,-0.035355000000000004,-0.010050000000000003,12,3,25,190.0,0.992584296143145,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.34190750000000003,0.5385975000000001,-0.19669,-0.19185000000000002,1,0,39,1.0,0.9999999999990905,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.34190750000000003,0.385785,-0.04387750000000001,-0.010649999999999993,15,1,24,246.0,0.9777602717772633,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.25879250000000004,0.2993925,-0.040600000000000004,-0.05504999999999999,13,0,27,213.5,0.9958698987870799,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_macro_f1_superiority,macro_f1,5,llm>random_open_loop,random_open_loop,greater,40,0.25879250000000004,0.28350749999999997,-0.024715000000000008,-0.0025500000000000106,20,0,20,336.0,0.8398459694744815,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.25879250000000004,0.4882099999999999,-0.2294175,-0.25565,2,0,38,5.0,0.9999999999936335,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.25879250000000004,0.262465,-0.0036725000000000065,0.008499999999999994,24,0,16,468.0,0.2218666590142675,0.88746663605707,0.4630260709862974,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.3997075,0.4388675,-0.03915999999999999,-0.03710000000000002,12,0,28,186.5,0.9986684407817175,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_acc_superiority,acc,10,llm>random_open_loop,random_open_loop,greater,40,0.3997075,0.4747100000000001,-0.0750025,-0.04824999999999999,9,0,31,112.0,0.9999690635675201,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_acc_superiority,acc,10,llm>noise_aug,noise_aug,greater,40,0.3997075,0.572915,-0.17320750000000001,-0.17324999999999996,2,0,38,3.0,0.999999977583101,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.3997075,0.41976499999999994,-0.020057499999999995,-0.016000000000000014,18,0,22,303.0,0.9250488122415845,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.35992999999999997,0.40351250000000005,-0.0435825,-0.04300000000000001,12,0,28,224.0,0.9944628041912438,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_macro_f1_superiority,macro_f1,10,llm>random_open_loop,random_open_loop,greater,40,0.35992999999999997,0.4070774999999999,-0.047147499999999995,-0.0353,16,0,24,279.0,0.9614996928612527,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.35992999999999997,0.527865,-0.167935,-0.15049999999999994,2,0,38,17.0,0.9999999362799262,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.35992999999999997,0.31918750000000007,0.0407425,0.048899999999999985,29,0,11,582.0,0.00999396765655547,0.03997587062622188,0.02741202557226643,True
loco_N15_M01_F10,loco_N15_M01_F10_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.5340149999999999,0.5688,-0.034785,-0.03084999999999999,10,0,30,131.0,0.9999614562102579,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n25_acc_superiority,acc,25,llm>random_open_loop,random_open_loop,greater,40,0.5340149999999999,0.5908450000000001,-0.056830000000000006,-0.04830000000000001,11,0,29,122.5,0.999944322488749,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.5340149999999999,0.6159025,-0.0818875,-0.0706,2,0,38,35.0,0.9999999966121322,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.5340149999999999,0.5698399999999999,-0.035824999999999996,-0.03799999999999998,13,0,27,193.0,0.9986146852306774,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n25_macro_f1_superiority,macro_f1,25,llm>rule,rule,greater,40,0.5062625,0.5329475,-0.026684999999999993,-0.019550000000000012,14,0,26,233.0,0.992061889026445,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n25_macro_f1_superiority,macro_f1,25,llm>random_open_loop,random_open_loop,greater,40,0.5062625,0.5436675000000001,-0.037404999999999994,-0.021550000000000014,15,0,25,236.0,0.9910844766918672,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n25_macro_f1_superiority,macro_f1,25,llm>noise_aug,noise_aug,greater,40,0.5062625,0.5782925,-0.07203,-0.05735000000000001,5,1,34,78.0,0.9999933149745458,1.0,0.9999999999990905,False
loco_N15_M01_F10,loco_N15_M01_F10_n25_macro_f1_superiority,macro_f1,25,llm>real_only,real_only,greater,40,0.5062625,0.5069475000000001,-0.0006850000000000009,-0.004750000000000004,19,0,21,397.0,0.5712088319178292,1.0,0.9899114370822358,False
loco_N15_M07_F04,loco_N15_M07_F04_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.44319749999999997,0.43743,0.005767499999999999,0.0011499999999999844,20,3,17,385.0,0.3066422697500141,0.6132845395000281,0.6007685284898235,False
loco_N15_M07_F04,loco_N15_M07_F04_n5_acc_superiority,acc,5,llm>random_open_loop,random_open_loop,greater,40,0.44319749999999997,0.35805750000000003,0.08514,0.06840000000000002,32,1,7,691.0,1.3306965740142964e-05,5.3227862960571854e-05,0.00012774687110537244,True
loco_N15_M07_F04,loco_N15_M07_F04_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.44319749999999997,0.5793225000000001,-0.136125,-0.1322,7,0,33,57.0,0.9999999418250809,0.9999999418250809,0.9999999999990905,False
