split,method,n_real,metric,n_seeds,mean,std,median,min,max
loco_N09_M07_F10,llm,5,acc,40,0.4128400000000001,0.08685523411002756,0.41575,0.26,0.7184
loco_N09_M07_F10,llm,5,macro_f1,40,0.33636499999999997,0.12187060929632056,0.34625,0.1586,0.688
loco_N09_M07_F10,llm,10,acc,40,0.4608499999999999,0.07968665557621976,0.4368,0.3738,0.744
loco_N09_M07_F10,llm,10,macro_f1,40,0.3953650000000001,0.09944705471912023,0.36535,0.2767,0.719
loco_N09_M07_F10,llm,25,acc,40,0.55765,0.11935088969838001,0.5337000000000001,0.3758,0.7496
loco_N09_M07_F10,llm,25,macro_f1,40,0.5111700000000001,0.14405947881308415,0.50615,0.2799,0.7242
loco_N09_M07_F10,rule,5,acc,40,0.44498250000000006,0.08085364076131003,0.44075,0.3126,0.6468
loco_N09_M07_F10,rule,5,macro_f1,40,0.37966,0.1191518720599245,0.38544999999999996,0.1588,0.6279
loco_N09_M07_F10,rule,10,acc,40,0.4612425,0.08777320100180101,0.4368,0.3299,0.749
loco_N09_M07_F10,rule,10,macro_f1,40,0.40693250000000003,0.11196533893038002,0.37005,0.2569,0.7236
loco_N09_M07_F10,rule,25,acc,40,0.4991,0.08558892212046831,0.4774,0.3754,0.7496
loco_N09_M07_F10,rule,25,macro_f1,40,0.44934499999999994,0.10537931716982933,0.4339,0.2877,0.7242
loco_N09_M07_F10,random_open_loop,5,acc,40,0.3916799999999999,0.07900203567646621,0.38029999999999997,0.2542,0.5449
loco_N09_M07_F10,random_open_loop,5,macro_f1,40,0.27367749999999996,0.09770327786932359,0.28035,0.158,0.5026
loco_N09_M07_F10,random_open_loop,10,acc,40,0.44721,0.10612189363035467,0.43895,0.2654,0.7456
loco_N09_M07_F10,random_open_loop,10,macro_f1,40,0.3480225,0.1403883888972998,0.33704999999999996,0.1571,0.7223
loco_N09_M07_F10,random_open_loop,25,acc,40,0.6204275,0.09101763984426597,0.6326499999999999,0.4368,0.7481
loco_N09_M07_F10,random_open_loop,25,macro_f1,40,0.5662375,0.11010593893365397,0.5971500000000001,0.3425,0.7228
loco_N09_M07_F10,noise_aug,5,acc,40,0.5230675,0.10336681108854709,0.5278499999999999,0.3168,0.7444
loco_N09_M07_F10,noise_aug,5,macro_f1,40,0.46062250000000005,0.12162137018590703,0.46209999999999996,0.1832,0.7196
loco_N09_M07_F10,noise_aug,10,acc,40,0.5475425,0.11669369698774079,0.54785,0.3134,0.7481
loco_N09_M07_F10,noise_aug,10,macro_f1,40,0.48564000000000007,0.1354268518615426,0.4919,0.1783,0.7223
loco_N09_M07_F10,noise_aug,25,acc,40,0.63219,0.08080867178649478,0.6256999999999999,0.4567,0.7477
loco_N09_M07_F10,noise_aug,25,macro_f1,40,0.5717174999999999,0.1042231798802885,0.57215,0.3654,0.7225
loco_N09_M07_F10,real_only,5,acc,40,0.3562775,0.06074649926602293,0.3126,0.2937,0.558
loco_N09_M07_F10,real_only,5,macro_f1,40,0.218865,0.08542738571892056,0.1588,0.1544,0.4394
loco_N09_M07_F10,real_only,10,acc,40,0.4045025,0.09986585486515759,0.3863,0.2779,0.7094
loco_N09_M07_F10,real_only,10,macro_f1,40,0.29385249999999996,0.1344718958103161,0.3042,0.1587,0.6867
loco_N09_M07_F10,real_only,25,acc,40,0.5478975,0.09225571342879751,0.5577000000000001,0.3794,0.7496
loco_N09_M07_F10,real_only,25,macro_f1,40,0.502165,0.1146926406554179,0.49355000000000004,0.2941,0.7242
