split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.4128400000000001,0.44498250000000006,-0.032142500000000004,-0.020850000000000007,13,1,26,236.0,0.9841855615729893,1.0,1.0,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>random_open_loop,random_open_loop,greater,40,0.4128400000000001,0.3916799999999999,0.02116,0.019850000000000007,24,1,15,483.0,0.09717549023778377,0.2915264707133513,0.21694993169365678,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.4128400000000001,0.5230675,-0.1102275,-0.10469999999999999,9,0,31,85.0,0.9999989812504282,1.0,1.0,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.4128400000000001,0.3562775,0.0565625,0.0524,25,0,15,611.0,0.003447708862063448,0.013790835448253791,0.0094565728788026,True
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.33636499999999997,0.37966,-0.043295000000000014,-0.04515000000000002,14,1,25,252.0,0.972934681751281,1.0,1.0,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>random_open_loop,random_open_loop,greater,40,0.33636499999999997,0.27367749999999996,0.0626875,0.06854999999999997,26,1,13,556.0,0.010264683616559474,0.03079405084967842,0.02593183229446604,True
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.33636499999999997,0.46062250000000005,-0.12425749999999999,-0.10614999999999997,9,0,31,114.0,0.9999886466193857,1.0,1.0,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.33636499999999997,0.218865,0.11750000000000001,0.14125000000000001,27,0,13,678.0,0.0001576772737802816,0.0006307090951211264,0.0008409454601615018,True
loco_N09_M07_F10,loco_N09_M07_F10_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.4608499999999999,0.4612425,-0.00039249999999999425,0.0,19,3,18,364.0,0.4252115644233021,1.0,0.7850059650891731,False
loco_N09_M07_F10,loco_N09_M07_F10_n10_acc_superiority,acc,10,llm>random_open_loop,random_open_loop,greater,40,0.4608499999999999,0.44721,0.013640000000000008,-0.005249999999999977,19,0,21,439.0,0.3523438371539669,1.0,0.6903062931996086,False
