method,class,channel,band,real_frac,method_frac,delta
rule,severe,AE_table,100-125,0.031521,0.049398,0.017877
rule,severe,AE_spindle,0-8,0.234738,0.218109,-0.016629
rule,severe,AE_spindle,8-20,0.150976,0.115077,-0.035899
rule,severe,AE_spindle,20-40,0.150509,0.200187,0.049679
rule,severe,AE_spindle,40-70,0.099786,0.129025,0.029238
rule,severe,AE_spindle,70-100,0.334079,0.292777,-0.041303
rule,severe,AE_spindle,100-125,0.029911,0.044825,0.014914
random_open_loop,sharp,smcAC,0-8,0.010713,0.010488,-0.000225
random_open_loop,sharp,smcAC,8-20,0.972054,0.930391,-0.041663
random_open_loop,sharp,smcAC,20-40,0.007453,0.013070,0.005617
random_open_loop,sharp,smcAC,40-70,0.003466,0.016874,0.013408
random_open_loop,sharp,smcAC,70-100,0.003211,0.017023,0.013813
random_open_loop,sharp,smcAC,100-125,0.003103,0.012153,0.009051
random_open_loop,sharp,smcDC,0-8,0.841144,0.647956,-0.193188
random_open_loop,sharp,smcDC,8-20,0.071300,0.175456,0.104156
random_open_loop,sharp,smcDC,20-40,0.056334,0.131177,0.074843
random_open_loop,sharp,smcDC,40-70,0.025449,0.017715,-0.007734
random_open_loop,sharp,smcDC,70-100,0.005436,0.015976,0.010541
random_open_loop,sharp,smcDC,100-125,0.000338,0.011719,0.011382
random_open_loop,sharp,vib_table,0-8,0.027573,0.011293,-0.016280
random_open_loop,sharp,vib_table,8-20,0.414325,0.390065,-0.024260
random_open_loop,sharp,vib_table,20-40,0.253753,0.302070,0.048318
random_open_loop,sharp,vib_table,40-70,0.128963,0.151695,0.022732
random_open_loop,sharp,vib_table,70-100,0.165860,0.129348,-0.036513
random_open_loop,sharp,vib_table,100-125,0.009526,0.015529,0.006003
random_open_loop,sharp,vib_spindle,0-8,0.106931,0.349792,0.242861
random_open_loop,sharp,vib_spindle,8-20,0.299465,0.185666,-0.113799
random_open_loop,sharp,vib_spindle,20-40,0.143018,0.164531,0.021512
random_open_loop,sharp,vib_spindle,40-70,0.236568,0.129009,-0.107559
random_open_loop,sharp,vib_spindle,70-100,0.156027,0.092123,-0.063904
random_open_loop,sharp,vib_spindle,100-125,0.057991,0.078880,0.020890
random_open_loop,sharp,AE_table,0-8,0.066627,0.049392,-0.017235
random_open_loop,sharp,AE_table,8-20,0.356623,0.391375,0.034752
random_open_loop,sharp,AE_table,20-40,0.223879,0.239565,0.015686
random_open_loop,sharp,AE_table,40-70,0.139254,0.152023,0.012770
random_open_loop,sharp,AE_table,70-100,0.166297,0.117769,-0.048528
random_open_loop,sharp,AE_table,100-125,0.047321,0.049875,0.002555
random_open_loop,sharp,AE_spindle,0-8,0.041541,0.041026,-0.000515
random_open_loop,sharp,AE_spindle,8-20,0.373351,0.333816,-0.039536
random_open_loop,sharp,AE_spindle,20-40,0.325461,0.351270,0.025809
random_open_loop,sharp,AE_spindle,40-70,0.131478,0.143930,0.012452
random_open_loop,sharp,AE_spindle,70-100,0.085430,0.086662,0.001232
random_open_loop,sharp,AE_spindle,100-125,0.042739,0.043296,0.000557
random_open_loop,worn,smcAC,0-8,0.004151,0.006682,0.002531
random_open_loop,worn,smcAC,8-20,0.985060,0.932439,-0.052621
random_open_loop,worn,smcAC,20-40,0.003068,0.012780,0.009712
random_open_loop,worn,smcAC,40-70,0.002552,0.018050,0.015498
random_open_loop,worn,smcAC,70-100,0.002816,0.016606,0.013790
random_open_loop,worn,smcAC,100-125,0.002354,0.013444,0.011089
random_open_loop,worn,smcDC,0-8,0.927060,0.754815,-0.172245
random_open_loop,worn,smcDC,8-20,0.025119,0.103791,0.078672
random_open_loop,worn,smcDC,20-40,0.040522,0.066580,0.026058
random_open_loop,worn,smcDC,40-70,0.006290,0.027695,0.021405
random_open_loop,worn,smcDC,70-100,0.000814,0.025923,0.025109
random_open_loop,worn,smcDC,100-125,0.000195,0.021196,0.021001
random_open_loop,worn,vib_table,0-8,0.052770,0.025124,-0.027646
