class,slot,candidate_rounds,n_candidates,n_expansions,n_feasible_expansions,first_pass_round,final_admitted,record_sha256
healthy,50,0;1,2,4,2,1,True,e9cf05c265978fe2efc7522654b5316041bf7d80bd19b76eaf7b11447d04e553
healthy,51,0;1;2;3,4,0,0,,False,4bdd9462f16d206855de07eb6db6bdda29ac89b8228601caa2c8bb62d7204d11
healthy,52,0,1,0,0,,False,d338fd77b43afe74548c9c2ede0ca8c73170b93c66da8baf4b50334de45e3d98
healthy,53,0;1,2,4,1,1,True,5519cda40c44e283a7bf1afbeb110b7ac99b804dbcd81a5b36bc3cf80f2f3653
healthy,54,0,1,0,0,,False,a70274a8b33f42a5d3a9414444de1b22edfd97c45a039e5eca20efe9a2297ab9
healthy,55,0;1,2,0,0,,False,ac4f306f3200528ec3ad776f3a1c9fea7feda9a30880b0c97cf8b5918e865443
healthy,56,0;1;2;3,4,0,0,0,True,6ea5f7acd523969802af8c98289e768d1d7c4c3d7af0f2fc8fe76ea00e68b517
healthy,57,0;1;2;3,4,0,0,0,True,9de2f3beabf60b2e077addcf267000b6be18b7c5b44bd104ee3f2ff0dc13b3a0
healthy,58,0,1,0,0,0,True,1e3e824b40575800373fb23df8281727441f9ec687a00d28161921cdf6aa2449
healthy,59,0;1;2;3,4,0,0,2,True,905b4ac780bc7e0acca104046c835d41b97f1a548fc88039063a9e0e4e42ed96
healthy,60,0,1,0,0,,False,37680178a69211d09199025c546ba502cdf2d83c53b78ab4539b90ae26211e61
healthy,61,0,1,0,0,,False,5d740181bcaeff985701730d290ed0f57fc4bc1a1f5c9a3f396bffe683cdb2ac
healthy,62,0;1;2,3,1,0,0,True,6752e84b99c81e8fce111301810006411ab2326a30078668ac78090610372de1
healthy,63,0,1,0,0,,False,12d18c9b1bec7603d88de7be2766da28c2bdb376733f4f3f01c63f4826a0b71e
healthy,64,0;1;2,3,4,2,2,True,594c37ca22fcc036a80c7866b531ad168957fc3ece4b23808f017a5ed1521e9f
healthy,65,0,1,0,0,,False,0e3167eff1cfd0fcd45ad29fbed4e81cc8b29ef2236bdd1ede12bd0e0d887900
healthy,66,0;1;2;3,4,0,0,0,True,e2c1d4898e283572129e10e132e779cd6ff04c76e5a4da76e3e6200acafcd871
healthy,67,0,1,0,0,,False,e121605abbcf1085936851b122c32c41e181ebaa7894b1508b86f3ca9b0be791
healthy,68,0;1;2;3,4,0,0,0,True,4d77b2c1b9e254bfd75ff45d189de3841781c987e54b7e6d07d21e55d9c2b361
healthy,69,0,1,4,3,0,True,55af60320e57e2eb96db045b5acf86064e077daca9f6f85bbdbfc97a7d3349d5
healthy,70,0,1,4,3,0,True,2e3c126eba35afdec4504c864b7c36986451624ad03982362ed8af012a35a34c
healthy,71,0;1;2;3,4,0,0,,False,180f14dcffbb92f754c9b694f14a3f0d9acb9876ba507f2d5a6c573b2e77b287
healthy,72,0;1;2,3,3,0,0,True,2da6eb9983a5afb7eb08535deb209e44cdf6addc2b22e8ac608af5d787ad1b8d
healthy,73,0,1,1,0,0,True,2307dbf5963a50a77cec1f7779c1974409aae083b7b6c3855ce60629cb2726af
healthy,74,0,1,0,0,,False,fa2da0e88c6980326800e2376a1f75db0768887a02c9939d435cbc9e9a728bd0
healthy,75,0;1;2;3,4,0,0,0,True,4dddfca93190f5b16859f3b2e8392fa80575e1b5b11ada256b2f8f9ea2133316
healthy,76,0,1,0,0,,False,a78062a815b4fb081e419b865d18a7958a6f9bf7c1ab94243da8fb93c926e41d
