n_real,metric,comparison,seeds,mean_delta,wins,p_raw,delta_values,holm_q
5,acc,llm_v5_pilot_nsyn38>rule_pilot_nsyn38,10,0.06111000000000002,10,0.0009765625,0.0653;0.0948;0.0458;0.0490;0.0196;0.0654;0.0948;0.0032;0.1013;0.0719,0.001953125
5,acc,llm_v5_pilot_nsyn38>noise_nsyn38,10,0.12026,10,0.0009765625,0.1470;0.0392;0.2092;0.0098;0.0163;0.1700;0.1438;0.1274;0.2419;0.0980,0.001953125
5,macro_f1,llm_v5_pilot_nsyn38>rule_pilot_nsyn38,10,0.06412,9,0.001953125,0.0682;0.1243;0.0372;0.0435;0.0154;0.0566;0.1295;-0.0036;0.0975;0.0726,0.001953125
5,macro_f1,llm_v5_pilot_nsyn38>noise_nsyn38,10,0.13672,10,0.0009765625,0.1560;0.0535;0.2179;0.0067;0.0183;0.1740;0.2237;0.1670;0.2724;0.0777,0.001953125
10,acc,llm_v5_pilot_nsyn38>rule_pilot_nsyn38,10,0.037570000000000006,8,0.01171875,0.1209;0.0098;0.0229;-0.0359;0.0686;0.0947;0.0457;0.0392;0.0098;0.0000,0.013671875
10,acc,llm_v5_pilot_nsyn38>noise_nsyn38,10,0.05882000000000002,9,0.0068359375,0.0457;-0.0621;0.0883;0.0588;0.0752;0.1536;0.0065;0.0719;0.0785;0.0718,0.013671875
10,macro_f1,llm_v5_pilot_nsyn38>rule_pilot_nsyn38,10,0.03747,8,0.013671875,0.1237;0.0064;0.0234;-0.0307;0.0851;0.0818;0.0490;0.0346;0.0021;-0.0007,0.013671875
10,macro_f1,llm_v5_pilot_nsyn38>noise_nsyn38,10,0.06594,9,0.001953125,0.0328;-0.0259;0.0796;0.0719;0.0992;0.1402;0.0263;0.0659;0.0922;0.0772,0.00390625
25,acc,llm_v5_pilot_nsyn38>rule_pilot_nsyn38,10,0.04083999999999999,8,0.0048828125,0.0425;0.0784;0.1013;0.0327;0.0164;0.0359;-0.0032;0.0522;0.0555;-0.0033,0.009765625
25,acc,llm_v5_pilot_nsyn38>noise_nsyn38,10,0.005869999999999986,5,0.6044921875,0.0817;-0.0458;-0.0262;0.1013;0.0066;-0.0262;-0.0359;0.0261;0.0098;-0.0327,0.6044921875
25,macro_f1,llm_v5_pilot_nsyn38>rule_pilot_nsyn38,10,0.03856999999999999,9,0.0029296875,0.0471;0.0725;0.1030;0.0297;0.0119;0.0290;-0.0025;0.0484;0.0450;0.0016,0.005859375
25,macro_f1,llm_v5_pilot_nsyn38>noise_nsyn38,10,0.012850000000000006,6,0.34765625,0.0877;-0.0421;0.0234;0.0970;0.0090;-0.0231;-0.0308;0.0256;0.0074;-0.0256,0.34765625
