method,n_real,seeds,n_syn_values,mean_acc,mean_macro_f1,acc_values,macro_f1_values
llm_v5_pilot_nsyn38,5,10,152;152;152;152;152;152;152;152;152;152,0.63366,0.6778,0.6176;0.6013;0.6373;0.6601;0.6209;0.6569;0.6111;0.6405;0.6471;0.6438,0.6478;0.6588;0.6912;0.7117;0.6773;0.7060;0.6692;0.6623;0.6647;0.6890
rule_pilot_nsyn38,5,10,152;152;152;152;152;152;152;152;152;152,0.57255,0.61368,0.5523;0.5065;0.5915;0.6111;0.6013;0.5915;0.5163;0.6373;0.5458;0.5719,0.5796;0.5345;0.6540;0.6682;0.6619;0.6494;0.5397;0.6659;0.5672;0.6164
noise_nsyn38,5,10,152;152;152;152;152;152;152;152;152;152,0.5134,0.54108,0.4706;0.5621;0.4281;0.6503;0.6046;0.4869;0.4673;0.5131;0.4052;0.5458,0.4918;0.6053;0.4733;0.7050;0.6590;0.5320;0.4455;0.4953;0.3923;0.6113
llm_v5_pilot_nsyn38,10,10,152;152;152;152;152;152;152;152;152;152,0.63104,0.6779,0.6699;0.5817;0.6569;0.6340;0.6144;0.6699;0.6111;0.6601;0.5948;0.6176,0.7167;0.6288;0.7067;0.6887;0.6714;0.7182;0.6703;0.6658;0.6373;0.6751
rule_pilot_nsyn38,10,10,152;152;152;152;152;152;152;152;152;152,0.59347,0.6404299999999999,0.5490;0.5719;0.6340;0.6699;0.5458;0.5752;0.5654;0.6209;0.5850;0.6176,0.5930;0.6224;0.6833;0.7194;0.5863;0.6364;0.6213;0.6312;0.6352;0.6758
noise_nsyn38,10,10,152;152;152;152;152;152;152;152;152;152,0.57222,0.61196,0.6242;0.6438;0.5686;0.5752;0.5392;0.5163;0.6046;0.5882;0.5163;0.5458,0.6839;0.6547;0.6271;0.6168;0.5722;0.5780;0.6440;0.5999;0.5451;0.5979
llm_v5_pilot_nsyn38,25,10,152;152;152;152;152;152;152;152;152;152,0.68333,0.72896,0.6928;0.6732;0.7026;0.6536;0.7059;0.6830;0.6275;0.6993;0.7026;0.6928,0.7438;0.7187;0.7471;0.7032;0.7382;0.7273;0.6835;0.7465;0.7444;0.7369
rule_pilot_nsyn38,25,10,152;152;152;152;152;152;152;152;152;152,0.64249,0.6903900000000001,0.6503;0.5948;0.6013;0.6209;0.6895;0.6471;0.6307;0.6471;0.6471;0.6961,0.6967;0.6462;0.6441;0.6735;0.7263;0.6983;0.6860;0.6981;0.6994;0.7353
noise_nsyn38,25,10,152;152;152;152;152;152;152;152;152;152,0.67746,0.71611,0.6111;0.7190;0.7288;0.5523;0.6993;0.7092;0.6634;0.6732;0.6928;0.7255,0.6561;0.7608;0.7237;0.6062;0.7292;0.7504;0.7143;0.7209;0.7370;0.7625
