class,slot,accepted_before_diversity,n_candidates,n_feasible_expansions
OR,124,True,1,2
OR,125,True,1,4
OR,126,True,1,3
OR,127,False,1,0
OR,128,True,1,4
OR,129,False,4,0
OR,130,False,1,0
OR,131,True,1,2
OR,132,False,1,0
OR,133,True,2,4
OR,134,True,1,2
OR,135,True,1,1
OR,136,False,1,0
OR,137,False,1,0
OR,138,True,3,3
OR,139,True,1,4
OR,140,False,1,0
OR,141,True,2,1
OR,142,False,1,0
OR,143,True,1,4
OR,144,True,1,2
OR,145,True,1,3
OR,146,False,1,0
OR,147,False,1,0
OR,148,True,1,3
OR,149,False,1,0
IR,0,True,4,0
IR,1,True,1,3
IR,2,True,3,2
IR,3,False,4,0
IR,4,False,1,0
IR,5,False,1,0
IR,6,False,1,0
IR,7,True,4,0
IR,8,True,4,0
IR,9,False,4,0
IR,10,True,4,0
IR,11,True,2,3
IR,12,True,4,0
IR,13,True,1,3
IR,14,True,4,0
IR,15,False,4,0
IR,16,True,1,4
IR,17,True,2,2
IR,18,True,4,0
IR,19,True,4,0
IR,20,False,4,0
IR,21,True,1,3
IR,22,True,1,3
IR,23,True,4,0
IR,24,True,1,3
IR,25,True,4,0
IR,26,True,1,2
IR,27,False,2,0
IR,28,True,4,0
IR,29,True,2,3
IR,30,True,4,0
IR,31,True,1,2
IR,32,True,1,2
IR,33,True,4,0
IR,34,True,4,1
IR,35,False,4,0
IR,36,False,4,0
IR,37,False,1,0
IR,38,False,1,0
IR,39,True,3,0
IR,40,True,1,4
IR,41,True,3,0
IR,42,True,4,0
IR,43,True,1,3
IR,44,True,4,0
IR,45,True,1,3
IR,46,False,3,0
IR,47,True,2,1
IR,48,False,1,0
IR,49,True,1,3
IR,50,True,3,1
IR,51,False,2,0
IR,52,True,1,4
IR,53,True,1,1
IR,54,True,4,0
IR,55,True,1,4
IR,56,True,4,0
IR,57,True,1,0
IR,58,True,1,4
IR,59,False,4,0
IR,60,False,2,0
IR,61,True,4,0
IR,62,True,4,3
IR,63,True,1,0
IR,64,False,1,0
IR,65,False,4,0
IR,66,False,1,0
IR,67,True,1,3
IR,68,True,3,4
IR,69,True,2,0
IR,70,True,1,2
IR,71,False,4,0
IR,72,True,3,2
IR,73,True,1,0
IR,74,True,3,3
IR,75,True,3,1
IR,76,True,2,1
IR,77,True,4,0
IR,78,True,2,3
IR,79,True,4,0
IR,80,True,4,0
IR,81,True,1,4
IR,82,True,1,2
IR,83,False,1,0
IR,84,False,2,0
IR,85,True,4,0
IR,86,True,1,4
IR,87,True,1,2
IR,88,True,4,0
IR,89,False,4,0
IR,90,True,4,0
IR,91,True,1,2
IR,92,True,1,1
IR,93,True,1,1
IR,94,False,1,0
IR,95,False,4,0
