scheme,baseline,model,split_protocol,condition_id,n,majority_acc,acc,macro_f1
B,signal_only,logreg,groupkfold_insert_edge,CastIron.GG30|100.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,logreg,groupkfold_insert_edge,CastIron.GG30|100.0|0.2|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,logreg,groupkfold_insert_edge,CastIron.GG30|200.0|0.1|1.5|58.4,8,0.625,1.0,1.0
B,signal_only,logreg,groupkfold_insert_edge,CastIron.GG30|200.0|0.2|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
B,signal_only,logreg,groupkfold_insert_edge,StainlessSteel.316L|100.0|0.05|1.5|58.4,6,0.6666666666666666,0.3333333333333333,0.25
B,signal_only,logreg,groupkfold_insert_edge,StainlessSteel.316L|100.0|0.1|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
B,signal_only,logreg,groupkfold_insert_edge,StainlessSteel.316L|50.0|0.05|1.5|58.4,7,0.7142857142857143,0.2857142857142857,0.2222222222222222
B,signal_only,logreg,groupkfold_insert_edge,StainlessSteel.316L|50.0|0.1|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,rf,loeo,CastIron.GG30|100.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,loeo,CastIron.GG30|100.0|0.2|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,loeo,CastIron.GG30|200.0|0.1|1.5|58.4,8,0.625,1.0,1.0
B,signal_only,rf,loeo,CastIron.GG30|200.0|0.2|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,loeo,StainlessSteel.316L|100.0|0.05|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,rf,loeo,StainlessSteel.316L|100.0|0.1|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,rf,loeo,StainlessSteel.316L|50.0|0.05|1.5|58.4,7,0.7142857142857143,0.7142857142857143,0.7083333333333333
B,signal_only,rf,loeo,StainlessSteel.316L|50.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,logo_condition,CastIron.GG30|100.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,logo_condition,CastIron.GG30|100.0|0.2|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,logo_condition,CastIron.GG30|200.0|0.1|1.5|58.4,8,0.625,1.0,1.0
B,signal_only,rf,logo_condition,CastIron.GG30|200.0|0.2|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,logo_condition,StainlessSteel.316L|100.0|0.05|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,rf,logo_condition,StainlessSteel.316L|100.0|0.1|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,rf,logo_condition,StainlessSteel.316L|50.0|0.05|1.5|58.4,7,0.7142857142857143,0.5714285714285714,0.5714285714285714
B,signal_only,rf,logo_condition,StainlessSteel.316L|50.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,groupkfold_condition,CastIron.GG30|100.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,groupkfold_condition,CastIron.GG30|100.0|0.2|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,groupkfold_condition,CastIron.GG30|200.0|0.1|1.5|58.4,8,0.625,1.0,1.0
B,signal_only,rf,groupkfold_condition,CastIron.GG30|200.0|0.2|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,groupkfold_condition,StainlessSteel.316L|100.0|0.05|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,groupkfold_condition,StainlessSteel.316L|100.0|0.1|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,rf,groupkfold_condition,StainlessSteel.316L|50.0|0.05|1.5|58.4,7,0.7142857142857143,0.5714285714285714,0.5714285714285714
B,signal_only,rf,groupkfold_condition,StainlessSteel.316L|50.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,groupkfold_insert_edge,CastIron.GG30|100.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,rf,groupkfold_insert_edge,CastIron.GG30|100.0|0.2|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
B,signal_only,rf,groupkfold_insert_edge,CastIron.GG30|200.0|0.1|1.5|58.4,8,0.625,0.875,0.8545454545454545
B,signal_only,rf,groupkfold_insert_edge,CastIron.GG30|200.0|0.2|1.5|58.4,6,0.6666666666666666,0.6666666666666666,0.4
B,signal_only,rf,groupkfold_insert_edge,StainlessSteel.316L|100.0|0.05|1.5|58.4,6,0.6666666666666666,0.5,0.4857142857142857
B,signal_only,rf,groupkfold_insert_edge,StainlessSteel.316L|100.0|0.1|1.5|58.4,6,0.6666666666666666,0.8333333333333334,0.7777777777777777
B,signal_only,rf,groupkfold_insert_edge,StainlessSteel.316L|50.0|0.05|1.5|58.4,7,0.7142857142857143,0.5714285714285714,0.5714285714285714
B,signal_only,rf,groupkfold_insert_edge,StainlessSteel.316L|50.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,extratrees,loeo,CastIron.GG30|100.0|0.1|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,extratrees,loeo,CastIron.GG30|100.0|0.2|1.5|58.4,6,0.6666666666666666,1.0,1.0
B,signal_only,extratrees,loeo,CastIron.GG30|200.0|0.1|1.5|58.4,8,0.625,1.0,1.0
