scheme,baseline,model,split_protocol,actual,predicted,n
B,signal_only,extratrees,groupkfold_condition,worn,healthy,3
B,signal_only,extratrees,groupkfold_condition,worn,worn,31
B,signal_only,extratrees,groupkfold_insert_edge,healthy,healthy,2
B,signal_only,extratrees,groupkfold_insert_edge,healthy,worn,15
B,signal_only,extratrees,groupkfold_insert_edge,worn,healthy,4
B,signal_only,extratrees,groupkfold_insert_edge,worn,worn,30
C,signal_only,logreg,loeo,healthy,healthy,30
C,signal_only,logreg,loeo,healthy,worn,3
C,signal_only,logreg,loeo,worn,healthy,4
C,signal_only,logreg,loeo,worn,worn,30
C,signal_only,logreg,logo_condition,healthy,healthy,27
C,signal_only,logreg,logo_condition,healthy,worn,6
C,signal_only,logreg,logo_condition,worn,healthy,4
C,signal_only,logreg,logo_condition,worn,worn,30
C,signal_only,logreg,groupkfold_condition,healthy,healthy,26
C,signal_only,logreg,groupkfold_condition,healthy,worn,7
C,signal_only,logreg,groupkfold_condition,worn,healthy,4
C,signal_only,logreg,groupkfold_condition,worn,worn,30
C,signal_only,logreg,groupkfold_insert_edge,healthy,healthy,24
C,signal_only,logreg,groupkfold_insert_edge,healthy,worn,9
C,signal_only,logreg,groupkfold_insert_edge,worn,healthy,6
C,signal_only,logreg,groupkfold_insert_edge,worn,worn,28
C,signal_only,rf,loeo,healthy,healthy,33
C,signal_only,rf,loeo,healthy,worn,0
C,signal_only,rf,loeo,worn,healthy,2
C,signal_only,rf,loeo,worn,worn,32
C,signal_only,rf,logo_condition,healthy,healthy,30
C,signal_only,rf,logo_condition,healthy,worn,3
C,signal_only,rf,logo_condition,worn,healthy,4
C,signal_only,rf,logo_condition,worn,worn,30
C,signal_only,rf,groupkfold_condition,healthy,healthy,29
C,signal_only,rf,groupkfold_condition,healthy,worn,4
C,signal_only,rf,groupkfold_condition,worn,healthy,4
C,signal_only,rf,groupkfold_condition,worn,worn,30
C,signal_only,rf,groupkfold_insert_edge,healthy,healthy,27
C,signal_only,rf,groupkfold_insert_edge,healthy,worn,6
C,signal_only,rf,groupkfold_insert_edge,worn,healthy,3
C,signal_only,rf,groupkfold_insert_edge,worn,worn,31
C,signal_only,extratrees,loeo,healthy,healthy,32
C,signal_only,extratrees,loeo,healthy,worn,1
C,signal_only,extratrees,loeo,worn,healthy,2
