feature
SREAL_rms
SREAL_var
SREAL_max
SREAL_kurt
SREAL_skew
SREAL_ptp
SREAL_speckurt
SREAL_specskew
SREAL_wavenergy
CV3_S_rms
CV3_S_var
CV3_S_max
CV3_S_kurt
CV3_S_skew
CV3_S_ptp
CV3_S_speckurt
CV3_S_specskew
CV3_S_wavenergy
CV3_X_rms
CV3_X_var
CV3_X_max
CV3_X_kurt
CV3_X_skew
CV3_X_ptp
CV3_X_speckurt
CV3_X_specskew
CV3_X_wavenergy
CV3_Y_rms
CV3_Y_var
CV3_Y_max
CV3_Y_kurt
CV3_Y_skew
CV3_Y_ptp
CV3_Y_speckurt
CV3_Y_specskew
CV3_Y_wavenergy
CV3_Z_rms
CV3_Z_var
CV3_Z_max
CV3_Z_kurt
CV3_Z_skew
CV3_Z_ptp
CV3_Z_speckurt
CV3_Z_specskew
CV3_Z_wavenergy
TV2_S_rms
TV2_S_var
TV2_S_max
TV2_S_kurt
TV2_S_skew
TV2_S_ptp
TV2_S_speckurt
TV2_S_specskew
TV2_S_wavenergy
TV2_X_rms
TV2_X_var
TV2_X_max
TV2_X_kurt
TV2_X_skew
TV2_X_ptp
TV2_X_speckurt
TV2_X_specskew
TV2_X_wavenergy
TV2_Y_rms
TV2_Y_var
TV2_Y_max
TV2_Y_kurt
TV2_Y_skew
TV2_Y_ptp
TV2_Y_speckurt
TV2_Y_specskew
TV2_Y_wavenergy
TV2_Z_rms
TV2_Z_var
TV2_Z_max
TV2_Z_kurt
TV2_Z_skew
TV2_Z_ptp
TV2_Z_speckurt
TV2_Z_specskew
TV2_Z_wavenergy
TV50_rms
TV50_var
TV50_max
TV50_kurt
TV50_skew
TV50_ptp
TV50_speckurt
TV50_specskew
TV50_wavenergy
TV51_rms
TV51_var
TV51_max
TV51_kurt
TV51_skew
TV51_ptp
TV51_speckurt
TV51_specskew
TV51_wavenergy
FREAL_rms
FREAL_var
FREAL_max
FREAL_kurt
FREAL_skew
FREAL_ptp
FREAL_speckurt
FREAL_specskew
FREAL_wavenergy
Ax_rms
Ax_var
Ax_max
Ax_kurt
Ax_skew
Ax_ptp
Ax_speckurt
Ax_specskew
Ax_wavenergy
Ay_rms
Ay_var
Ay_max
Ay_kurt
Ay_skew
Ay_ptp
Ay_speckurt
Ay_specskew
Ay_wavenergy
Az_rms
Az_var
Az_max
Az_kurt
Az_skew
Az_ptp
Az_speckurt
Az_specskew
Az_wavenergy
Fx_rms
Fx_var
Fx_max
Fx_kurt
Fx_skew
Fx_ptp
Fx_speckurt
Fx_specskew
Fx_wavenergy
Fy_rms
Fy_var
Fy_max
Fy_kurt
Fy_skew
Fy_ptp
Fy_speckurt
Fy_specskew
Fy_wavenergy
Fz_rms
Fz_var
Fz_max
Fz_kurt
Fz_skew
Fz_ptp
Fz_speckurt
Fz_specskew
Fz_wavenergy
AE_F_rms
AE_F_var
AE_F_max
AE_F_kurt
AE_F_skew
AE_F_ptp
AE_F_speckurt
AE_F_specskew
AE_F_wavenergy
AE_RMS_rms
AE_RMS_var
AE_RMS_max
AE_RMS_kurt
AE_RMS_skew
AE_RMS_ptp
AE_RMS_speckurt
AE_RMS_specskew
AE_RMS_wavenergy
