variant,method,n_real,rows,mean_acc,std_acc,mean_macro_f1,std_macro_f1,mean_f1_unworn,mean_f1_worn
all_label_layer1up,real_only,2,10,0.5111199999999999,0.11947439335132305,0.47402,0.12251967461051579,0.54012654012654,0.4079004329004329
all_label_layer1up,real_only,5,10,0.45554000000000006,0.08201743987984778,0.40081,0.11709019742631463,0.4220668220668221,0.37955433455433457
all_label_layer1up,real_only,10,10,0.43333000000000005,0.12231052512173902,0.4016800000000001,0.14060296187808027,0.4136868686868687,0.38968253968253963
all_label_layer1up,real_only,9999,10,0.44442000000000004,0.07410000449842541,0.39254,0.08504964824540234,0.5354922854922854,0.24960317460317455
all_label_multi_raw,real_only,2,10,0.52821,0.07758571532326179,0.49005,0.091956067409026,0.47309637341899097,0.5070142989756461
all_label_multi_raw,real_only,5,10,0.51538,0.06670302008821556,0.4882299999999999,0.07430153355677718,0.48679929023587987,0.4896974999707197
all_label_multi_raw,real_only,10,10,0.52566,0.08222000567582886,0.5011199999999999,0.08668932780657347,0.4391136007146237,0.5631189144737598
all_label_multi_raw,real_only,9999,10,0.49228999999999995,0.0659801224275581,0.47605,0.07157754536165654,0.3905885101259864,0.5615149350936692
all_label_multi_stagez,real_only,2,10,0.5256500000000001,0.0914679694999536,0.48946000000000006,0.10712932164237556,0.47595732524063683,0.5029530111701563
all_label_multi_stagez,real_only,5,10,0.5153800000000001,0.0875285324908398,0.49262999999999996,0.09009191664319527,0.46669684900750374,0.5185619335527537
all_label_multi_stagez,real_only,10,10,0.5410299999999999,0.09162332369241165,0.51155,0.0956498620548462,0.4401216252092347,0.5829998583853225
all_label_multi_stagez,real_only,9999,10,0.49232000000000004,0.06484250663466572,0.47535000000000005,0.07805906951362751,0.3916881230469428,0.5589838673629342
clean_multi_meta,real_only,2,10,0.6649999999999999,0.1841647812874836,0.62963,0.16516658964007624,0.6777560676025282,0.5815365941248294
clean_multi_meta,real_only,5,10,0.76,0.13703203194062977,0.7352000000000001,0.132748207771957,0.7824344916100134,0.687969170417683
clean_multi_meta,real_only,10,10,0.9,0.12472191289246472,0.89133,0.13085258924114232,0.915867888799165,0.8668174962292611
clean_multi_meta,real_only,9999,10,0.9400000000000001,0.1264911064067352,0.8823599999999999,0.24800689596147207,0.9647058823529411,0.8
clean_multi_raw,real_only,2,10,0.6,0.22360679774997896,0.5803200000000001,0.23714909890427818,0.5407869526775074,0.6198566861415158
clean_multi_raw,real_only,5,10,0.6599999999999999,0.24244128727957573,0.6447700000000001,0.25939690758886597,0.6095904139433552,0.6799512409787009
clean_multi_raw,real_only,10,10,0.63,0.24175285819291661,0.61059,0.2635734746812652,0.5650255183413078,0.6561172161172161
clean_multi_raw,real_only,9999,10,0.9400000000000001,0.09944289260117534,0.90007,0.18681166422065001,0.9625605792928962,0.8375757575757575
clean_multi_stagez,real_only,2,10,0.61,0.22085691697969928,0.58843,0.23425108110743054,0.5555346301208369,0.6213377149166622
clean_multi_stagez,real_only,5,10,0.645,0.22167293224227647,0.62857,0.23894318734330508,0.5999095022624434,0.6572300148364223
clean_multi_stagez,real_only,10,10,0.655,0.24658782523789685,0.63611,0.26763675818790905,0.5968532328263113,0.6753705925249875
clean_multi_stagez,real_only,9999,10,0.9549999999999998,0.09264628073124866,0.9223700000000001,0.1818146006238223,0.9720081135902635,0.8727272727272727
clean_multi_stagez_meta,noise_aug,2,10,0.6749999999999999,0.15320646925708528,0.64155,0.1349387206599104,0.7035231977244971,0.5796171802054154
clean_multi_stagez_meta,noise_aug,5,10,0.8099999999999999,0.1308094458023239,0.79992,0.12506316448543553,0.8350372386234455,0.7647938026885395
clean_multi_stagez_meta,noise_aug,10,10,0.95,0.07453559924999298,0.94648,0.07864971286237055,0.959937321937322,0.9330219780219782
clean_multi_stagez_meta,real_only,2,10,0.6599999999999999,0.16964014199999297,0.6297499999999999,0.14739941391410694,0.6795349362327292,0.5799762226078016
clean_multi_stagez_meta,real_only,5,10,0.76,0.13080944580232387,0.73491,0.12658274807852413,0.7836603961402657,0.6861764533308483
clean_multi_stagez_meta,real_only,10,10,0.8949999999999999,0.12572014777097404,0.8855899999999999,0.13073419556064467,0.9111760428029712,0.860028181313011
clean_multi_stagez_meta,real_only,9999,10,0.9400000000000001,0.1264911064067352,0.8823599999999999,0.24800689596147207,0.9647058823529411,0.8
