n_real,metric,comparison,mean_delta,p_raw,holm_q
10,acc,s_c_llm>noise_aug,0.06023662551440327,1.0420196260082336e-06,5.210098130041168e-06
10,macro_f1,s_c_llm>noise_aug,0.06869324251897263,3.642071533249691e-08,2.1852429199498147e-07
25,acc,s_c_llm>noise_aug,0.007201646090534979,0.2422776343258216,0.7268329029774648
25,macro_f1,s_c_llm>noise_aug,0.013005213742152983,0.1382978258179719,0.5531913032718876
50,acc,s_c_llm>noise_aug,-0.04408436213991769,0.9997175052693139,1.0
50,macro_f1,s_c_llm>noise_aug,-0.04247650474290965,0.9997602735293185,1.0
