mean_acc,mean_macro_f1,method,n_real,seeds,std_acc,std_macro_f1
0.39567901234567904,0.38477510374546686,noise_aug,10,40,0.052254192727913325,0.05826164734883172
0.5483539094650206,0.5420796810793925,noise_aug,25,40,0.07751159961454926,0.08278331783137954
0.7304526748971194,0.7307889548809078,noise_aug,50,40,0.054793130092377275,0.054693074749176035
0.3821502057613168,0.37209322608908646,real_only,10,40,0.051643552350327575,0.053722089475961646
0.4973251028806585,0.48922284838717844,real_only,25,40,0.05635814806595591,0.05809530169054737
0.7052469135802469,0.7059949956267989,real_only,50,40,0.07321134483289181,0.07400450739247277
0.4559156378600823,0.4534683462644395,s_c_llm,10,40,0.0444834289354424,0.0456178294467037
0.5555555555555556,0.5550848948215457,s_c_llm,25,40,0.039912201599814935,0.04232894962947143
0.6863683127572017,0.688312450137998,s_c_llm,50,40,0.051672762833576955,0.05112387838571264
