accepted,accepted_path,candidate_sha256,class_identity_prediction,class_name,failure_reasons,rounds_attempted,slot,status
True,s_c/accepted/normal_machining_slot_00.npy,5ce83f0ee457e1693f4bcfab431d6d114528c3ad904587c942acfd28fae3a47e,normal_machining,normal_machining,,3,0,accepted
True,s_c/accepted/lead_screw_anomaly_slot_00.npy,01cdb7bead4a56efb448a63760547495f64a6000ffaf5566650e817bee949233,lead_screw_anomaly,lead_screw_anomaly,,2,0,accepted
True,s_c/accepted/base_imbalance_slot_00.npy,56bf6df1c2c463a180f30b861a6adb73cb1f231edf9c11799c118412fcc1f0a6,base_imbalance,base_imbalance,,2,0,accepted
