comparison,holm_q,mean_delta,metric,n_real,p_raw
s_c_llm>noise_aug,0.75,0.012840466926070038,acc,10,0.2158203125
s_c_llm>noise_aug,0.75,0.017911159944468288,macro_f1,10,0.34765625
s_c_llm>noise_aug,0.697265625,0.02217898832684826,acc,25,0.1376953125
s_c_llm>noise_aug,0.75,0.02031105970623056,macro_f1,25,0.1875
s_c_llm>noise_aug,0.697265625,0.018287937743190662,acc,50,0.1162109375
s_c_llm>noise_aug,0.75,0.007640917707275474,macro_f1,50,0.2783203125
