method,n_real,n_syn,seed,actual_syn,acc,macro_f1,confusion_json
real_only,2,10,0,0,0.6274509803921569,0.6056166056166056,"[[40,56],[20,88]]"
noise_aug,2,10,0,20,0.6274509803921569,0.6056166056166056,"[[40,56],[20,88]]"
rule,2,10,0,20,0.6666666666666666,0.6415503875968992,"[[41,55],[13,95]]"
random_open_loop,2,10,0,20,0.6617647058823529,0.6372819336717602,"[[41,55],[14,94]]"
LLM_synthetic,2,10,0,20,0.6617647058823529,0.6372819336717602,"[[41,55],[14,94]]"
real_only,2,20,0,0,0.6225490196078431,0.5994389901823282,"[[39,57],[20,88]]"
noise_aug,2,20,0,40,0.5882352941176471,0.5717712914834066,"[[40,56],[28,80]]"
rule,2,20,0,40,0.6715686274509803,0.64582415589127,"[[41,55],[12,96]]"
random_open_loop,2,20,0,40,0.6764705882352942,0.6501039501039501,"[[41,55],[11,97]]"
LLM_synthetic,2,20,0,40,0.6666666666666666,0.6415503875968992,"[[41,55],[13,95]]"
real_only,2,40,0,0,0.6225490196078431,0.6013906158804274,"[[40,56],[21,87]]"
noise_aug,2,40,0,80,0.6274509803921569,0.6074936708860759,"[[41,55],[21,87]]"
rule,2,40,0,80,0.696078431372549,0.6672979797979798,"[[41,55],[7,101]]"
random_open_loop,2,40,0,80,0.6813725490196079,0.6543904918289154,"[[41,55],[10,98]]"
LLM_synthetic,2,40,0,80,0.6666666666666666,0.6415503875968992,"[[41,55],[13,95]]"
real_only,2,10,1,0,0.5196078431372549,0.5173346209560599,"[[46,50],[48,60]]"
noise_aug,2,10,1,20,0.5245098039215687,0.5219250561716315,"[[46,50],[47,61]]"
rule,2,10,1,20,0.5833333333333334,0.5734841962858197,"[[44,52],[33,75]]"
random_open_loop,2,10,1,20,0.5980392156862745,0.5891541408782788,"[[46,50],[32,76]]"
LLM_synthetic,2,10,1,20,0.5882352941176471,0.5803291536050157,"[[46,50],[34,74]]"
real_only,2,20,1,0,0.5196078431372549,0.5166344294003868,"[[45,51],[47,61]]"
noise_aug,2,20,1,40,0.5343137254901961,0.5317822715082989,"[[47,49],[46,62]]"
rule,2,20,1,40,0.6029411764705882,0.5935555282253104,"[[46,50],[31,77]]"
random_open_loop,2,20,1,40,0.6029411764705882,0.5922718187874749,"[[45,51],[30,78]]"
LLM_synthetic,2,20,1,40,0.6127450980392157,0.6023391812865497,"[[46,50],[29,79]]"
real_only,2,40,1,0,0.5245098039215687,0.5219250561716315,"[[46,50],[47,61]]"
noise_aug,2,40,1,80,0.5294117647058824,0.5264990328820116,"[[46,50],[46,62]]"
rule,2,40,1,80,0.6078431372549019,0.5979503350413875,"[[46,50],[30,78]]"
random_open_loop,2,40,1,80,0.6078431372549019,0.5952380952380952,"[[44,52],[28,80]]"
LLM_synthetic,2,40,1,80,0.6127450980392157,0.5995726389544562,"[[44,52],[27,81]]"
real_only,2,10,2,0,0.6127450980392157,0.591037125383815,"[[86,10],[69,39]]"
noise_aug,2,10,2,20,0.6029411764705882,0.5764705882352941,"[[87,9],[72,36]]"
rule,2,10,2,20,0.7401960784313726,0.7368510721152676,"[[87,9],[44,64]]"
random_open_loop,2,10,2,20,0.7450980392156863,0.7420986093552465,"[[87,9],[43,65]]"
LLM_synthetic,2,10,2,20,0.7352941176470589,0.7315789473684211,"[[87,9],[45,63]]"
real_only,2,20,2,0,0.5980392156862745,0.5723489109315881,"[[86,10],[72,36]]"
noise_aug,2,20,2,40,0.5980392156862745,0.5744810744810744,"[[85,11],[71,37]]"
rule,2,20,2,40,0.75,0.7473224043715847,"[[87,9],[42,66]]"
random_open_loop,2,20,2,40,0.7450980392156863,0.7420986093552465,"[[87,9],[43,65]]"
LLM_synthetic,2,20,2,40,0.7450980392156863,0.7426242236024845,"[[86,10],[42,66]]"
real_only,2,40,2,0,0.5735294117647058,0.5401000233214999,"[[86,10],[77,31]]"
noise_aug,2,40,2,80,0.5784313725490197,0.5466666666666666,"[[86,10],[76,32]]"
rule,2,40,2,80,0.7450980392156863,0.7420986093552465,"[[87,9],[43,65]]"
