variant,n_syn_per_class,method,n_real,acc_mean,macro_f1_mean,acc_std,macro_f1_std,rows,csv
controls_and_original_llm,40,rule,5,0.2927,0.26765,0.028174693136453745,0.029930707011733327,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv
controls_and_original_llm,40,llm,10,0.31465,0.29666,0.0532509207014823,0.06325653589419304,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_llm_nsyn40.csv
controls_and_original_llm,40,noise_aug,10,0.41952,0.41253,0.09252766313078724,0.09238039775238517,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_noise_aug_nsyn40.csv
controls_and_original_llm,40,random_open_loop,10,0.46340000000000003,0.44184999999999997,0.061941621261026446,0.07551041502850966,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_random_open_loop_nsyn40.csv
controls_and_original_llm,40,rule,10,0.33417,0.30778,0.03052023190533708,0.043121013181252804,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv
original_llm,20,llm,2,0.33661,0.31218,0.04422438869623361,0.05533493571977031,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv
original_llm,20,llm,5,0.33660999999999996,0.30838,0.04270239259495108,0.05629720340399789,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv
original_llm,20,llm,10,0.33661,0.30624,0.029974376093961027,0.03434563533648296,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv
surrogate_rerender,10,llm,2,0.45124,0.34961000000000003,0.098394006140844,0.0486561050183382,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn10_10seed/umich_v2_surrogate_llm_nsyn10.csv
surrogate_rerender,10,llm,5,0.47074999999999995,0.33997,0.11615160830187032,0.05531335080952679,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn10_10seed/umich_v2_surrogate_llm_nsyn10.csv
surrogate_rerender,10,llm,10,0.4146500000000001,0.32913,0.12647997865274963,0.05626680588450391,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn10_10seed/umich_v2_surrogate_llm_nsyn10.csv
surrogate_rerender,20,llm,2,0.33905,0.31577999999999995,0.046627775461032285,0.046147295575026816,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn20_10seed/umich_v2_surrogate_llm_nsyn20.csv
surrogate_rerender,20,llm,5,0.34636,0.32319,0.03948004277831747,0.05525350567058066,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn20_10seed/umich_v2_surrogate_llm_nsyn20.csv
surrogate_rerender,20,llm,10,0.34391,0.3179,0.04660685333486673,0.058021049820062905,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn20_10seed/umich_v2_surrogate_llm_nsyn20.csv
surrogate_rerender,40,llm,2,0.31953000000000004,0.30234,0.04056588742061762,0.048835920295527455,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn40_10seed/umich_v2_surrogate_llm_nsyn40.csv
surrogate_rerender,40,llm,5,0.34147,0.33152,0.04143281174249327,0.05109587502376727,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn40_10seed/umich_v2_surrogate_llm_nsyn40.csv
surrogate_rerender,40,llm,10,0.34635999999999995,0.33604,0.029961723730267738,0.03850365639203055,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn40_10seed/umich_v2_surrogate_llm_nsyn40.csv
