n_syn_per_class,method,n_real,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,rows,csv
40,noise_aug,2,0.44392,0.08273919936227997,0.43704,0.08833276980952325,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_noise_aug_nsyn40.csv
40,random_open_loop,2,0.48048,0.05020316059107568,0.46784,0.06084216739509971,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_random_open_loop_nsyn40.csv
40,rule,2,0.30978,0.028291844132973105,0.28054999999999997,0.03388032041039622,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv
40,llm,5,0.31710000000000005,0.038148714846563896,0.30110000000000003,0.04891157554426378,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_llm_nsyn40.csv
40,noise_aug,5,0.46829,0.06381292885371184,0.45958000000000004,0.06596744651720272,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_noise_aug_nsyn40.csv
40,random_open_loop,5,0.47074,0.08608015902504931,0.43083,0.0911439161131693,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_random_open_loop_nsyn40.csv
40,rule,5,0.2927,0.028174693136453745,0.26765,0.029930707011733327,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv
40,llm,10,0.31465,0.0532509207014823,0.29666,0.06325653589419304,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_llm_nsyn40.csv
40,noise_aug,10,0.41952,0.09252766313078724,0.41253,0.09238039775238517,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_noise_aug_nsyn40.csv
40,random_open_loop,10,0.46340000000000003,0.061941621261026446,0.44184999999999997,0.07551041502850966,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_random_open_loop_nsyn40.csv
40,rule,10,0.33417,0.03052023190533708,0.30778,0.043121013181252804,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv
