variant,n_syn_per_class,method,n_real,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,rows,csv,f1_unworn_mean,f1_worn_mean
controls_and_original_llm,40,rule,2,0.30978,0.028291844132973105,0.28054999999999997,0.03388032041039622,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv,0.13781855557472256,0.4232752334976544
controls_and_original_llm,40,llm,5,0.31710000000000005,0.038148714846563896,0.30110000000000003,0.04891157554426378,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_llm_nsyn40.csv,0.20636709478465196,0.3958231939338604
controls_and_original_llm,40,noise_aug,5,0.46829,0.06381292885371184,0.45958000000000004,0.06596744651720272,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_noise_aug_nsyn40.csv,0.44465416563063254,0.4744905303719215
controls_and_original_llm,40,random_open_loop,5,0.47074,0.08608015902504931,0.43083,0.0911439161131693,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_random_open_loop_nsyn40.csv,0.38305989622059766,0.47858708287024987
controls_and_original_llm,40,rule,5,0.2927,0.028174693136453745,0.26765,0.029930707011733327,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv,0.135176377491368,0.4001263224993975
controls_and_original_llm,40,llm,10,0.31465,0.0532509207014823,0.29666,0.06325653589419304,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_llm_nsyn40.csv,0.19547890891581593,0.39780402015878813
controls_and_original_llm,40,noise_aug,10,0.41952,0.09252766313078724,0.41253,0.09238039775238517,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_noise_aug_nsyn40.csv,0.3592999760288139,0.4657522383453264
controls_and_original_llm,40,random_open_loop,10,0.46340000000000003,0.061941621261026446,0.44184999999999997,0.07551041502850966,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_random_open_loop_nsyn40.csv,0.453632500465688,0.43007561203154837
controls_and_original_llm,40,rule,10,0.33417,0.03052023190533708,0.30778,0.043121013181252804,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_scan_nsyn40_10seed/umich_v2_rule_nsyn40.csv,0.17922779608263478,0.43635098180736753
llm_v2_repair,10,llm,2,0.48049,0.0941688607414008,0.34313000000000005,0.04496811339407315,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn10_10seed/umich_v2_llm_v2_llm_nsyn10.csv,0.05006242380384257,0.6362017830292961
llm_v2_repair,10,llm,5,0.50245,0.0755805567295952,0.36146,0.022222221111111076,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn10_10seed/umich_v2_llm_v2_llm_nsyn10.csv,0.07213530734632684,0.650804802820047
llm_v2_repair,10,llm,10,0.41222000000000003,0.09853002700812695,0.32289,0.045888256788759275,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn10_10seed/umich_v2_llm_v2_llm_nsyn10.csv,0.09306824653435267,0.5526953936329629
llm_v2_repair,20,llm,2,0.34149,0.030414340550324465,0.29399999999999993,0.02496673342225165,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn20_10seed/umich_v2_llm_v2_llm_nsyn20.csv,0.11484577263113874,0.47313716808944334
llm_v2_repair,20,llm,5,0.36831,0.054461106407335425,0.31706,0.03609531209943412,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn20_10seed/umich_v2_llm_v2_llm_nsyn20.csv,0.14232616947214938,0.4917898025397934
llm_v2_repair,20,llm,10,0.37074,0.04567793534933226,0.32055,0.04582661162832501,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn20_10seed/umich_v2_llm_v2_llm_nsyn20.csv,0.15188227950398336,0.4891777748275885
llm_v2_repair,40,llm,2,0.31466000000000005,0.026852320404596532,0.28473,0.03313024968883339,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn40_10seed/umich_v2_llm_v2_llm_nsyn40.csv,0.14254107899269192,0.42692148864099827
llm_v2_repair,40,llm,5,0.35368,0.04183652843044115,0.33536,0.057796332063548804,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn40_10seed/umich_v2_llm_v2_llm_nsyn40.csv,0.241712533487336,0.4290094848738405
llm_v2_repair,40,llm,10,0.3488,0.04458948555682408,0.33185,0.05523529970348068,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_v2_nsyn40_10seed/umich_v2_llm_v2_llm_nsyn40.csv,0.2361106316450619,0.42758326772201666
original_llm,20,llm,2,0.33661,0.04422438869623361,0.31218,0.05533493571977031,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv,0.20078668485600448,0.4235793441103081
original_llm,20,llm,5,0.33660999999999996,0.04270239259495108,0.30838,0.05629720340399789,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv,0.18605603794266923,0.4307042004161241
original_llm,20,llm,10,0.33661,0.029974376093961027,0.30624,0.03434563533648296,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_smoke_nsyn20_10seed/umich_v2_llm_nsyn20.csv,0.1757836463680117,0.43669297369297366
surrogate_rerender,10,llm,2,0.45124,0.098394006140844,0.34961000000000003,0.0486561050183382,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn10_10seed/umich_v2_surrogate_llm_nsyn10.csv,0.11107660455486543,0.5881200627953563
surrogate_rerender,10,llm,5,0.47074999999999995,0.11615160830187032,0.33997,0.05531335080952679,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn10_10seed/umich_v2_surrogate_llm_nsyn10.csv,0.06336303845378255,0.6165784248476969
surrogate_rerender,10,llm,10,0.4146500000000001,0.12647997865274963,0.32913,0.05626680588450391,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn10_10seed/umich_v2_surrogate_llm_nsyn10.csv,0.11667631603115473,0.5415887829490771
surrogate_rerender,20,llm,2,0.33905,0.046627775461032285,0.31577999999999995,0.046147295575026816,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn20_10seed/umich_v2_surrogate_llm_nsyn20.csv,0.19717882024170058,0.43436415787755767
surrogate_rerender,20,llm,5,0.34636,0.03948004277831747,0.32319,0.05525350567058066,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn20_10seed/umich_v2_surrogate_llm_nsyn20.csv,0.21937211152728392,0.4269731063432235
surrogate_rerender,20,llm,10,0.34391,0.04660685333486673,0.3179,0.058021049820062905,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn20_10seed/umich_v2_surrogate_llm_nsyn20.csv,0.19968817363978655,0.43611745607414615
surrogate_rerender,40,llm,2,0.31953000000000004,0.04056588742061762,0.30234,0.048835920295527455,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn40_10seed/umich_v2_surrogate_llm_nsyn40.csv,0.20592701554156312,0.3987547371730046
surrogate_rerender,40,llm,5,0.34147,0.04143281174249327,0.33152,0.05109587502376727,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn40_10seed/umich_v2_surrogate_llm_nsyn40.csv,0.26968664377147755,0.393359772052959
surrogate_rerender,40,llm,10,0.34635999999999995,0.029961723730267738,0.33604,0.03850365639203055,10,10,breeze/results/milling_umich_v2_2026-07-08/downstream_llm_surrogate_nsyn40_10seed/umich_v2_surrogate_llm_nsyn40.csv,0.26881252153427976,0.40324295773928975
