method,n_real,n_syn,seed,condition_id,n,acc,macro_f1
real_only,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7083333333333334,0.7
real_only,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6875,0.6761133603238867
noise_aug,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7291666666666666,0.7232815964523283
rule,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7407407407407407,0.7157894736842105
random_open_loop,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7291666666666666,0.7232815964523283
random_open_loop,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6111111111111112,0.5249266862170088
LLM_synthetic,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7395833333333334,0.734718691278877
LLM_synthetic,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6296296296296297,0.5636363636363636
real_only,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7083333333333334,0.7
real_only,2,20,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6875,0.6761133603238867
noise_aug,2,20,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.75,0.746031746031746
