method,n_real,n_syn,seed,class,f1
real_only,2,10,0,healthy,0.525
real_only,2,10,0,worn,0.6935483870967742
noise_aug,2,10,0,healthy,0.5185185185185185
noise_aug,2,10,0,worn,0.6829268292682927
rule,2,10,0,healthy,0.7096774193548387
rule,2,10,0,worn,0.7567567567567568
random_open_loop,2,10,0,healthy,0.6046511627906976
random_open_loop,2,10,0,worn,0.711864406779661
LLM_synthetic,2,10,0,healthy,0.6285714285714286
LLM_synthetic,2,10,0,worn,0.721030042918455
real_only,2,20,0,healthy,0.525
real_only,2,20,0,worn,0.6935483870967742
noise_aug,2,20,0,healthy,0.5185185185185185
noise_aug,2,20,0,worn,0.6829268292682927
rule,2,20,0,healthy,0.7127659574468085
rule,2,20,0,worn,0.7545454545454545
random_open_loop,2,20,0,healthy,0.6842105263157895
random_open_loop,2,20,0,worn,0.7247706422018348
LLM_synthetic,2,20,0,healthy,0.723404255319149
LLM_synthetic,2,20,0,worn,0.7636363636363637
real_only,2,40,0,healthy,0.525
real_only,2,40,0,worn,0.6935483870967742
noise_aug,2,40,0,healthy,0.5185185185185185
noise_aug,2,40,0,worn,0.6829268292682927
rule,2,40,0,healthy,0.7329842931937173
rule,2,40,0,worn,0.7649769585253456
random_open_loop,2,40,0,healthy,0.7487179487179487
random_open_loop,2,40,0,worn,0.7699530516431925
LLM_synthetic,2,40,0,healthy,0.75
LLM_synthetic,2,40,0,worn,0.7777777777777778
real_only,2,10,1,healthy,0.4787234042553192
real_only,2,10,1,worn,0.5545454545454546
noise_aug,2,10,1,healthy,0.48128342245989303
noise_aug,2,10,1,worn,0.5610859728506787
rule,2,10,1,healthy,0.6063829787234043
rule,2,10,1,worn,0.6636363636363637
random_open_loop,2,10,1,healthy,0.5968586387434555
random_open_loop,2,10,1,worn,0.6451612903225806
LLM_synthetic,2,10,1,healthy,0.5789473684210527
LLM_synthetic,2,10,1,worn,0.6330275229357798
real_only,2,20,1,healthy,0.4787234042553192
real_only,2,20,1,worn,0.5545454545454546
noise_aug,2,20,1,healthy,0.4838709677419355
noise_aug,2,20,1,worn,0.5675675675675675
rule,2,20,1,healthy,0.673469387755102
rule,2,20,1,worn,0.6981132075471698
random_open_loop,2,20,1,healthy,0.6598984771573604
random_open_loop,2,20,1,worn,0.6824644549763034
LLM_synthetic,2,20,1,healthy,0.6354166666666666
LLM_synthetic,2,20,1,worn,0.6759259259259259
real_only,2,40,1,healthy,0.4787234042553192
real_only,2,40,1,worn,0.5545454545454546
noise_aug,2,40,1,healthy,0.4891304347826087
noise_aug,2,40,1,worn,0.5803571428571429
rule,2,40,1,healthy,0.7439613526570048
rule,2,40,1,worn,0.736318407960199
random_open_loop,2,40,1,healthy,0.71
random_open_loop,2,40,1,worn,0.7211538461538461
LLM_synthetic,2,40,1,healthy,0.6701030927835051
LLM_synthetic,2,40,1,worn,0.7009345794392523
real_only,2,10,2,healthy,0.6719367588932806
real_only,2,10,2,worn,0.4645161290322581
noise_aug,2,10,2,healthy,0.6639676113360324
noise_aug,2,10,2,worn,0.484472049689441
rule,2,10,2,healthy,0.7280701754385965
rule,2,10,2,worn,0.6555555555555556
random_open_loop,2,10,2,healthy,0.711864406779661
random_open_loop,2,10,2,worn,0.6046511627906976
LLM_synthetic,2,10,2,healthy,0.6882591093117408
LLM_synthetic,2,10,2,worn,0.5217391304347826
real_only,2,20,2,healthy,0.6719367588932806
real_only,2,20,2,worn,0.4645161290322581
noise_aug,2,20,2,healthy,0.6776859504132231
noise_aug,2,20,2,worn,0.5301204819277109
rule,2,20,2,healthy,0.7391304347826086
rule,2,20,2,worn,0.6629213483146067
random_open_loop,2,20,2,healthy,0.7304347826086957
random_open_loop,2,20,2,worn,0.651685393258427
LLM_synthetic,2,20,2,healthy,0.7264957264957265
LLM_synthetic,2,20,2,worn,0.632183908045977
real_only,2,40,2,healthy,0.6719367588932806
real_only,2,40,2,worn,0.4645161290322581
noise_aug,2,40,2,healthy,0.6585365853658537
noise_aug,2,40,2,worn,0.48148148148148145
rule,2,40,2,healthy,0.7692307692307693
rule,2,40,2,worn,0.7272727272727273
random_open_loop,2,40,2,healthy,0.7400881057268722
random_open_loop,2,40,2,worn,0.6740331491712708
LLM_synthetic,2,40,2,healthy,0.7217391304347827
LLM_synthetic,2,40,2,worn,0.6404494382022472
real_only,2,10,3,healthy,0.7011070110701108
real_only,2,10,3,worn,0.40875912408759124
noise_aug,2,10,3,healthy,0.7089552238805971
noise_aug,2,10,3,worn,0.44285714285714284
rule,2,10,3,healthy,0.7251908396946565
rule,2,10,3,worn,0.5068493150684932
random_open_loop,2,10,3,healthy,0.7111111111111111
random_open_loop,2,10,3,worn,0.43478260869565216
LLM_synthetic,2,10,3,healthy,0.7191011235955056
LLM_synthetic,2,10,3,worn,0.46808510638297873
real_only,2,20,3,healthy,0.7011070110701108
real_only,2,20,3,worn,0.40875912408759124
noise_aug,2,20,3,healthy,0.7089552238805971
noise_aug,2,20,3,worn,0.44285714285714284
rule,2,20,3,healthy,0.732824427480916
rule,2,20,3,worn,0.5205479452054794
random_open_loop,2,20,3,healthy,0.75
random_open_loop,2,20,3,worn,0.5789473684210527
LLM_synthetic,2,20,3,healthy,0.7137546468401487
LLM_synthetic,2,20,3,worn,0.4460431654676259
real_only,2,40,3,healthy,0.7011070110701108
real_only,2,40,3,worn,0.40875912408759124
noise_aug,2,40,3,healthy,0.7116104868913857
noise_aug,2,40,3,worn,0.45390070921985815
rule,2,40,3,healthy,0.7710843373493976
rule,2,40,3,worn,0.6415094339622641
random_open_loop,2,40,3,healthy,0.7773279352226721
random_open_loop,2,40,3,worn,0.6583850931677019
LLM_synthetic,2,40,3,healthy,0.7441860465116279
LLM_synthetic,2,40,3,worn,0.56
real_only,2,10,4,healthy,0.6530612244897959
real_only,2,10,4,worn,0.6792452830188679
noise_aug,2,10,4,healthy,0.6492146596858639
noise_aug,2,10,4,worn,0.6912442396313364
rule,2,10,4,healthy,0.7766990291262136
rule,2,10,4,worn,0.7722772277227723
random_open_loop,2,10,4,healthy,0.7523809523809524
random_open_loop,2,10,4,worn,0.7373737373737373
LLM_synthetic,2,10,4,healthy,0.782608695652174
LLM_synthetic,2,10,4,worn,0.7761194029850746
real_only,2,20,4,healthy,0.6530612244897959
real_only,2,20,4,worn,0.6792452830188679
noise_aug,2,20,4,healthy,0.6458333333333334
noise_aug,2,20,4,worn,0.6851851851851852
rule,2,20,4,healthy,0.8
rule,2,20,4,worn,0.7878787878787878
random_open_loop,2,20,4,healthy,0.8245614035087719
random_open_loop,2,20,4,worn,0.7777777777777778
LLM_synthetic,2,20,4,healthy,0.8281938325991189
LLM_synthetic,2,20,4,worn,0.7845303867403315
real_only,2,40,4,healthy,0.6530612244897959
real_only,2,40,4,worn,0.6792452830188679
noise_aug,2,40,4,healthy,0.6424870466321243
noise_aug,2,40,4,worn,0.6790697674418604
rule,2,40,4,healthy,0.831858407079646
rule,2,40,4,worn,0.7912087912087912
random_open_loop,2,40,4,healthy,0.808695652173913
random_open_loop,2,40,4,worn,0.7528089887640449
LLM_synthetic,2,40,4,healthy,0.8103448275862069
LLM_synthetic,2,40,4,worn,0.75
real_only,2,10,5,healthy,0.6982758620689655
real_only,2,10,5,worn,0.6022727272727273
noise_aug,2,10,5,healthy,0.6721991701244814
noise_aug,2,10,5,worn,0.5269461077844312
rule,2,10,5,healthy,0.7553648068669528
rule,2,10,5,worn,0.6742857142857143
random_open_loop,2,10,5,healthy,0.6859504132231405
random_open_loop,2,10,5,worn,0.5421686746987951
LLM_synthetic,2,10,5,healthy,0.6974789915966386
LLM_synthetic,2,10,5,worn,0.5764705882352941
real_only,2,20,5,healthy,0.6982758620689655
real_only,2,20,5,worn,0.6022727272727273
noise_aug,2,20,5,healthy,0.6833333333333333
noise_aug,2,20,5,worn,0.5476190476190477
rule,2,20,5,healthy,0.7416666666666667
rule,2,20,5,worn,0.6309523809523809
random_open_loop,2,20,5,healthy,0.7241379310344828
random_open_loop,2,20,5,worn,0.6363636363636364
LLM_synthetic,2,20,5,healthy,0.6776859504132231
LLM_synthetic,2,20,5,worn,0.5301204819277109
real_only,2,40,5,healthy,0.6982758620689655
real_only,2,40,5,worn,0.6022727272727273
noise_aug,2,40,5,healthy,0.680672268907563
noise_aug,2,40,5,worn,0.5529411764705883
rule,2,40,5,healthy,0.7257383966244726
rule,2,40,5,worn,0.6198830409356725
random_open_loop,2,40,5,healthy,0.7583333333333333
random_open_loop,2,40,5,worn,0.6547619047619048
LLM_synthetic,2,40,5,healthy,0.702928870292887
LLM_synthetic,2,40,5,worn,0.5798816568047337
real_only,2,10,6,healthy,0.3851851851851852
real_only,2,10,6,worn,0.6959706959706959
noise_aug,2,10,6,healthy,0.4444444444444444
noise_aug,2,10,6,worn,0.696969696969697
rule,2,10,6,healthy,0.7351351351351352
rule,2,10,6,worn,0.7802690582959642
random_open_loop,2,10,6,healthy,0.7052023121387283
random_open_loop,2,10,6,worn,0.7829787234042553
LLM_synthetic,2,10,6,healthy,0.782608695652174
LLM_synthetic,2,10,6,worn,0.8214285714285714
real_only,2,20,6,healthy,0.3851851851851852
real_only,2,20,6,worn,0.6959706959706959
noise_aug,2,20,6,healthy,0.4383561643835616
noise_aug,2,20,6,worn,0.6870229007633588
rule,2,20,6,healthy,0.8080808080808081
rule,2,20,6,worn,0.819047619047619
random_open_loop,2,20,6,healthy,0.7351351351351352
random_open_loop,2,20,6,worn,0.7802690582959642
LLM_synthetic,2,20,6,healthy,0.7875647668393783
LLM_synthetic,2,20,6,worn,0.8093023255813954
real_only,2,40,6,healthy,0.3851851851851852
real_only,2,40,6,worn,0.6959706959706959
noise_aug,2,40,6,healthy,0.47619047619047616
noise_aug,2,40,6,worn,0.7049808429118773
rule,2,40,6,healthy,0.8040201005025126
rule,2,40,6,worn,0.8133971291866029
random_open_loop,2,40,6,healthy,0.8121827411167513
random_open_loop,2,40,6,worn,0.8246445497630331
LLM_synthetic,2,40,6,healthy,0.7897435897435897
LLM_synthetic,2,40,6,worn,0.8075117370892019
real_only,2,10,7,healthy,0.6620689655172414
real_only,2,10,7,worn,0.1694915254237288
noise_aug,2,10,7,healthy,0.6736842105263158
noise_aug,2,10,7,worn,0.24390243902439024
rule,2,10,7,healthy,0.7007299270072993
rule,2,10,7,worn,0.3880597014925373
random_open_loop,2,10,7,healthy,0.6931407942238267
random_open_loop,2,10,7,worn,0.3511450381679389
LLM_synthetic,2,10,7,healthy,0.6881720430107527
LLM_synthetic,2,10,7,worn,0.32558139534883723
real_only,2,20,7,healthy,0.6620689655172414
real_only,2,20,7,worn,0.1694915254237288
noise_aug,2,20,7,healthy,0.6784452296819788
noise_aug,2,20,7,worn,0.272
rule,2,20,7,healthy,0.7058823529411765
rule,2,20,7,worn,0.4117647058823529
random_open_loop,2,20,7,healthy,0.7164179104477612
random_open_loop,2,20,7,worn,0.45714285714285713
LLM_synthetic,2,20,7,healthy,0.6906474820143885
LLM_synthetic,2,20,7,worn,0.3384615384615385
real_only,2,40,7,healthy,0.6620689655172414
real_only,2,40,7,worn,0.1694915254237288
noise_aug,2,40,7,healthy,0.6808510638297872
noise_aug,2,40,7,worn,0.2857142857142857
rule,2,40,7,healthy,0.7218045112781954
rule,2,40,7,worn,0.4788732394366197
random_open_loop,2,40,7,healthy,0.7191011235955056
random_open_loop,2,40,7,worn,0.46808510638297873
LLM_synthetic,2,40,7,healthy,0.6857142857142857
LLM_synthetic,2,40,7,worn,0.3125
real_only,2,10,8,healthy,0.7649402390438247
real_only,2,10,8,worn,0.6242038216560509
noise_aug,2,10,8,healthy,0.7441860465116279
noise_aug,2,10,8,worn,0.56
rule,2,10,8,healthy,0.8225108225108225
rule,2,10,8,worn,0.768361581920904
random_open_loop,2,10,8,healthy,0.8
random_open_loop,2,10,8,worn,0.7142857142857143
LLM_synthetic,2,10,8,healthy,0.7901234567901234
LLM_synthetic,2,10,8,worn,0.6909090909090909
real_only,2,20,8,healthy,0.7649402390438247
