method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
rule,severe,energy_frac_ch1,0.91886032,0.92753772,0.0086774047,0.352538,0.009444,0.275401
rule,severe,energy_frac_ch2,0.0080881008,0.0089178777,0.00082977692,0.087726,0.102592,0.425134
rule,severe,energy_frac_ch3,0.0010628536,0.0010991496,3.6295985e-05,0.043674,0.034150,0.737968
rule,severe,energy_frac_ch4,0.00094984231,0.00075739183,-0.00019245048,-0.314705,-0.202613,0.251337
rule,severe,energy_frac_ch5,0.0012894378,0.0010204258,-0.00026901205,-0.231230,-0.208627,0.663102
rule,severe,high_band_frac,0.0076498361,0.0075622605,-8.7575511e-05,-0.028688,-0.011448,0.549198
rule,severe,total_rms,3.3177083,3.3157316,-0.0019767496,-0.001752,-0.000596,0.066845
random_open_loop,sharp,ch0_band0_frac,0.0094587127,0.010801177,0.0013424641,0.203310,0.141929,0.553431
random_open_loop,sharp,ch0_band1_frac,0.97426122,0.92170463,-0.052556595,-5.685763,-0.053945,0.105882
random_open_loop,sharp,ch0_band2_frac,0.0051635296,0.015986426,0.010822896,1.973788,2.096027,0.250490
random_open_loop,sharp,ch0_band3_frac,0.0035149843,0.018909264,0.01539428,16.550838,4.379616,0.000000
random_open_loop,sharp,ch0_band4_frac,0.0034139219,0.018221052,0.01480713,13.016137,4.337279,0.000000
random_open_loop,sharp,ch0_band5_frac,0.0035732116,0.013631776,0.010058565,9.319039,2.814993,0.048529
random_open_loop,sharp,ch0_crest,2.0371173,2.5969128,0.55979547,3.408827,0.274798,0.155882
random_open_loop,sharp,ch0_kurtosis,1.6314928,2.3675103,0.73601743,12.170962,0.451131,0.050980
random_open_loop,sharp,ch0_rms,1.094638,2.0863613,0.99172325,2.420114,0.905983,0.088235
random_open_loop,sharp,ch0_skewness,-0.015809661,-0.0034792855,0.012330376,0.642076,0.779927,0.493627
random_open_loop,sharp,ch0_tooth_rms_cv,0.4208966,0.56962661,0.14873001,5.661145,0.353365,0.282843
random_open_loop,sharp,ch0_tpf_amp_ratio,0.0038090365,0.012068324,0.0082592873,5.837954,2.168340,0.060784
random_open_loop,sharp,ch1_band0_frac,0.79873941,0.65706373,-0.14167567,-0.654921,-0.177374,0.096078
random_open_loop,sharp,ch1_band1_frac,0.084574874,0.17720425,0.092629381,0.891347,1.095235,0.234314
random_open_loop,sharp,ch1_band2_frac,0.092882792,0.12793477,0.035051975,0.598943,0.377379,0.412255
random_open_loop,sharp,ch1_band3_frac,0.00022422419,0.018202804,0.01797858,101.867382,80.181267,0.935294
random_open_loop,sharp,ch1_band4_frac,0.00012508713,0.015781393,0.015656306,100.159209,125.163205,0.005882
random_open_loop,sharp,ch1_band5_frac,9.4011587e-05,0.012210811,0.012116799,98.193727,128.886231,0.000000
random_open_loop,sharp,ch1_crest,1.0581414,1.224214,0.16607258,5.500072,0.156947,0.164216
random_open_loop,sharp,ch1_kurtosis,2.210076,2.7283822,0.5183062,1.510527,0.234520,0.449020
random_open_loop,sharp,ch1_rms,4.2847664,3.3730308,-0.91173555,-0.545959,-0.212785,0.164706
random_open_loop,sharp,ch1_skewness,-0.021740965,0.0071879231,0.028928888,0.169506,1.330617,0.852451
random_open_loop,sharp,ch1_tooth_rms_cv,0.02585174,0.082194574,0.056342834,4.967653,2.179460,0.239216
random_open_loop,sharp,ch1_tpf_amp_ratio,0.00088323457,0.010976623,0.010093388,17.931614,11.427755,0.032843
random_open_loop,sharp,ch2_band0_frac,0.0093511957,0.01146545,0.0021142543,0.161567,0.226095,0.770588
random_open_loop,sharp,ch2_band1_frac,0.20806202,0.43050991,0.22244789,0.949034,1.069142,0.336275
random_open_loop,sharp,ch2_band2_frac,0.20609336,0.27063906,0.064545705,0.225086,0.313187,0.375000
random_open_loop,sharp,ch2_band3_frac,0.17112238,0.14197508,-0.029147293,-0.283795,-0.170330,0.523529
random_open_loop,sharp,ch2_band4_frac,0.1214044,0.13396405,0.01255965,0.118002,0.103453,0.509804
random_open_loop,sharp,ch2_band5_frac,0.011331321,0.015854517,0.0045231955,0.551895,0.399176,0.568627
random_open_loop,sharp,ch2_crest,1.4802864,2.1708712,0.69058476,2.664111,0.466521,0.333824
random_open_loop,sharp,ch2_kurtosis,2.6754214,2.7812288,0.10580738,0.106557,0.039548,0.943137
random_open_loop,sharp,ch2_rms,0.94335809,0.55530784,-0.38805024,-1.126329,-0.411350,0.123529
random_open_loop,sharp,ch2_skewness,-0.19896918,-0.045519676,0.1534495,0.262279,0.771222,0.658824
random_open_loop,sharp,ch2_tooth_rms_cv,0.16432203,0.37202194,0.20769991,1.759646,1.263981,0.473529
random_open_loop,sharp,ch2_tpf_amp_ratio,0.099447236,0.096847309,-0.0025999277,-0.049196,-0.026144,0.531373
random_open_loop,sharp,ch3_band0_frac,0.28610928,0.35387735,0.06776807,0.330698,0.236861,0.332353
random_open_loop,sharp,ch3_band1_frac,0.16448148,0.16628877,0.0018072861,0.023098,0.010988,0.626961
random_open_loop,sharp,ch3_band2_frac,0.16178827,0.15542507,-0.0063631976,-0.099811,-0.039330,0.604412
random_open_loop,sharp,ch3_band3_frac,0.13910493,0.13125382,-0.0078511071,-0.147549,-0.056440,0.448039
random_open_loop,sharp,ch3_band4_frac,0.088849227,0.087147341,-0.0017018855,-0.061988,-0.019155,0.634314
random_open_loop,sharp,ch3_band5_frac,0.098445368,0.083571871,-0.014873497,-0.322896,-0.151084,0.533824
random_open_loop,sharp,ch3_crest,1.1776664,1.1106277,-0.067038664,-1.262162,-0.056925,0.649510
random_open_loop,sharp,ch3_kurtosis,3.8497455,2.9028626,-0.94688291,-1.069966,-0.245960,0.901961
random_open_loop,sharp,ch3_rms,0.30210757,0.4666011,0.16449353,8.574568,0.544487,0.198039
random_open_loop,sharp,ch3_skewness,0.66597055,-0.068798863,-0.73476942,-2.022137,-1.103306,0.128922
random_open_loop,sharp,ch3_tooth_rms_cv,0.035598482,0.029663057,-0.0059354248,-0.870709,-0.166733,0.315196
random_open_loop,sharp,ch3_tpf_amp_ratio,0.032344303,0.035341264,0.0029969616,0.231335,0.092658,0.756863
random_open_loop,sharp,ch4_band0_frac,0.043292554,0.043062509,-0.0002300446,-0.007429,-0.005314,0.597549
random_open_loop,sharp,ch4_band1_frac,0.27473686,0.39830356,0.1235667,0.756496,0.449764,0.404412
random_open_loop,sharp,ch4_band2_frac,0.24504653,0.24037224,-0.0046742954,-0.037454,-0.019075,0.620098
random_open_loop,sharp,ch4_band3_frac,0.14874611,0.14211948,-0.0066266331,-0.124285,-0.044550,0.697549
random_open_loop,sharp,ch4_band4_frac,0.096929198,0.10841592,0.011486719,0.179410,0.118506,0.567647
random_open_loop,sharp,ch4_band5_frac,0.067408092,0.046665178,-0.020742914,-0.440031,-0.307721,0.477941
random_open_loop,sharp,ch4_crest,1.4050384,1.3487272,-0.056311272,-0.308748,-0.040078,0.458824
random_open_loop,sharp,ch4_kurtosis,3.2329399,2.883942,-0.34899786,-0.558744,-0.107951,0.843137
random_open_loop,sharp,ch4_rms,0.15004914,0.37256135,0.22251221,5.977531,1.482929,0.119608
random_open_loop,sharp,ch4_skewness,0.44215962,-0.0049396264,-0.44709925,-1.316445,-1.011172,0.259804
random_open_loop,sharp,ch4_tooth_rms_cv,0.084090059,0.1006108,0.016520742,0.406117,0.196465,0.163725
random_open_loop,sharp,ch4_tpf_amp_ratio,0.060780213,0.055052461,-0.0057277521,-0.143172,-0.094237,0.550000
random_open_loop,sharp,ch5_band0_frac,0.03111954,0.041287047,0.010167506,0.375217,0.326724,0.484804
random_open_loop,sharp,ch5_band1_frac,0.20696726,0.3410509,0.13408364,0.734049,0.647850,0.427451
random_open_loop,sharp,ch5_band2_frac,0.3932928,0.31762432,-0.075668481,-0.496768,-0.192397,0.460784
random_open_loop,sharp,ch5_band3_frac,0.13135991,0.13595012,0.0045902116,0.097360,0.034944,0.600980
random_open_loop,sharp,ch5_band4_frac,0.079568349,0.079889618,0.00032126978,0.007195,0.004038,0.535784
random_open_loop,sharp,ch5_band5_frac,0.050727751,0.037715098,-0.013012653,-0.257498,-0.256519,0.450490
random_open_loop,sharp,ch5_crest,1.4357989,1.2416385,-0.19416043,-1.187857,-0.135228,0.337745
random_open_loop,sharp,ch5_kurtosis,2.9488381,2.750948,-0.19789005,-0.420463,-0.067108,0.615686
random_open_loop,sharp,ch5_rms,0.19132361,0.42965863,0.23833502,6.504481,1.245717,0.225000
random_open_loop,sharp,ch5_skewness,0.38125467,-0.052007152,-0.43326183,-1.491577,-1.136411,0.298529
random_open_loop,sharp,ch5_tooth_rms_cv,0.10203803,0.070972304,-0.031065722,-0.615585,-0.304452,0.287255
