method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
noise_aug,sharp,energy_frac_ch0,0.058475151,0.058343288,-0.00013186284,-0.074109,-0.002255,0.654412
noise_aug,sharp,energy_frac_ch1,0.8836246,0.89190663,0.0082820327,0.244131,0.009373,0.636275
noise_aug,sharp,energy_frac_ch2,0.04113655,0.040331949,-0.00080460139,-0.023509,-0.019559,0.593627
noise_aug,sharp,energy_frac_ch3,0.0048482995,0.0046993649,-0.00014893462,-0.055028,-0.030719,0.734314
noise_aug,sharp,energy_frac_ch4,0.0010649405,0.0010556004,-9.3400947e-06,-0.021036,-0.008771,0.701961
noise_aug,sharp,energy_frac_ch5,0.0018104221,0.0019071119,9.6689727e-05,0.085630,0.053407,0.552451
noise_aug,sharp,high_band_frac,0.011751773,0.016596828,0.0048450542,0.858152,0.412283,0.592647
noise_aug,sharp,total_rms,1.8646022,1.9227059,0.058103727,0.084431,0.031161,0.539216
noise_aug,worn,ch0_band0_frac,0.0046332941,0.0047020682,6.8774132e-05,0.024278,0.014843,0.709083
noise_aug,worn,ch0_band1_frac,0.98208213,0.97931498,-0.0027671492,-0.451059,-0.002818,0.483304
noise_aug,worn,ch0_band2_frac,0.002728005,0.0029173809,0.0001893759,0.124611,0.069419,0.732872
noise_aug,worn,ch0_band3_frac,0.0026568001,0.0028154243,0.00015862412,0.133224,0.059705,0.623097
noise_aug,worn,ch0_band4_frac,0.0030907785,0.0026002492,-0.00049052931,-0.376383,-0.158707,0.672145
noise_aug,worn,ch0_band5_frac,0.0031478864,0.0035560214,0.00040813498,0.300189,0.129654,0.673529
noise_aug,worn,ch0_crest,1.8972932,1.8985988,0.0013055788,0.007470,0.000688,0.716782
noise_aug,worn,ch0_kurtosis,1.5981081,1.5951806,-0.0029275521,-0.058468,-0.001832,0.875952
noise_aug,worn,ch0_rms,1.6641238,1.5844528,-0.079671003,-0.092620,-0.047876,0.596972
noise_aug,worn,ch0_skewness,-0.011776697,-0.013962993,-0.002186296,-0.110307,-0.185646,0.725260
noise_aug,worn,ch0_tooth_rms_cv,0.39760559,0.39550744,-0.0020981492,-0.072211,-0.005277,0.721626
noise_aug,worn,ch0_tpf_amp_ratio,0.0030529902,0.003386527,0.00033353676,0.235942,0.109249,0.720675
noise_aug,worn,ch1_band0_frac,0.65669002,0.45893668,-0.19775335,-0.307619,-0.301137,0.279152
