split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
lolo_load0,lolo_load0_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.6159125,0.3026925,0.31322,0.32680000000000003,40,0,0,820.0,1.7840631619466765e-08,5.346514532249563e-08,3.822992489885735e-08,True
lolo_load0,lolo_load0_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.628505,0.58956,0.038944999999999994,0.03760000000000002,37,0,3,789.0,1.7500756046506634e-07,1.7500756046506634e-07,2.8126215074742805e-07,True
lolo_load0,lolo_load0_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.628505,0.5174575,0.1110475,0.12185000000000004,38,0,2,815.0,9.094947017729282e-12,1.8189894035458565e-11,3.7206601436165244e-11,True
lolo_load0,lolo_load0_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.628505,0.2329275,0.3955775,0.42499999999999993,39,0,1,819.0,1.8189894035458565e-12,5.4569682106375694e-12,9.094947017729282e-12,True
lolo_load0,lolo_load0_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.6397999999999999,0.61974,0.020059999999999988,0.025450000000000028,31,0,9,710.0,2.7563547640611255e-05,5.512709528122251e-05,3.062616404512362e-05,True
lolo_load0,lolo_load0_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.6397999999999999,0.6005325,0.0392675,0.026449999999999974,27,0,13,671.0,0.00022549225733527604,0.00022549225733527604,0.00024159884714493863,True
lolo_load0,lolo_load0_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.6397999999999999,0.48865,0.15114999999999998,0.13724999999999996,39,1,0,780.0,2.6266704038384967e-08,7.88001121151549e-08,5.029794390329036e-08,True
lolo_load0,lolo_load0_n25_macro_f1_superiority,macro_f1,25,llm>rule,rule,greater,40,0.6664875,0.64833,0.0181575,0.020299999999999985,32,0,8,697.0,5.7189692466199945e-05,5.7189692466199945e-05,6.201291954166258e-05,True
lolo_load0,lolo_load0_n25_macro_f1_superiority,macro_f1,25,llm>noise_aug,noise_aug,greater,40,0.6664875,0.623555,0.0429325,0.035750000000000004,30,0,10,702.0,1.6477399185532704e-05,3.295479837106541e-05,1.8771720591113208e-05,True
lolo_load0,lolo_load0_n25_macro_f1_superiority,macro_f1,25,llm>real_only,real_only,greater,40,0.6664875,0.48595749999999993,0.18053000000000002,0.18525000000000003,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load1,lolo_load1_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.6223025,0.5931725,0.02913000000000001,0.02899999999999997,33,0,7,755.5,1.7036995879658496e-06,1.7036995879658496e-06,2.2222168538684994e-06,True
lolo_load1,lolo_load1_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.6223025,0.5282625,0.09404000000000001,0.07755000000000001,39,0,1,813.0,1.7280399333685637e-11,5.184119800105691e-11,6.761895391442205e-11,True
lolo_load1,lolo_load1_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.6223025,0.24539499999999997,0.3769075,0.39790000000000003,40,0,0,820.0,1.7840631619466765e-08,3.568126323893353e-08,3.822992489885735e-08,True
lolo_load1,lolo_load1_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.5936025,0.558765,0.03483749999999999,0.028600000000000014,35,0,5,754.5,1.8232212529951235e-06,1.8232212529951235e-06,2.3441416109937303e-06,True
lolo_load1,lolo_load1_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.5936025,0.5035125,0.09008999999999998,0.07799999999999999,34,0,6,757.0,1.267735569854267e-07,2.535471139708534e-07,2.1128926164237782e-07,True
lolo_load1,lolo_load1_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.5936025,0.13721250000000002,0.45639,0.47000000000000003,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load1,lolo_load1_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.64115,0.606065,0.03508499999999999,0.03210000000000002,39,0,1,816.0,2.4130925093170996e-08,3.568126323893353e-08,4.7212679530117166e-08,True
lolo_load1,lolo_load1_n10_acc_superiority,acc,10,llm>noise_aug,noise_aug,greater,40,0.64115,0.5562025,0.0849475,0.08029999999999998,40,0,0,820.0,1.7840631619466765e-08,3.568126323893353e-08,3.822992489885735e-08,True
lolo_load1,lolo_load1_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.64115,0.3139125,0.32723749999999996,0.3154,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load1,lolo_load1_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.6295725,0.59334,0.036232500000000015,0.03205000000000002,36,0,4,803.0,1.8826540326699615e-10,3.765308065339923e-10,6.777554517611862e-10,True
lolo_load1,lolo_load1_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.6295725,0.5303549999999999,0.09921750000000001,0.1048,38,0,2,812.0,3.268330713406108e-08,3.268330713406108e-08,5.7440388958724884e-08,True
lolo_load1,lolo_load1_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.6295725,0.2449925,0.38458000000000003,0.41775000000000007,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load1,lolo_load1_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.685705,0.66276,0.022944999999999986,0.018799999999999983,36,0,4,780.5,3.170898243895491e-07,6.341796487790982e-07,4.920359343975762e-07,True
lolo_load1,lolo_load1_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.685705,0.6489550000000001,0.03675,0.018699999999999994,26,0,14,624.5,0.00196814093952304,0.00196814093952304,0.0020360078684721105,True
lolo_load1,lolo_load1_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.685705,0.5469575000000001,0.13874750000000002,0.12669999999999998,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load1,lolo_load1_n25_macro_f1_superiority,macro_f1,25,llm>rule,rule,greater,40,0.6886300000000001,0.6649725,0.023657500000000012,0.01824999999999999,36,0,4,759.0,1.3571697121038587e-06,2.7143394242077173e-06,1.8506859710507165e-06,True
lolo_load1,lolo_load1_n25_macro_f1_superiority,macro_f1,25,llm>noise_aug,noise_aug,greater,40,0.6886300000000001,0.649,0.03963000000000001,0.017749999999999988,26,0,14,624.0,0.002010751435273023,0.002010751435273023,0.0020564503315292286,True
lolo_load1,lolo_load1_n25_macro_f1_superiority,macro_f1,25,llm>real_only,real_only,greater,40,0.6886300000000001,0.5096875,0.1789425,0.1799,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load2,lolo_load2_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.6356425000000001,0.6105725000000001,0.02506999999999999,0.026749999999999996,33,0,7,752.5,2.0747696694865675e-06,2.0747696694865675e-06,2.6299897218843817e-06,True
lolo_load2,lolo_load2_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.6356425000000001,0.5251775000000001,0.110465,0.09005000000000002,40,0,0,820.0,1.7834324166380108e-08,5.350297249914032e-08,3.822992489885735e-08,True
lolo_load2,lolo_load2_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.6356425000000001,0.24513,0.3905125,0.3863,40,0,0,820.0,1.7840631619466765e-08,5.350297249914032e-08,3.822992489885735e-08,True
lolo_load2,lolo_load2_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.60327,0.576605,0.026665000000000005,0.028750000000000053,31,0,9,731.0,1.5973146219039336e-06,1.5973146219039336e-06,2.1140928819316767e-06,True
lolo_load2,lolo_load2_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.60327,0.49887999999999993,0.10439000000000001,0.10044999999999998,35,0,5,779.0,9.054929250851274e-09,2.716478775255382e-08,2.81015045716074e-08,True
lolo_load2,lolo_load2_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.60327,0.1377125,0.46555750000000007,0.4693,40,0,0,820.0,1.7840631619466765e-08,3.568126323893353e-08,3.822992489885735e-08,True
lolo_load2,lolo_load2_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.6578075,0.623375,0.0344325,0.03434999999999999,39,0,1,817.0,2.2385660742638582e-08,3.568126323893353e-08,4.483379796463228e-08,True
lolo_load2,lolo_load2_n10_acc_superiority,acc,10,llm>noise_aug,noise_aug,greater,40,0.6578075,0.5572725000000001,0.100535,0.1008,40,0,0,820.0,1.7840631619466765e-08,3.568126323893353e-08,3.822992489885735e-08,True
lolo_load2,lolo_load2_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.6578075,0.30657999999999996,0.35122749999999997,0.34785,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load2,lolo_load2_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.6438849999999999,0.6081725,0.0357125,0.036300000000000054,37,0,3,789.0,1.7500756046506634e-07,1.7500756046506634e-07,2.8126215074742805e-07,True
lolo_load2,lolo_load2_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.6438849999999999,0.5336975,0.1101875,0.09465000000000001,39,0,1,818.0,2.7284841053187847e-12,5.4569682106375694e-12,1.2278178473934531e-11,True
lolo_load2,lolo_load2_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.6438849999999999,0.2333425,0.41054250000000003,0.41845,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load2,lolo_load2_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.7039025000000001,0.6810475,0.022855,0.02234999999999998,35,0,5,767.0,7.986872431202977e-07,1.5973744862405954e-06,1.1409817758861396e-06,True
lolo_load2,lolo_load2_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.7039025000000001,0.647645,0.0562575,0.05624999999999997,32,0,8,733.5,6.859568008037673e-06,6.859568008037673e-06,8.123172641097244e-06,True
lolo_load2,lolo_load2_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.7039025000000001,0.5544425000000001,0.14946,0.14585000000000004,38,0,2,817.0,2.2416898982316138e-08,6.725069694694842e-08,4.483379796463228e-08,True
lolo_load2,lolo_load2_n25_macro_f1_superiority,macro_f1,25,llm>rule,rule,greater,40,0.7050475,0.681845,0.023202500000000008,0.02074999999999999,33,0,7,771.0,6.099949168465374e-07,1.2199898336930748e-06,8.854764921965865e-07,True
lolo_load2,lolo_load2_n25_macro_f1_superiority,macro_f1,25,llm>noise_aug,noise_aug,greater,40,0.7050475,0.6443575,0.06069000000000001,0.05624999999999997,34,0,6,731.0,1.5973146219039336e-06,1.5973146219039336e-06,2.1140928819316767e-06,True
lolo_load2,lolo_load2_n25_macro_f1_superiority,macro_f1,25,llm>real_only,real_only,greater,40,0.7050475,0.5139549999999999,0.19109250000000003,0.18470000000000003,40,0,0,820.0,9.094947017729282e-13,2.7284841053187847e-12,4.814971950562561e-12,True
lolo_load3,lolo_load3_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.621865,0.5970799999999999,0.024785000000000005,0.025400000000000034,33,0,7,742.5,3.920431611878857e-06,3.920431611878857e-06,4.768092500933745e-06,True
lolo_load3,lolo_load3_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.621865,0.5349325,0.0869325,0.07785000000000003,39,0,1,816.0,6.366462912410498e-12,1.9099388737231493e-11,2.7284841053187847e-11,True
lolo_load3,lolo_load3_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.621865,0.24866749999999999,0.3731975,0.382,40,0,0,820.0,1.7840631619466765e-08,3.568126323893353e-08,3.822992489885735e-08,True
lolo_load3,lolo_load3_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.586425,0.5597125000000001,0.02671250000000001,0.0257,33,0,7,735.0,1.1160564099554904e-06,2.2321128199109808e-06,1.5694543264999083e-06,True
