split,method,n_real,metric,n_seeds,mean,std,median,min,max
lolo_load1,rule,10,acc,40,0.606065,0.0424477811929567,0.6052500000000001,0.5013,0.7136
lolo_load1,rule,10,macro_f1,40,0.59334,0.05525145687834382,0.5859,0.4645,0.724
lolo_load1,rule,25,acc,40,0.66276,0.036001173770038565,0.6596500000000001,0.595,0.7261
lolo_load1,rule,25,macro_f1,40,0.6649725,0.04001401028678292,0.66605,0.5509,0.7303
lolo_load1,noise_aug,5,acc,40,0.5282625,0.07189070653358079,0.5329999999999999,0.2712,0.6209
lolo_load1,noise_aug,5,macro_f1,40,0.5035125,0.08270637958681891,0.5137499999999999,0.2022,0.6336
lolo_load1,noise_aug,10,acc,40,0.5562025,0.05231772013136266,0.54725,0.463,0.6869
lolo_load1,noise_aug,10,macro_f1,40,0.5303549999999999,0.07058069377197515,0.5194,0.4179,0.7056
lolo_load1,noise_aug,25,acc,40,0.6489550000000001,0.056974438488024096,0.6574500000000001,0.5103,0.7627
lolo_load1,noise_aug,25,macro_f1,40,0.649,0.061771875601964815,0.6629,0.5235,0.7569
lolo_load1,real_only,5,acc,40,0.24539499999999997,0.05566085007228358,0.21275,0.1615,0.3684
lolo_load1,real_only,5,macro_f1,40,0.13721250000000002,0.0510828547055839,0.13155,0.087,0.2735
lolo_load1,real_only,10,acc,40,0.3139125,0.12250436138232919,0.3479,0.1008,0.5727
lolo_load1,real_only,10,macro_f1,40,0.2449925,0.14072373806550267,0.17865,0.0659,0.596
lolo_load1,real_only,25,acc,40,0.5469575000000001,0.07910004015526226,0.56555,0.339,0.6806
lolo_load1,real_only,25,macro_f1,40,0.5096875,0.08335471988389785,0.5190999999999999,0.2712,0.6446
lolo_load2,llm,5,acc,40,0.6356425000000001,0.0446562246931618,0.64365,0.5531,0.7377
lolo_load2,llm,5,macro_f1,40,0.60327,0.07550174798451986,0.60765,0.4124,0.7452
lolo_load2,llm,10,acc,40,0.6578075,0.04469556501546079,0.6632499999999999,0.5638,0.7342
lolo_load2,llm,10,macro_f1,40,0.6438849999999999,0.05983578189404559,0.64055,0.4816,0.7473
lolo_load2,llm,25,acc,40,0.7039025000000001,0.03466392114991003,0.70965,0.6128,0.7859
lolo_load2,llm,25,macro_f1,40,0.7050475,0.043824533507836536,0.71695,0.5439,0.7837
lolo_load2,rule,5,acc,40,0.6105725000000001,0.03314382788579311,0.6154999999999999,0.5335,0.6726
lolo_load2,rule,5,macro_f1,40,0.576605,0.0650920135713225,0.57685,0.4091,0.6762
lolo_load2,rule,10,acc,40,0.623375,0.0419835300430037,0.628,0.5361,0.7038
lolo_load2,rule,10,macro_f1,40,0.6081725,0.05720785308966072,0.60205,0.4884,0.7157
lolo_load2,rule,25,acc,40,0.6810475,0.036995460480359565,0.6869000000000001,0.6048,0.7484
lolo_load2,rule,25,macro_f1,40,0.681845,0.04362255327059792,0.6940500000000001,0.5459,0.7489
lolo_load2,noise_aug,5,acc,40,0.5251775000000001,0.06815259081366888,0.52315,0.2649,0.678
lolo_load2,noise_aug,5,macro_f1,40,0.49887999999999993,0.08072250726710103,0.49305,0.1935,0.6666
lolo_load2,noise_aug,10,acc,40,0.5572725000000001,0.05295707980319583,0.5473,0.4817,0.7315
lolo_load2,noise_aug,10,macro_f1,40,0.5336975,0.06692666283864712,0.5306500000000001,0.4358,0.7431
lolo_load2,noise_aug,25,acc,40,0.647645,0.06251751323859948,0.6436,0.5201,0.7458
lolo_load2,noise_aug,25,macro_f1,40,0.6443575,0.0704648080468323,0.6513500000000001,0.5059,0.7505
lolo_load2,real_only,5,acc,40,0.24513,0.05792376599174701,0.2132,0.174,0.3684
lolo_load2,real_only,5,macro_f1,40,0.1377125,0.0555874925403465,0.1213,0.0867,0.2918
