method,class,channel,band,real_frac,method_frac,delta
noise_aug,severe,vib_spindle,40-70,0.178395,0.153859,-0.024536
noise_aug,severe,vib_spindle,70-100,0.134462,0.120913,-0.013548
noise_aug,severe,vib_spindle,100-125,0.071450,0.093214,0.021764
noise_aug,severe,AE_table,0-8,0.124164,0.122254,-0.001910
noise_aug,severe,AE_table,8-20,0.171550,0.155149,-0.016401
noise_aug,severe,AE_table,20-40,0.145076,0.215660,0.070583
noise_aug,severe,AE_table,40-70,0.101338,0.125970,0.024632
noise_aug,severe,AE_table,70-100,0.426352,0.340829,-0.085523
noise_aug,severe,AE_table,100-125,0.031521,0.040138,0.008618
noise_aug,severe,AE_spindle,0-8,0.234738,0.203465,-0.031273
noise_aug,severe,AE_spindle,8-20,0.150976,0.147326,-0.003651
noise_aug,severe,AE_spindle,20-40,0.150509,0.177758,0.027249
noise_aug,severe,AE_spindle,40-70,0.099786,0.118566,0.018780
noise_aug,severe,AE_spindle,70-100,0.334079,0.306360,-0.027719
noise_aug,severe,AE_spindle,100-125,0.029911,0.046525,0.016614
