method,class,channel,band,real_frac,method_frac,delta
llm,sharp,smcAC,0-8,0.010713,0.014489,0.003776
llm,sharp,smcAC,8-20,0.972054,0.956207,-0.015847
llm,sharp,smcAC,20-40,0.007453,0.013580,0.006126
llm,sharp,smcAC,40-70,0.003466,0.006372,0.002906
llm,sharp,smcAC,70-100,0.003211,0.004626,0.001415
llm,sharp,smcAC,100-125,0.003103,0.004727,0.001624
llm,sharp,smcDC,0-8,0.841144,0.853087,0.011943
llm,sharp,smcDC,8-20,0.071300,0.077910,0.006610
llm,sharp,smcDC,20-40,0.056334,0.065134,0.008800
llm,sharp,smcDC,40-70,0.025449,0.002055,-0.023394
llm,sharp,smcDC,70-100,0.005436,0.001109,-0.004326
llm,sharp,smcDC,100-125,0.000338,0.000706,0.000368
llm,sharp,vib_table,0-8,0.027573,0.016150,-0.011423
llm,sharp,vib_table,8-20,0.414325,0.183445,-0.230880
llm,sharp,vib_table,20-40,0.253753,0.459728,0.205976
llm,sharp,vib_table,40-70,0.128963,0.191033,0.062070
llm,sharp,vib_table,70-100,0.165860,0.132355,-0.033505
llm,sharp,vib_table,100-125,0.009526,0.017289,0.007763
llm,sharp,vib_spindle,0-8,0.106931,0.312107,0.205176
llm,sharp,vib_spindle,8-20,0.299465,0.143313,-0.156152
llm,sharp,vib_spindle,20-40,0.143018,0.169242,0.026224
llm,sharp,vib_spindle,40-70,0.236568,0.185558,-0.051010
llm,sharp,vib_spindle,70-100,0.156027,0.085910,-0.070117
llm,sharp,vib_spindle,100-125,0.057991,0.103870,0.045880
llm,sharp,AE_table,0-8,0.066627,0.027078,-0.039549
llm,sharp,AE_table,8-20,0.356623,0.249306,-0.107317
llm,sharp,AE_table,20-40,0.223879,0.269584,0.045705
llm,sharp,AE_table,40-70,0.139254,0.147755,0.008501
llm,sharp,AE_table,70-100,0.166297,0.230480,0.064183
llm,sharp,AE_table,100-125,0.047321,0.075797,0.028477
llm,sharp,AE_spindle,0-8,0.041541,0.022554,-0.018987
llm,sharp,AE_spindle,8-20,0.373351,0.236267,-0.137085
llm,sharp,AE_spindle,20-40,0.325461,0.405702,0.080241
llm,sharp,AE_spindle,40-70,0.131478,0.217875,0.086397
llm,sharp,AE_spindle,70-100,0.085430,0.054631,-0.030798
llm,sharp,AE_spindle,100-125,0.042739,0.062971,0.020232
llm,worn,smcAC,0-8,0.004151,0.008079,0.003929
llm,worn,smcAC,8-20,0.985060,0.967768,-0.017292
llm,worn,smcAC,20-40,0.003068,0.010330,0.007262
llm,worn,smcAC,40-70,0.002552,0.006268,0.003717
llm,worn,smcAC,70-100,0.002816,0.004511,0.001695
llm,worn,smcAC,100-125,0.002354,0.003044,0.000690
llm,worn,smcDC,0-8,0.927060,0.948410,0.021350
llm,worn,smcDC,8-20,0.025119,0.028757,0.003638
llm,worn,smcDC,20-40,0.040522,0.015640,-0.024882
llm,worn,smcDC,40-70,0.006290,0.003969,-0.002321
llm,worn,smcDC,70-100,0.000814,0.002065,0.001251
llm,worn,smcDC,100-125,0.000195,0.001159,0.000964
llm,worn,vib_table,0-8,0.052770,0.133481,0.080711
llm,worn,vib_table,8-20,0.214616,0.344397,0.129780
llm,worn,vib_table,20-40,0.287798,0.270293,-0.017505
llm,worn,vib_table,40-70,0.114899,0.068872,-0.046027
llm,worn,vib_table,70-100,0.317423,0.176359,-0.141064
llm,worn,vib_table,100-125,0.012494,0.006599,-0.005895
llm,worn,vib_spindle,0-8,0.110530,0.376117,0.265587
llm,worn,vib_spindle,8-20,0.229694,0.157739,-0.071955
llm,worn,vib_spindle,20-40,0.225050,0.199087,-0.025963
llm,worn,vib_spindle,40-70,0.220972,0.090843,-0.130130
llm,worn,vib_spindle,70-100,0.147118,0.118910,-0.028208
llm,worn,vib_spindle,100-125,0.066637,0.057305,-0.009332
llm,worn,AE_table,0-8,0.105419,0.179718,0.074299
llm,worn,AE_table,8-20,0.194408,0.233423,0.039015
llm,worn,AE_table,20-40,0.184379,0.137326,-0.047053
llm,worn,AE_table,40-70,0.123423,0.166661,0.043239
llm,worn,AE_table,70-100,0.354388,0.240934,-0.113454
llm,worn,AE_table,100-125,0.037983,0.041937,0.003954
llm,worn,AE_spindle,0-8,0.164121,0.295427,0.131306
llm,worn,AE_spindle,8-20,0.209481,0.129373,-0.080108
llm,worn,AE_spindle,20-40,0.213533,0.135104,-0.078429
llm,worn,AE_spindle,40-70,0.117671,0.142906,0.025235
llm,worn,AE_spindle,70-100,0.260681,0.264937,0.004256
llm,worn,AE_spindle,100-125,0.034514,0.032254,-0.002260
llm,severe,smcAC,0-8,0.003696,0.006700,0.003004
llm,severe,smcAC,8-20,0.986361,0.980586,-0.005775
llm,severe,smcAC,20-40,0.002536,0.006063,0.003526
llm,severe,smcAC,40-70,0.002280,0.002239,-0.000041
llm,severe,smcAC,70-100,0.002821,0.001563,-0.001258
llm,severe,smcAC,100-125,0.002305,0.002850,0.000544
llm,severe,smcDC,0-8,0.909220,0.870597,-0.038624
llm,severe,smcDC,8-20,0.026629,0.050212,0.023583
llm,severe,smcDC,20-40,0.063954,0.069747,0.005794
llm,severe,smcDC,40-70,0.000137,0.005359,0.005222
llm,severe,smcDC,70-100,0.000038,0.002553,0.002515
llm,severe,smcDC,100-125,0.000022,0.001532,0.001510
llm,severe,vib_table,0-8,0.047298,0.006861,-0.040436
llm,severe,vib_table,8-20,0.309386,0.087927,-0.221459
llm,severe,vib_table,20-40,0.216909,0.727570,0.510661
llm,severe,vib_table,40-70,0.125918,0.079503,-0.046414
llm,severe,vib_table,70-100,0.287301,0.089180,-0.198121
llm,severe,vib_table,100-125,0.013189,0.008959,-0.004230
llm,severe,vib_spindle,0-8,0.210732,0.379406,0.168674
llm,severe,vib_spindle,8-20,0.200274,0.179302,-0.020972
llm,severe,vib_spindle,20-40,0.204689,0.193835,-0.010853
llm,severe,vib_spindle,40-70,0.178395,0.096667,-0.081728
llm,severe,vib_spindle,70-100,0.134462,0.070879,-0.063582
llm,severe,vib_spindle,100-125,0.071450,0.079911,0.008461
llm,severe,AE_table,0-8,0.124164,0.114514,-0.009650
llm,severe,AE_table,8-20,0.171550,0.152715,-0.018835
llm,severe,AE_table,20-40,0.145076,0.266294,0.121218
llm,severe,AE_table,40-70,0.101338,0.152261,0.050924
llm,severe,AE_table,70-100,0.426352,0.279992,-0.146360
llm,severe,AE_table,100-125,0.031521,0.034223,0.002702
llm,severe,AE_spindle,0-8,0.234738,0.134124,-0.100615
llm,severe,AE_spindle,8-20,0.150976,0.201782,0.050806
llm,severe,AE_spindle,20-40,0.150509,0.342270,0.191761
llm,severe,AE_spindle,40-70,0.099786,0.132272,0.032486
llm,severe,AE_spindle,70-100,0.334079,0.154568,-0.179511
llm,severe,AE_spindle,100-125,0.029911,0.034984,0.005073
rule,sharp,smcAC,0-8,0.010713,0.019707,0.008994
rule,sharp,smcAC,8-20,0.972054,0.960781,-0.011274
rule,sharp,smcAC,20-40,0.007453,0.008398,0.000945
rule,sharp,smcAC,40-70,0.003466,0.003597,0.000131
rule,sharp,smcAC,70-100,0.003211,0.002661,-0.000550
rule,sharp,smcAC,100-125,0.003103,0.004857,0.001754
rule,sharp,smcDC,0-8,0.841144,0.890390,0.049246
rule,sharp,smcDC,8-20,0.071300,0.059784,-0.011516
rule,sharp,smcDC,20-40,0.056334,0.041929,-0.014405
rule,sharp,smcDC,40-70,0.025449,0.004146,-0.021303
rule,sharp,smcDC,70-100,0.005436,0.002275,-0.003161
rule,sharp,smcDC,100-125,0.000338,0.001475,0.001138
rule,sharp,vib_table,0-8,0.027573,0.050210,0.022637
rule,sharp,vib_table,8-20,0.414325,0.637847,0.223522
rule,sharp,vib_table,20-40,0.253753,0.138630,-0.115123
rule,sharp,vib_table,40-70,0.128963,0.064023,-0.064940
rule,sharp,vib_table,70-100,0.165860,0.103978,-0.061883
rule,sharp,vib_table,100-125,0.009526,0.005313,-0.004213
rule,sharp,vib_spindle,0-8,0.106931,0.389599,0.282668
rule,sharp,vib_spindle,8-20,0.299465,0.213448,-0.086017
rule,sharp,vib_spindle,20-40,0.143018,0.134682,-0.008336
rule,sharp,vib_spindle,40-70,0.236568,0.109969,-0.126599
rule,sharp,vib_spindle,70-100,0.156027,0.067872,-0.088155
rule,sharp,vib_spindle,100-125,0.057991,0.084430,0.026440
rule,sharp,AE_table,0-8,0.066627,0.043871,-0.022756
rule,sharp,AE_table,8-20,0.356623,0.558013,0.201390
rule,sharp,AE_table,20-40,0.223879,0.169094,-0.054785
rule,sharp,AE_table,40-70,0.139254,0.116915,-0.022338
rule,sharp,AE_table,70-100,0.166297,0.063778,-0.102520
rule,sharp,AE_table,100-125,0.047321,0.048329,0.001008
rule,sharp,AE_spindle,0-8,0.041541,0.094410,0.052869
rule,sharp,AE_spindle,8-20,0.373351,0.359387,-0.013965
rule,sharp,AE_spindle,20-40,0.325461,0.235450,-0.090011
rule,sharp,AE_spindle,40-70,0.131478,0.128917,-0.002561
rule,sharp,AE_spindle,70-100,0.085430,0.139367,0.053938
rule,sharp,AE_spindle,100-125,0.042739,0.042468,-0.000271
rule,worn,smcAC,0-8,0.004151,0.009429,0.005278
rule,worn,smcAC,8-20,0.985060,0.970868,-0.014192
