method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
rule,severe,ch3_rms,0.27148575,0.0099091197,-0.26157663,-19.582328,-0.963500,0.000000
rule,severe,ch3_skewness,0.88736119,0.84992979,-0.037431399,-0.079294,-0.042183,0.636364
rule,severe,ch3_tooth_rms_cv,0.034447526,0.56439834,0.52995081,59.456628,15.384292,0.000000
rule,severe,ch3_tpf_amp_ratio,0.028322119,0.028195426,-0.00012669353,-0.007492,-0.004473,0.821925
rule,severe,ch4_band0_frac,0.078179338,0.094979839,0.016800501,0.186048,0.214897,0.518984
rule,severe,ch4_band1_frac,0.17078561,0.16471235,-0.0060732542,-0.056835,-0.035561,0.287968
rule,severe,ch4_band2_frac,0.16905695,0.17341779,0.0043608382,0.049702,0.025795,0.445187
rule,severe,ch4_band3_frac,0.11869843,0.12343157,0.0047331346,0.088021,0.039875,0.548396
rule,severe,ch4_band4_frac,0.31382745,0.267502,-0.046325452,-0.317718,-0.147614,0.509893
rule,severe,ch4_band5_frac,0.038831159,0.041199749,0.0023685897,0.140671,0.060997,0.711497
rule,severe,ch4_crest,1.4736626,3.5393812,2.0657187,13.949291,1.401758,0.002674
rule,severe,ch4_kurtosis,3.0820956,3.4069948,0.3248992,0.617847,0.105415,0.811497
rule,severe,ch4_rms,0.22644584,0.029831432,-0.1966144,-2.630024,-0.868262,0.000000
rule,severe,ch4_skewness,0.47984424,0.6735016,0.19365736,0.695903,0.403584,0.686631
rule,severe,ch4_tooth_rms_cv,0.090909472,0.46742403,0.37651456,15.894727,4.141643,0.010695
rule,severe,ch4_tpf_amp_ratio,0.12756172,0.1416082,0.014046477,0.170019,0.110115,0.344920
rule,severe,ch5_band0_frac,0.10491998,0.2413883,0.13646831,0.904487,1.300689,0.475401
rule,severe,ch5_band1_frac,0.1260663,0.14469733,0.018631026,0.257287,0.147788,0.525134
rule,severe,ch5_band2_frac,0.16424447,0.18004493,0.015800462,0.157958,0.096201,0.447594
rule,severe,ch5_band3_frac,0.11588483,0.12022892,0.0043440957,0.090939,0.037486,0.576738
rule,severe,ch5_band4_frac,0.30545003,0.2618326,-0.043617425,-0.275146,-0.142797,0.457219
rule,severe,ch5_band5_frac,0.040969138,0.050526485,0.0095573466,0.371894,0.233282,0.555615
rule,severe,ch5_crest,1.4835469,3.8620566,2.3785097,9.940779,1.603259,0.000000
rule,severe,ch5_kurtosis,3.0960516,3.2917526,0.19570096,0.282035,0.063210,0.815508
rule,severe,ch5_rms,0.26161945,0.036397138,-0.22522231,-1.993653,-0.860878,0.000000
rule,severe,ch5_skewness,0.53375757,0.650033,0.11627543,0.292954,0.217843,0.462567
rule,severe,ch5_tooth_rms_cv,0.092870147,0.48229591,0.38942576,7.744322,4.193229,0.010695
rule,severe,ch5_tpf_amp_ratio,0.10717617,0.10801054,0.0008343651,0.009314,0.007785,0.299465
rule,severe,energy_frac_ch0,0.060117685,0.99213228,0.93201459,114.533885,15.503168,0.000000
rule,severe,energy_frac_ch1,0.91886032,0.0048568317,-0.91400349,-37.133354,-0.994714,0.000000
rule,severe,energy_frac_ch2,0.0080881008,0.0043952865,-0.0036928144,-0.390413,-0.456574,0.553476
rule,severe,energy_frac_ch3,0.0010628536,3.6201184e-05,-0.0010266524,-1.235356,-0.965940,0.550802
rule,severe,energy_frac_ch4,0.00094984231,0.00023867216,-0.00071117015,-1.162942,-0.748724,0.344385
rule,severe,energy_frac_ch5,0.0012894378,0.00029241127,-0.00099702654,-0.856995,-0.773226,0.548128
rule,severe,high_band_frac,0.0076498361,0.007659349,9.5129405e-06,0.003116,0.001244,0.624064
rule,severe,total_rms,3.3177083,0.79297322,-2.5247351,-2.237955,-0.760988,0.090909
random_open_loop,sharp,ch0_band0_frac,0.0094587127,0.013438849,0.003980136,0.602773,0.420790,0.444118
random_open_loop,sharp,ch0_band1_frac,0.97426122,0.91248809,-0.061773133,-6.682841,-0.063405,0.068627
random_open_loop,sharp,ch0_band2_frac,0.0051635296,0.01776562,0.01260209,2.298262,2.440596,0.096078
random_open_loop,sharp,ch0_band3_frac,0.0035149843,0.020270249,0.016755265,18.014073,4.766811,0.000000
random_open_loop,sharp,ch0_band4_frac,0.0034139219,0.020064731,0.016650809,14.636814,4.877326,0.000000
random_open_loop,sharp,ch0_band5_frac,0.0035732116,0.015108311,0.011535099,10.687015,3.228216,0.029412
random_open_loop,sharp,ch0_crest,2.0371173,2.5386067,0.50148936,3.053777,0.246176,0.033333
random_open_loop,sharp,ch0_kurtosis,1.6314928,2.3119003,0.68040748,11.251382,0.417046,0.015686
random_open_loop,sharp,ch0_rms,1.094638,1.610848,0.51620998,1.259714,0.471581,0.145098
random_open_loop,sharp,ch0_skewness,-0.015809661,-0.025618555,-0.0098088938,-0.510775,-0.620437,0.419608
random_open_loop,sharp,ch0_tooth_rms_cv,0.4208966,0.53378432,0.11288773,4.296872,0.268208,0.170588
random_open_loop,sharp,ch0_tpf_amp_ratio,0.0038090365,0.011686907,0.0078778706,5.568355,2.068206,0.049020
random_open_loop,sharp,ch1_band0_frac,0.79873941,0.67117961,-0.1275598,-0.589668,-0.159701,0.098039
random_open_loop,sharp,ch1_band1_frac,0.084574874,0.14061671,0.056041835,0.539275,0.662630,0.280392
random_open_loop,sharp,ch1_band2_frac,0.092882792,0.1308995,0.038016712,0.649602,0.409298,0.307843
random_open_loop,sharp,ch1_band3_frac,0.00022422419,0.018416759,0.018192534,103.079657,81.135466,0.931373
random_open_loop,sharp,ch1_band4_frac,0.00012508713,0.01516759,0.015042503,96.232482,120.256201,0.003922
random_open_loop,sharp,ch1_band5_frac,9.4011587e-05,0.01182728,0.011733268,95.085620,124.806619,0.000000
random_open_loop,sharp,ch1_crest,1.0581414,2.8190114,1.76087,58.317339,1.664116,0.000000
random_open_loop,sharp,ch1_kurtosis,2.210076,2.6898337,0.47975769,1.398183,0.217077,0.449020
random_open_loop,sharp,ch1_rms,4.2847664,6.1523606,1.8675942,1.118339,0.435868,0.070588
random_open_loop,sharp,ch1_skewness,-0.021740965,0.052496339,0.074237303,0.434986,3.414628,0.700000
random_open_loop,sharp,ch1_tooth_rms_cv,0.02585174,0.60535996,0.57950821,51.094262,22.416603,0.000000
random_open_loop,sharp,ch1_tpf_amp_ratio,0.00088323457,0.0092742203,0.0083909858,14.907176,9.500291,0.037255
random_open_loop,sharp,ch2_band0_frac,0.0093511957,0.013346825,0.003995629,0.305338,0.427285,0.770588
random_open_loop,sharp,ch2_band1_frac,0.20806202,0.38902955,0.18096754,0.772065,0.869777,0.397059
random_open_loop,sharp,ch2_band2_frac,0.20609336,0.30131754,0.095224185,0.332069,0.462044,0.243137
random_open_loop,sharp,ch2_band3_frac,0.17112238,0.13885794,-0.032264435,-0.314146,-0.188546,0.355882
random_open_loop,sharp,ch2_band4_frac,0.1214044,0.13005641,0.0086520116,0.081288,0.071266,0.506863
random_open_loop,sharp,ch2_band5_frac,0.011331321,0.016387332,0.0050560106,0.616906,0.446198,0.407843
random_open_loop,sharp,ch2_crest,1.4802864,2.9784595,1.4981731,5.779595,1.012083,0.029412
random_open_loop,sharp,ch2_kurtosis,2.6754214,2.7705576,0.095136225,0.095811,0.035559,0.943137
random_open_loop,sharp,ch2_rms,0.94335809,0.92924826,-0.014109821,-0.040954,-0.014957,0.105882
random_open_loop,sharp,ch2_skewness,-0.19896918,0.080307547,0.27927672,0.477346,1.403618,0.559804
random_open_loop,sharp,ch2_tooth_rms_cv,0.16432203,0.45454084,0.29021881,2.458751,1.766159,0.154902
random_open_loop,sharp,ch2_tpf_amp_ratio,0.099447236,0.087734336,-0.0117129,-0.221633,-0.117780,0.399020
random_open_loop,sharp,ch3_band0_frac,0.28610928,0.38242787,0.096318587,0.470020,0.336650,0.311765
random_open_loop,sharp,ch3_band1_frac,0.16448148,0.15909805,-0.0053834301,-0.068802,-0.032730,0.491176
random_open_loop,sharp,ch3_band2_frac,0.16178827,0.14715112,-0.014637148,-0.229594,-0.090471,0.505882
random_open_loop,sharp,ch3_band3_frac,0.13910493,0.1314361,-0.0076688243,-0.144124,-0.055130,0.427451
random_open_loop,sharp,ch3_band4_frac,0.088849227,0.091479175,0.0026299486,0.095792,0.029600,0.682353
random_open_loop,sharp,ch3_band5_frac,0.098445368,0.089451832,-0.0089935357,-0.195245,-0.091356,0.488235
random_open_loop,sharp,ch3_crest,1.1776664,3.0815133,1.9038469,35.844449,1.616627,0.013725
random_open_loop,sharp,ch3_kurtosis,3.8497455,2.8375664,-1.0121792,-1.143749,-0.262921,0.901961
random_open_loop,sharp,ch3_rms,0.30210757,0.41362654,0.11151897,5.813159,0.369137,0.000000
random_open_loop,sharp,ch3_skewness,0.66597055,-0.044593457,-0.71056401,-1.955522,-1.066960,0.103922
random_open_loop,sharp,ch3_tooth_rms_cv,0.035598482,0.46485209,0.42925361,62.970247,12.058200,0.000000
random_open_loop,sharp,ch3_tpf_amp_ratio,0.032344303,0.037437775,0.0050934725,0.393164,0.157477,0.639216
random_open_loop,sharp,ch4_band0_frac,0.043292554,0.04314777,-0.00014478418,-0.004676,-0.003344,0.527451
random_open_loop,sharp,ch4_band1_frac,0.27473686,0.42453261,0.14979575,0.917074,0.545234,0.350000
random_open_loop,sharp,ch4_band2_frac,0.24504653,0.22924213,-0.015804401,-0.126636,-0.064496,0.449020
random_open_loop,sharp,ch4_band3_frac,0.14874611,0.1448396,-0.0039065138,-0.073268,-0.026263,0.473529
random_open_loop,sharp,ch4_band4_frac,0.096929198,0.10836992,0.011440726,0.178692,0.118032,0.408824
random_open_loop,sharp,ch4_band5_frac,0.067408092,0.045236428,-0.022171664,-0.470340,-0.328917,0.452941
random_open_loop,sharp,ch4_crest,1.4050384,3.1204964,1.715458,9.405642,1.220933,0.000000
random_open_loop,sharp,ch4_kurtosis,3.2329399,2.82923,-0.4037099,-0.646338,-0.124874,0.843137
random_open_loop,sharp,ch4_rms,0.15004914,0.20287208,0.05282294,1.419027,0.352038,0.041176
random_open_loop,sharp,ch4_skewness,0.44215962,0.040702122,-0.4014575,-1.182057,-0.907947,0.355882
random_open_loop,sharp,ch4_tooth_rms_cv,0.084090059,0.46188853,0.37779847,9.287129,4.492784,0.001961
random_open_loop,sharp,ch4_tpf_amp_ratio,0.060780213,0.052263341,-0.0085168717,-0.212890,-0.140126,0.517647
random_open_loop,sharp,ch5_band0_frac,0.03111954,0.037292679,0.0061731385,0.227810,0.198369,0.488235
random_open_loop,sharp,ch5_band1_frac,0.20696726,0.38959939,0.18263213,0.999830,0.882420,0.372549
random_open_loop,sharp,ch5_band2_frac,0.3932928,0.30054807,-0.092744738,-0.608875,-0.235816,0.357843
random_open_loop,sharp,ch5_band3_frac,0.13135991,0.13163043,0.00027052048,0.005738,0.002059,0.480392
random_open_loop,sharp,ch5_band4_frac,0.079568349,0.083202045,0.0036336965,0.081375,0.045668,0.582353
random_open_loop,sharp,ch5_band5_frac,0.050727751,0.040013381,-0.01071437,-0.212019,-0.211213,0.425490
random_open_loop,sharp,ch5_crest,1.4357989,2.8691981,1.4333992,8.769414,0.998329,0.001961
