dataset,comparison,shot,metric,effect_pp,ci_low_pp,ci_high_pp,n_pairs,holm_q,passed_holm,bootstrap_resamples,bootstrap_seed
Berkeley,noise_aug,2,acc,9.06375,6.01294375,12.535806249999995,40,0.0,True,20000,20260716
Berkeley,noise_aug,2,macro_f1,10.276,7.1004187499999984,13.820868749999986,40,0.0,True,20000,20260716
Berkeley,noise_aug,5,acc,6.036750000000001,4.164493750000001,8.038281249999999,40,1.7e-06,True,20000,20260716
Berkeley,noise_aug,5,macro_f1,6.392250000000002,4.479218750000001,8.415062499999996,40,1.14e-06,True,20000,20260716
Berkeley,noise_aug,10,acc,3.7159999999999993,2.4765000000000006,5.070531249999996,40,1.35e-06,True,20000,20260716
Berkeley,noise_aug,10,macro_f1,4.246249999999999,2.7767375,5.812793749999996,40,4e-08,True,20000,20260716
Berkeley,rule,2,acc,0.2667499999999995,0.027749999999999157,0.5312937499999949,40,0.04625562,True,20000,20260716
Berkeley,rule,2,macro_f1,0.2064999999999989,-0.025250000000000848,0.44975624999999875,40,0.10295773,False,20000,20260716
Berkeley,rule,5,acc,0.4677500000000001,0.2582500000000004,0.6880000000000003,40,0.0001631,True,20000,20260716
Berkeley,rule,5,macro_f1,0.40675000000000155,0.2032500000000018,0.6167562500000007,40,0.00035919,True,20000,20260716
Berkeley,rule,10,acc,0.05474999999999953,-0.16575625000000138,0.27975624999999943,40,0.28766457,False,20000,20260716
Berkeley,rule,10,macro_f1,0.020250000000001378,-0.20825624999999895,0.24650625000000223,40,0.38588633,False,20000,20260716
CWRU,noise_aug,5,acc,10.939250000000001,8.086587499999998,13.881025,40,8.666056426614434e-07,True,20000,20260716
CWRU,noise_aug,5,macro_f1,10.75225,7.0469937499999995,14.459824999999993,40,4.9328082241117954e-06,True,20000,20260716
CWRU,noise_aug,10,acc,8.6365,6.58575,10.653756249999999,40,2.2382361007016495e-07,True,20000,20260716
CWRU,noise_aug,10,macro_f1,9.225750000000001,6.924231250000002,11.500793749999998,40,2.514752850402146e-09,True,20000,20260716
CWRU,noise_aug,25,acc,4.614750000000001,2.7937437500000017,6.477256250000002,40,4.76522189984976e-05,True,20000,20260716
CWRU,noise_aug,25,macro_f1,5.56225,3.8576999999999995,7.3075499999999955,40,7.284143066499382e-08,True,20000,20260716
CWRU,rule,5,acc,1.5270000000000001,0.40725000000000067,2.639412499999985,40,0.0059722785481123,True,20000,20260716
CWRU,rule,5,macro_f1,1.3267500000000008,0.058750000000001,2.614768749999999,40,0.0385003071387473,True,20000,20260716
CWRU,rule,10,acc,3.652499999999999,3.0885,4.223999999999998,40,5.348405598768175e-08,True,20000,20260716
CWRU,rule,10,macro_f1,3.4587500000000007,2.8865000000000007,4.0715,40,2.7284841053187847e-12,True,20000,20260716
CWRU,rule,25,acc,2.197,1.3805000000000007,2.9819999999999993,40,4.76522189984976e-05,True,20000,20260716
CWRU,rule,25,macro_f1,2.1555,1.4447499999999998,2.8797499999999996,40,4.589143519878837e-06,True,20000,20260716
PU,random_open_loop,5,acc,32.645,30.951,34.294012499999994,20,1.9073486328125e-06,True,20000,20260716
PU,random_open_loop,5,macro_f1,33.97,31.542424999999994,36.5405125,20,1.9073486328125e-06,True,20000,20260716
PU,random_open_loop,10,acc,31.2575,29.878987499999994,32.5670125,20,4.422457510605951e-05,True,20000,20260716
PU,random_open_loop,10,macro_f1,31.1745,29.84298749999999,32.45249999999999,20,1.9073486328125e-06,True,20000,20260716
PU,random_open_loop,25,acc,28.871999999999996,27.5555,30.248499999999996,20,1.9073486328125e-06,True,20000,20260716
PU,random_open_loop,25,macro_f1,29.447000000000003,28.217425000000002,30.6550125,20,1.9073486328125e-06,True,20000,20260716
PU,rule,5,acc,8.055499999999999,5.784487499999997,10.350549999999995,20,6.004678582070794e-05,True,20000,20260716
PU,rule,5,macro_f1,8.495499999999998,6.3419374999999985,10.618524999999995,20,1.9073486328125e-06,True,20000,20260716
PU,rule,10,acc,7.225,5.463999999999999,9.055499999999999,20,1.9073486328125e-06,True,20000,20260716
PU,rule,10,macro_f1,7.547,5.757474999999999,9.3600125,20,1.9073486328125e-06,True,20000,20260716
PU,rule,25,acc,4.9375,3.635937500000001,6.248012500000004,20,5.1529611707403054e-05,True,20000,20260716
PU,rule,25,macro_f1,5.1015,3.7919999999999994,6.409024999999999,20,1.9073486328125e-06,True,20000,20260716
