baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
real_only,25,11,0,0.7401,0.7183,0.8378,0.5676,0.7497,"[[297,3,0],[54,126,121],[58,14,289]]"
real_only,25,12,0,0.7380,0.7139,0.8345,0.5576,0.7497,"[[300,0,0],[59,121,121],[60,12,289]]"
real_only,25,13,0,0.7505,0.7261,0.8340,0.5755,0.7688,"[[299,1,0],[58,122,121],[60,0,301]]"
real_only,25,14,0,0.7495,0.7246,0.8345,0.5721,0.7673,"[[300,0,0],[59,121,121],[60,1,300]]"
real_only,25,15,0,0.7037,0.6878,0.7662,0.5411,0.7561,"[[249,51,0],[45,135,121],[56,12,293]]"
real_only,25,16,0,0.7495,0.7254,0.8366,0.5708,0.7688,"[[297,3,0],[57,123,121],[56,4,301]]"
real_only,25,17,0,0.7048,0.6643,0.8324,0.4372,0.7235,"[[298,2,0],[58,87,156],[60,8,293]]"
real_only,25,18,0,0.8046,0.8016,0.9436,0.6923,0.7688,"[[293,7,0],[0,180,121],[28,32,301]]"
real_only,25,19,0,0.7495,0.7241,0.8333,0.5701,0.7688,"[[300,0,0],[60,120,121],[60,0,301]]"
real_only,50,0,0,0.7692,0.7590,0.9662,0.5804,0.7306,"[[300,0,0],[0,139,162],[21,39,301]]"
real_only,50,1,0,0.7952,0.7754,0.9950,0.5492,0.7820,"[[297,3,0],[0,120,181],[0,13,348]]"
real_only,50,2,0,0.7807,0.7614,0.9740,0.5517,0.7583,"[[300,0,0],[0,120,181],[16,14,331]]"
real_only,50,3,0,0.7505,0.7252,0.8399,0.5687,0.7671,"[[299,1,0],[55,120,126],[58,0,303]]"
real_only,50,4,0,0.7973,0.7926,0.9756,0.6457,0.7566,"[[300,0,0],[0,164,137],[15,43,303]]"
real_only,50,5,0,0.8025,0.7816,0.9967,0.5607,0.7875,"[[300,0,0],[0,120,181],[2,7,352]]"
real_only,50,6,0,0.8067,0.8015,0.9202,0.7143,0.7698,"[[300,0,0],[6,175,120],[46,14,301]]"
real_only,50,7,0,0.8025,0.7976,0.9317,0.6986,0.7625,"[[300,0,0],[5,175,121],[39,25,297]]"
real_only,50,8,0,0.7775,0.7583,0.9600,0.5615,0.7535,"[[300,0,0],[0,121,180],[25,9,327]]"
real_only,50,9,0,0.8004,0.7995,0.9787,0.6654,0.7545,"[[298,2,0],[0,180,121],[11,58,292]]"
real_only,50,10,0,0.8119,0.8095,0.9740,0.6857,0.7688,"[[300,0,0],[0,180,121],[16,44,301]]"
real_only,50,11,0,0.7547,0.7341,0.9009,0.5701,0.7312,"[[300,0,0],[11,120,170],[55,0,306]]"
real_only,50,12,0,0.7682,0.7605,0.9449,0.6138,0.7227,"[[300,0,0],[2,151,148],[33,40,288]]"
real_only,50,13,0,0.7890,0.7680,0.9660,0.5647,0.7732,"[[298,2,0],[1,120,180],[18,2,341]]"
real_only,50,14,0,0.8077,0.8060,0.9754,0.6754,0.7673,"[[297,3,0],[0,180,121],[12,49,300]]"
real_only,50,15,0,0.7391,0.7181,0.8708,0.5591,0.7245,"[[300,0,0],[32,123,146],[57,16,288]]"
real_only,50,16,0,0.8046,0.8041,0.9917,0.6568,0.7637,"[[297,3,0],[0,178,123],[2,60,299]]"
real_only,50,17,0,0.8108,0.8079,0.9677,0.6871,0.7688,"[[300,0,0],[1,179,121],[19,41,301]]"
real_only,50,18,0,0.7817,0.7613,0.9554,0.5687,0.7597,"[[300,0,0],[0,120,181],[28,1,332]]"
real_only,50,19,0,0.7983,0.7782,0.9803,0.5728,0.7815,"[[299,0,1],[0,122,179],[11,3,347]]"
phaseA_v2_random_open_loop,5,0,450,0.4647,0.4684,0.4805,0.4497,0.4751,"[[105,175,20],[24,199,78],[8,210,143]]"
phaseA_v2_random_open_loop,5,1,450,0.4626,0.4667,0.4569,0.4268,0.5165,"[[90,206,4],[4,191,106],[0,197,164]]"
phaseA_v2_random_open_loop,5,2,450,0.4771,0.4811,0.5079,0.4689,0.4664,"[[112,177,11],[24,215,62],[5,224,132]]"
phaseA_v2_random_open_loop,5,3,450,0.4938,0.5003,0.5408,0.4810,0.4792,"[[116,176,8],[11,221,69],[2,221,138]]"
phaseA_v2_random_open_loop,5,4,450,0.4480,0.4470,0.4062,0.3859,0.5489,"[[79,212,9],[10,164,127],[0,173,188]]"
phaseA_v2_random_open_loop,5,5,450,0.4158,0.3878,0.2456,0.4240,0.4938,"[[42,234,24],[0,198,103],[0,201,160]]"
phaseA_v2_random_open_loop,5,6,450,0.4699,0.4649,0.4569,0.4842,0.4537,"[[90,205,5],[4,237,60],[0,236,125]]"
phaseA_v2_random_open_loop,5,7,450,0.4823,0.4895,0.4952,0.4376,0.5357,"[[104,190,6],[15,191,95],[1,191,169]]"
phaseA_v2_random_open_loop,5,8,450,0.4314,0.4206,0.3433,0.4240,0.4944,"[[63,228,9],[4,198,99],[0,207,154]]"
phaseA_v2_random_open_loop,5,9,450,0.4376,0.4115,0.3064,0.4760,0.4522,"[[55,240,5],[3,243,55],[1,237,123]]"
phaseA_v2_random_open_loop,5,10,450,0.4511,0.4297,0.3915,0.4976,0.4000,"[[74,221,5],[4,259,38],[0,260,101]]"
