baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
phaseA_v2_rule,10,17,450,0.7225,0.7207,0.8371,0.7199,0.6053,"[[280,0,20],[14,221,66],[75,92,194]]"
phaseA_v2_rule,10,18,450,0.7838,0.7677,0.9342,0.6023,0.7667,"[[291,0,9],[6,131,164],[26,3,332]]"
phaseA_v2_rule,10,19,450,0.7069,0.7177,0.9338,0.6016,0.6177,"[[268,0,32],[1,185,115],[5,129,227]]"
phaseA_v2_rule,25,0,450,0.7443,0.7449,0.9143,0.6462,0.6742,"[[288,1,11],[14,189,98],[28,94,239]]"
phaseA_v2_rule,25,1,450,0.7848,0.7860,0.9803,0.6512,0.7266,"[[298,0,2],[0,182,119],[10,76,275]]"
phaseA_v2_rule,25,2,450,0.7453,0.7436,0.9462,0.6941,0.5904,"[[299,0,1],[5,245,51],[28,160,173]]"
phaseA_v2_rule,25,3,450,0.7422,0.7383,0.9804,0.5475,0.6870,"[[300,0,0],[2,144,155],[10,81,270]]"
phaseA_v2_rule,25,4,450,0.8004,0.7998,0.9641,0.6828,0.7526,"[[295,0,5],[0,183,118],[17,52,292]]"
phaseA_v2_rule,25,5,450,0.7755,0.7671,0.9662,0.5956,0.7395,"[[300,0,0],[6,148,147],[15,48,298]]"
phaseA_v2_rule,25,6,450,0.7796,0.7662,0.9714,0.5683,0.7589,"[[289,1,10],[0,129,172],[6,23,332]]"
phaseA_v2_rule,25,7,450,0.7557,0.7635,0.9713,0.6573,0.6618,"[[288,0,12],[2,211,88],[3,130,228]]"
phaseA_v2_rule,25,8,450,0.7682,0.7727,0.9591,0.6924,0.6667,"[[293,0,7],[1,224,76],[17,122,222]]"
phaseA_v2_rule,25,9,450,0.7308,0.7341,0.9900,0.6605,0.5518,"[[296,3,1],[1,250,50],[1,203,157]]"
phaseA_v2_rule,25,10,450,0.7983,0.7953,0.9715,0.6509,0.7634,"[[290,0,10],[0,165,136],[7,41,313]]"
phaseA_v2_rule,25,11,450,0.7713,0.7765,0.9736,0.6913,0.6646,"[[295,3,2],[2,234,65],[9,139,213]]"
phaseA_v2_rule,25,12,450,0.8254,0.8282,0.9782,0.7263,0.7802,"[[292,4,4],[0,211,90],[5,65,291]]"
phaseA_v2_rule,25,13,450,0.7900,0.7927,0.9662,0.7030,0.7091,"[[300,0,0],[10,226,65],[11,116,234]]"
phaseA_v2_rule,25,14,450,0.7568,0.7655,0.9744,0.6468,0.6752,"[[285,6,9],[0,206,95],[0,124,237]]"
phaseA_v2_rule,25,15,450,0.7817,0.7883,0.9747,0.6824,0.7079,"[[289,5,6],[2,217,82],[2,113,246]]"
phaseA_v2_rule,25,16,450,0.7474,0.7549,0.9389,0.6382,0.6876,"[[269,2,29],[2,187,112],[2,96,263]]"
phaseA_v2_rule,25,17,450,0.7796,0.7830,0.9642,0.6797,0.7050,"[[296,0,4],[7,209,85],[11,105,245]]"
phaseA_v2_rule,25,18,450,0.7318,0.7388,0.9511,0.6536,0.6117,"[[282,18,0],[0,233,68],[11,161,189]]"
phaseA_v2_rule,25,19,450,0.7630,0.7639,0.9414,0.6975,0.6527,"[[297,1,2],[11,234,56],[23,135,203]]"
phaseA_v2_rule,50,0,450,0.7775,0.7820,0.9801,0.6622,0.7038,"[[296,0,4],[1,199,101],[7,101,253]]"
phaseA_v2_rule,50,1,450,0.8056,0.8104,0.9901,0.7292,0.7121,"[[300,0,0],[1,245,55],[5,126,230]]"
phaseA_v2_rule,50,2,450,0.8534,0.8546,0.9615,0.7916,0.8106,"[[300,0,0],[12,245,44],[12,73,276]]"
phaseA_v2_rule,50,3,450,0.8410,0.8338,0.9836,0.6985,0.8192,"[[299,0,1],[2,168,131],[7,12,342]]"
phaseA_v2_rule,50,4,450,0.7484,0.7536,0.9916,0.6793,0.5898,"[[295,0,5],[0,251,50],[0,187,174]]"
phaseA_v2_rule,50,5,450,0.8170,0.8229,0.9967,0.7331,0.7389,"[[298,0,2],[0,239,62],[0,112,249]]"
phaseA_v2_rule,50,6,450,0.7952,0.7949,0.9755,0.7541,0.6550,"[[299,0,1],[0,279,22],[14,160,187]]"
phaseA_v2_rule,50,7,450,0.7879,0.7891,0.9554,0.7246,0.6872,"[[300,0,0],[11,246,44],[17,132,212]]"
phaseA_v2_rule,50,8,450,0.8170,0.8176,0.9816,0.6961,0.7749,"[[294,0,6],[0,189,112],[5,53,303]]"
phaseA_v2_rule,50,9,450,0.8222,0.8274,0.9967,0.7296,0.7561,"[[298,0,2],[0,228,73],[0,96,265]]"
phaseA_v2_rule,50,10,450,0.8326,0.8308,0.9693,0.7283,0.7948,"[[300,0,0],[2,193,106],[17,36,308]]"
phaseA_v2_rule,50,11,450,0.8555,0.8518,0.9967,0.7287,0.8299,"[[300,0,0],[0,184,117],[2,20,339]]"
phaseA_v2_rule,50,12,450,0.8285,0.8270,0.9933,0.6933,0.7945,"[[296,0,4],[0,182,119],[0,42,319]]"
phaseA_v2_rule,50,13,450,0.8482,0.8521,0.9933,0.7665,0.7966,"[[298,1,1],[2,238,61],[0,81,280]]"
phaseA_v2_rule,50,14,450,0.8056,0.8098,0.9950,0.6912,0.7431,"[[299,1,0],[0,207,94],[2,90,269]]"
phaseA_v2_rule,50,15,450,0.8202,0.8173,0.9787,0.6869,0.7863,"[[299,0,1],[5,181,115],[7,45,309]]"
phaseA_v2_rule,50,16,450,0.8067,0.8119,0.9967,0.7032,0.7358,"[[299,0,1],[0,218,83],[1,101,259]]"
phaseA_v2_rule,50,17,450,0.8243,0.8302,0.9882,0.7585,0.7439,"[[293,1,6],[0,256,45],[0,117,244]]"
phaseA_v2_rule,50,18,450,0.8358,0.8316,0.9950,0.6931,0.8068,"[[299,0,1],[0,175,126],[2,29,330]]"
phaseA_v2_rule,50,19,450,0.7723,0.7783,0.9848,0.7078,0.6424,"[[291,3,6],[0,258,43],[0,167,194]]"
phaseA_v2_llm_k3,5,0,450,0.7017,0.7056,0.9223,0.5930,0.6016,"[[285,14,1],[16,196,89],[17,150,194]]"
phaseA_v2_llm_k3,5,1,450,0.7942,0.7985,0.9882,0.6678,0.7394,"[[294,6,0],[1,199,101],[0,90,271]]"
phaseA_v2_llm_k3,5,2,450,0.7703,0.7776,0.9882,0.6520,0.6925,"[[293,7,0],[0,207,94],[0,120,241]]"
phaseA_v2_llm_k3,5,3,450,0.8243,0.8267,0.9662,0.7639,0.7500,"[[300,0,0],[1,241,59],[20,89,252]]"
phaseA_v2_llm_k3,5,4,450,0.7453,0.7478,0.9510,0.5694,0.7229,"[[272,28,0],[0,162,139],[0,78,283]]"
phaseA_v2_llm_k3,5,5,450,0.7807,0.7685,0.9796,0.5577,0.7683,"[[288,12,0],[0,133,168],[0,31,330]]"
phaseA_v2_llm_k3,5,6,450,0.7734,0.7692,0.9673,0.5835,0.7567,"[[281,18,1],[0,152,149],[0,50,311]]"
phaseA_v2_llm_k3,5,7,450,0.8025,0.7931,0.9934,0.6087,0.7771,"[[299,1,0],[2,147,152],[1,34,326]]"
phaseA_v2_llm_k3,5,8,450,0.8087,0.8075,0.9803,0.6691,0.7731,"[[299,1,0],[11,186,104],[0,68,293]]"
phaseA_v2_llm_k3,5,9,450,0.7931,0.7952,0.9293,0.7279,0.7283,"[[289,11,0],[0,222,79],[33,76,252]]"
phaseA_v2_llm_k3,5,10,450,0.7453,0.7489,0.9884,0.6729,0.5854,"[[297,3,0],[4,252,45],[0,193,168]]"
phaseA_v2_llm_k3,5,11,450,0.7640,0.7719,0.9319,0.6626,0.7213,"[[267,33,0],[0,217,84],[6,104,251]]"
phaseA_v2_llm_k3,5,12,450,0.7744,0.7602,0.9655,0.5412,0.7738,"[[280,20,0],[0,128,173],[0,24,337]]"
phaseA_v2_llm_k3,5,13,450,0.7869,0.7913,0.9546,0.6830,0.7364,"[[284,16,0],[0,209,92],[11,86,264]]"
phaseA_v2_llm_k3,5,14,450,0.7723,0.7639,0.9899,0.5576,0.7443,"[[295,5,0],[1,138,162],[0,51,310]]"
phaseA_v2_llm_k3,5,15,450,0.7983,0.8051,0.9797,0.7025,0.7331,"[[289,11,0],[1,229,71],[0,111,250]]"
phaseA_v2_llm_k3,5,16,450,0.7911,0.7823,0.9707,0.6092,0.7670,"[[298,2,0],[10,152,139],[6,44,311]]"
phaseA_v2_llm_k3,5,17,450,0.7682,0.7664,0.9899,0.5816,0.7277,"[[294,6,0],[0,155,146],[0,71,290]]"
phaseA_v2_llm_k3,5,18,450,0.7484,0.7586,0.9510,0.6667,0.6581,"[[272,28,0],[0,242,59],[0,155,206]]"
phaseA_v2_llm_k3,5,19,450,0.7900,0.7718,0.9933,0.5483,0.7736,"[[298,2,0],[1,122,178],[1,20,340]]"
phaseA_v2_llm_k3,10,0,450,0.7401,0.7511,0.9383,0.6374,0.6776,"[[266,32,2],[1,218,82],[0,133,228]]"
phaseA_v2_llm_k3,10,1,450,0.8035,0.8048,0.9882,0.6631,0.7630,"[[294,6,0],[1,186,114],[0,68,293]]"
phaseA_v2_llm_k3,10,2,450,0.7703,0.7765,0.9796,0.6383,0.7117,"[[288,12,0],[0,195,106],[0,103,258]]"
phaseA_v2_llm_k3,10,3,450,0.8368,0.8413,0.9899,0.7464,0.7876,"[[294,6,0],[0,231,70],[0,81,280]]"
phaseA_v2_llm_k3,10,4,450,0.7380,0.7470,0.9656,0.6060,0.6695,"[[281,19,0],[0,193,108],[1,124,236]]"
phaseA_v2_llm_k3,10,5,450,0.8337,0.8390,0.9813,0.7508,0.7850,"[[289,11,0],[0,241,60],[0,89,272]]"
phaseA_v2_llm_k3,10,6,450,0.7328,0.7393,0.9883,0.6474,0.5824,"[[295,5,0],[1,235,65],[1,185,175]]"
phaseA_v2_llm_k3,10,7,450,0.8056,0.8111,0.9916,0.6979,0.7437,"[[295,5,0],[0,216,85],[0,97,264]]"
phaseA_v2_llm_k3,10,8,450,0.8119,0.8084,0.9917,0.6539,0.7794,"[[299,1,0],[4,171,126],[0,50,311]]"
phaseA_v2_llm_k3,10,9,450,0.8056,0.8105,0.9899,0.6939,0.7476,"[[295,5,0],[1,212,88],[0,93,268]]"
phaseA_v2_llm_k3,10,10,450,0.8170,0.8101,0.9933,0.6437,0.7933,"[[297,3,0],[1,159,141],[0,31,330]]"
phaseA_v2_llm_k3,10,11,450,0.8108,0.8175,0.9744,0.7358,0.7423,"[[286,14,0],[0,252,49],[1,118,242]]"
phaseA_v2_llm_k3,10,12,450,0.7963,0.7992,0.9916,0.6597,0.7463,"[[295,5,0],[0,190,111],[0,80,281]]"
phaseA_v2_llm_k3,10,13,450,0.7942,0.7926,0.9691,0.6535,0.7553,"[[298,2,0],[12,182,107],[5,72,284]]"
phaseA_v2_llm_k3,10,14,450,0.7838,0.7884,0.9833,0.7151,0.6667,"[[295,5,0],[5,261,35],[0,163,198]]"
phaseA_v2_llm_k3,10,15,450,0.8389,0.8418,0.9796,0.7377,0.8081,"[[288,12,0],[0,218,83],[0,60,301]]"
phaseA_v2_llm_k3,10,16,450,0.7911,0.7932,0.9950,0.6480,0.7367,"[[299,1,0],[2,185,114],[0,84,277]]"
phaseA_v2_llm_k3,10,17,450,0.7983,0.8038,0.9884,0.7215,0.7016,"[[297,3,0],[3,250,48],[1,139,221]]"
phaseA_v2_llm_k3,10,18,450,0.8108,0.8061,0.9779,0.6459,0.7947,"[[287,13,0],[0,166,135],[0,34,327]]"
phaseA_v2_llm_k3,10,19,450,0.8015,0.8085,0.9601,0.7075,0.7579,"[[277,23,0],[0,231,70],[0,98,263]]"
phaseA_v2_llm_k3,25,0,450,0.8181,0.8218,0.9800,0.7180,0.7675,"[[294,6,0],[3,219,79],[3,84,274]]"
phaseA_v2_llm_k3,25,1,450,0.8129,0.8173,0.9916,0.7030,0.7573,"[[296,4,0],[1,213,87],[0,88,273]]"
phaseA_v2_llm_k3,25,2,450,0.8514,0.8561,0.9967,0.7817,0.7899,"[[298,2,0],[0,256,45],[0,96,265]]"
phaseA_v2_llm_k3,25,3,450,0.7983,0.7977,0.9885,0.6544,0.7503,"[[300,0,0],[1,178,122],[6,65,290]]"
phaseA_v2_llm_k3,25,4,450,0.8274,0.8294,0.9796,0.7108,0.7979,"[[288,12,0],[0,204,97],[0,57,304]]"
phaseA_v2_llm_k3,25,5,450,0.8316,0.8356,0.9884,0.7476,0.7708,"[[299,1,0],[4,237,60],[2,95,264]]"
phaseA_v2_llm_k3,25,6,450,0.8035,0.8008,0.9744,0.6427,0.7852,"[[285,15,0],[0,170,131],[0,43,318]]"
phaseA_v2_llm_k3,25,7,450,0.8472,0.8514,0.9950,0.7656,0.7937,"[[298,2,0],[1,240,60],[0,84,277]]"
phaseA_v2_llm_k3,25,8,450,0.8368,0.8410,0.9916,0.7430,0.7883,"[[295,5,0],[0,227,74],[0,78,283]]"
phaseA_v2_llm_k3,25,9,450,0.7796,0.7839,0.9848,0.6395,0.7275,"[[291,9,0],[0,188,113],[0,90,271]]"
phaseA_v2_llm_k3,25,10,450,0.7963,0.8020,0.9950,0.7003,0.7106,"[[300,0,0],[3,229,69],[0,124,237]]"
phaseA_v2_llm_k3,25,11,450,0.8430,0.8479,0.9950,0.7734,0.7753,"[[298,2,0],[0,256,45],[1,103,257]]"
phaseA_v2_llm_k3,25,12,450,0.8326,0.8379,0.9933,0.7488,0.7715,"[[296,4,0],[0,240,61],[0,96,265]]"
phaseA_v2_llm_k3,25,13,450,0.8004,0.8028,0.9820,0.6823,0.7441,"[[300,0,0],[9,204,88],[2,93,266]]"
phaseA_v2_llm_k3,25,14,450,0.8212,0.8274,0.9691,0.7370,0.7762,"[[282,18,0],[0,241,60],[0,94,267]]"
phaseA_v2_llm_k3,25,15,450,0.8035,0.7943,0.9693,0.6163,0.7972,"[[284,16,0],[1,151,149],[1,22,338]]"
phaseA_v2_llm_k3,25,16,450,0.8160,0.8197,0.9950,0.7005,0.7636,"[[297,3,0],[0,207,94],[0,80,281]]"
phaseA_v2_llm_k3,25,17,450,0.7963,0.8021,0.9983,0.7159,0.6919,"[[300,0,0],[1,247,53],[0,142,219]]"
phaseA_v2_llm_k3,25,18,450,0.7973,0.8044,0.9848,0.7103,0.7182,"[[291,9,0],[0,239,62],[0,124,237]]"
phaseA_v2_llm_k3,25,19,450,0.8462,0.8501,0.9796,0.7597,0.8111,"[[288,12,0],[0,234,67],[0,69,292]]"
phaseA_v2_llm_k3,50,0,450,0.8285,0.8324,0.9818,0.7670,0.7484,"[[297,3,0],[4,265,32],[4,122,235]]"
phaseA_v2_llm_k3,50,1,450,0.8607,0.8649,0.9933,0.7932,0.8083,"[[297,3,0],[1,257,43],[0,87,274]]"
phaseA_v2_llm_k3,50,2,450,0.8929,0.8961,0.9967,0.8408,0.8508,"[[299,1,0],[1,272,28],[0,73,288]]"
phaseA_v2_llm_k3,50,3,450,0.8534,0.8566,0.9983,0.7638,0.8077,"[[299,1,0],[0,228,73],[0,67,294]]"
phaseA_v2_llm_k3,50,4,450,0.8441,0.8461,0.9724,0.7960,0.7700,"[[299,1,0],[8,277,16],[8,117,236]]"
phaseA_v2_llm_k3,50,5,450,0.8493,0.8539,0.9950,0.7833,0.7835,"[[298,2,0],[1,262,38],[0,104,257]]"
phaseA_v2_llm_k3,50,6,450,0.8264,0.8303,0.9933,0.7734,0.7242,"[[296,4,0],[0,285,16],[0,147,214]]"
phaseA_v2_llm_k3,50,7,450,0.7900,0.7920,0.9677,0.7262,0.6820,"[[300,0,0],[8,252,41],[12,141,208]]"
phaseA_v2_llm_k3,50,8,450,0.8960,0.8990,1.0000,0.8397,0.8571,"[[300,0,0],[0,262,39],[0,61,300]]"
phaseA_v2_llm_k3,50,9,450,0.8607,0.8647,0.9967,0.8069,0.7905,"[[299,1,0],[1,280,20],[0,112,249]]"
phaseA_v2_llm_k3,50,10,450,0.8607,0.8627,0.9916,0.7682,0.8282,"[[295,5,0],[0,222,79],[0,50,311]]"
phaseA_v2_llm_k3,50,11,450,0.8472,0.8508,0.9983,0.7578,0.7961,"[[300,0,0],[1,230,70],[0,76,285]]"
phaseA_v2_llm_k3,50,12,450,0.8378,0.8408,1.0000,0.7338,0.7886,"[[300,0,0],[0,215,86],[0,70,291]]"
phaseA_v2_llm_k3,50,13,450,0.8711,0.8750,0.9950,0.8086,0.8213,"[[298,2,0],[1,262,38],[0,83,278]]"
phaseA_v2_llm_k3,50,14,450,0.8742,0.8780,1.0000,0.8118,0.8223,"[[300,0,0],[0,261,40],[0,81,280]]"
phaseA_v2_llm_k3,50,15,450,0.8659,0.8695,0.9967,0.7936,0.8183,"[[299,1,0],[1,248,52],[0,75,286]]"
phaseA_v2_llm_k3,50,16,450,0.8514,0.8551,0.9967,0.7705,0.7983,"[[300,0,0],[2,240,59],[0,82,279]]"
phaseA_v2_llm_k3,50,17,450,0.8389,0.8438,0.9967,0.7662,0.7685,"[[299,1,0],[1,254,46],[0,107,254]]"
phaseA_v2_llm_k3,50,18,450,0.8451,0.8417,0.9692,0.7338,0.8220,"[[299,1,0],[9,193,99],[9,31,321]]"
phaseA_v2_llm_k3,50,19,450,0.9033,0.9063,0.9916,0.8567,0.8706,"[[295,5,0],[0,278,23],[0,65,296]]"
