source,class,slot,accepted_slot,n_candidates,n_feasible_expansions
rule,IR,226,False,1,0
rule,IR,227,False,1,0
rule,IR,228,False,1,0
rule,IR,229,False,1,0
rule,IR,230,False,1,0
rule,IR,231,False,1,0
rule,IR,232,False,1,0
rule,IR,233,False,1,0
rule,IR,234,True,1,1
rule,IR,235,False,1,0
rule,IR,236,False,1,0
rule,IR,237,False,1,0
rule,IR,238,False,1,0
rule,IR,239,False,1,0
rule,IR,240,False,1,0
rule,IR,241,False,1,0
rule,IR,242,False,1,0
rule,IR,243,False,1,0
rule,IR,244,False,1,0
rule,IR,245,True,1,1
rule,IR,246,False,1,0
rule,IR,247,False,1,0
rule,IR,248,False,1,0
rule,IR,249,True,1,1
rule,IR,250,False,1,0
rule,IR,251,False,1,0
rule,IR,252,False,1,0
rule,IR,253,False,1,0
rule,IR,254,False,1,0
rule,IR,255,False,1,0
rule,IR,256,False,1,0
rule,IR,257,False,1,0
rule,IR,258,True,1,3
rule,IR,259,True,1,0
rule,IR,260,False,1,0
rule,IR,261,False,1,0
rule,IR,262,False,1,0
rule,IR,263,False,1,0
rule,IR,264,False,1,0
rule,IR,265,False,1,0
rule,IR,266,False,1,0
rule,IR,267,False,1,0
rule,IR,268,False,1,0
rule,IR,269,False,1,0
rule,IR,270,True,1,3
rule,IR,271,False,1,0
rule,IR,272,False,1,0
rule,IR,273,False,1,0
rule,IR,274,False,1,0
rule,IR,275,False,1,0
rule,IR,276,False,1,0
rule,IR,277,False,1,0
rule,IR,278,False,1,0
rule,IR,279,False,1,0
rule,IR,280,False,1,0
rule,IR,281,False,1,0
rule,IR,282,True,1,3
rule,IR,283,False,1,0
rule,IR,284,False,1,0
rule,IR,285,False,1,0
rule,IR,286,False,1,0
rule,IR,287,False,1,0
rule,IR,288,False,1,0
rule,IR,289,False,1,0
rule,IR,290,True,1,0
rule,IR,291,False,1,0
rule,IR,292,False,1,0
rule,IR,293,False,1,0
rule,IR,294,False,1,0
rule,IR,295,False,1,0
rule,IR,296,False,1,0
rule,IR,297,False,1,0
rule,IR,298,False,1,0
rule,IR,299,False,1,0
rule,IR,300,False,1,0
rule,IR,301,False,1,0
rule,IR,302,False,1,0
rule,IR,303,False,1,0
rule,IR,304,True,1,2
rule,IR,305,False,1,0
rule,IR,306,False,1,0
rule,IR,307,False,1,0
rule,IR,308,False,1,0
rule,IR,309,False,1,0
rule,IR,310,False,1,0
rule,IR,311,False,1,0
rule,IR,312,False,1,0
rule,IR,313,False,1,0
rule,IR,314,False,1,0
rule,IR,315,False,1,0
rule,IR,316,True,1,1
rule,IR,317,False,1,0
rule,IR,318,False,1,0
rule,IR,319,False,1,0
rule,IR,320,False,1,0
rule,IR,321,False,1,0
rule,IR,322,False,1,0
rule,IR,323,False,1,0
rule,IR,324,True,1,0
rule,IR,325,False,1,0
rule,IR,326,False,1,0
rule,IR,327,True,1,3
rule,IR,328,False,1,0
rule,IR,329,True,1,3
rule,IR,330,False,1,0
rule,IR,331,True,1,2
rule,IR,332,False,1,0
rule,IR,333,False,1,0
rule,IR,334,False,1,0
rule,IR,335,False,1,0
rule,IR,336,False,1,0
rule,IR,337,False,1,0
rule,IR,338,False,1,0
rule,IR,339,False,1,0
rule,IR,340,False,1,0
rule,IR,341,False,1,0
rule,IR,342,False,1,0
rule,IR,343,False,1,0
rule,IR,344,False,1,0
rule,IR,345,False,1,0
rule,IR,346,True,1,1
rule,IR,347,False,1,0
rule,IR,348,False,1,0
rule,IR,349,True,1,2
rule,IR,350,True,1,2
rule,IR,351,False,1,0
rule,IR,352,False,1,0
rule,IR,353,True,1,3
rule,IR,354,False,1,0
rule,IR,355,True,1,2
rule,IR,356,False,1,0
rule,IR,357,False,1,0
rule,IR,358,False,1,0
rule,IR,359,False,1,0
rule,IR,360,True,1,4
rule,IR,361,True,1,1
rule,IR,362,True,1,1
rule,IR,363,False,1,0
rule,IR,364,False,1,0
rule,IR,365,False,1,0
rule,IR,366,False,1,0
rule,IR,367,False,1,0
rule,IR,368,False,1,0
rule,IR,369,False,1,0
rule,IR,370,True,1,4
rule,IR,371,False,1,0
rule,IR,372,False,1,0
rule,IR,373,False,1,0
rule,IR,374,True,1,1
rule,IR,375,False,1,0
rule,IR,376,False,1,0
rule,IR,377,False,1,0
rule,IR,378,False,1,0
rule,IR,379,True,1,1
rule,IR,380,False,1,0
rule,IR,381,False,1,0
rule,IR,382,True,1,2
rule,IR,383,True,1,1
rule,IR,384,False,1,0
rule,IR,385,False,1,0
rule,IR,386,False,1,0
rule,IR,387,False,1,0
rule,IR,388,False,1,0
rule,IR,389,False,1,0
rule,IR,390,False,1,0
rule,IR,391,False,1,0
rule,IR,392,False,1,0
rule,IR,393,False,1,0
rule,IR,394,False,1,0
rule,IR,395,True,1,4
rule,IR,396,False,1,0
rule,IR,397,False,1,0
rule,IR,398,False,1,0
rule,IR,399,False,1,0
rule,OR,0,False,1,0
rule,OR,1,False,1,0
rule,OR,2,False,1,0
rule,OR,3,False,1,0
rule,OR,4,False,1,0
rule,OR,5,False,1,0
rule,OR,6,True,1,4
rule,OR,7,True,1,4
rule,OR,8,True,1,4
rule,OR,9,False,1,0
rule,OR,10,True,1,2
rule,OR,11,True,1,4
rule,OR,12,True,1,4
rule,OR,13,False,1,0
rule,OR,14,True,1,4
rule,OR,15,True,1,4
rule,OR,16,True,1,4
rule,OR,17,True,1,4
rule,OR,18,True,1,4
rule,OR,19,False,1,0
rule,OR,20,False,1,0
rule,OR,21,False,1,0
rule,OR,22,False,1,0
rule,OR,23,False,1,0
rule,OR,24,True,1,4
rule,OR,25,True,1,4
rule,OR,26,True,1,4
rule,OR,27,True,1,4
rule,OR,28,True,1,4
rule,OR,29,True,1,4
rule,OR,30,False,1,0
rule,OR,31,False,1,0
rule,OR,32,True,1,2
rule,OR,33,False,1,0
rule,OR,34,True,1,4
rule,OR,35,True,1,4
rule,OR,36,True,1,4
rule,OR,37,True,1,4
rule,OR,38,True,1,4
rule,OR,39,True,1,4
rule,OR,40,False,1,0
rule,OR,41,False,1,0
rule,OR,42,False,1,0
rule,OR,43,False,1,0
rule,OR,44,True,1,4
rule,OR,45,True,1,4
rule,OR,46,True,1,4
rule,OR,47,True,1,4
rule,OR,48,True,1,4
rule,OR,49,True,1,4
rule,OR,50,False,1,0
rule,OR,51,False,1,0
rule,OR,52,False,1,0
rule,OR,53,False,1,0
rule,OR,54,False,1,0
rule,OR,55,False,1,0
rule,OR,56,True,1,4
rule,OR,57,True,1,4
rule,OR,58,True,1,4
rule,OR,59,False,1,0
rule,OR,60,False,1,0
rule,OR,61,False,1,0
rule,OR,62,False,1,0
rule,OR,63,False,1,0
rule,OR,64,False,1,0
rule,OR,65,False,1,0
rule,OR,66,True,1,4
rule,OR,67,True,1,4
rule,OR,68,True,1,4
rule,OR,69,True,1,4
rule,OR,70,False,1,0
rule,OR,71,True,1,2
rule,OR,72,False,1,0
rule,OR,73,False,1,0
rule,OR,74,True,1,4
rule,OR,75,True,1,4
rule,OR,76,True,1,4
rule,OR,77,True,1,4
rule,OR,78,True,1,4
rule,OR,79,True,1,4
rule,OR,80,True,1,4
rule,OR,81,False,1,0
rule,OR,82,False,1,0
rule,OR,83,False,1,0
rule,OR,84,False,1,0
rule,OR,85,True,1,4
rule,OR,86,True,1,4
rule,OR,87,True,1,4
rule,OR,88,True,1,4
rule,OR,89,True,1,4
rule,OR,90,True,1,4
rule,OR,91,False,1,0
rule,OR,92,True,1,3
rule,OR,93,False,1,0
rule,OR,94,False,1,0
rule,OR,95,True,1,4
rule,OR,96,False,1,0
rule,OR,97,True,1,4
rule,OR,98,True,1,4
rule,OR,99,False,1,0
rule,OR,100,True,1,4
rule,OR,101,False,1,0
rule,OR,102,False,1,0
rule,OR,103,True,1,3
rule,OR,104,True,1,2
rule,OR,105,True,1,4
rule,OR,106,True,1,4
rule,OR,107,True,1,4
rule,OR,108,True,1,4
rule,OR,109,True,1,4
rule,OR,110,True,1,4
rule,OR,111,False,1,0
rule,OR,112,True,1,2
rule,OR,113,False,1,0
rule,OR,114,True,1,4
rule,OR,115,False,1,0
rule,OR,116,True,1,4
rule,OR,117,True,1,4
rule,OR,118,True,1,4
rule,OR,119,True,1,4
rule,OR,120,True,1,4
rule,OR,121,True,1,4
rule,OR,122,True,1,3
rule,OR,123,False,1,0
rule,OR,124,True,1,4
rule,OR,125,True,1,3
rule,OR,126,True,1,4
rule,OR,127,True,1,4
rule,OR,128,True,1,4
rule,OR,129,False,1,0
rule,OR,130,True,1,4
rule,OR,131,False,1,0
rule,OR,132,False,1,0
rule,OR,133,False,1,0
rule,OR,134,False,1,0
rule,OR,135,False,1,0
rule,OR,136,False,1,0
rule,OR,137,True,1,4
rule,OR,138,True,1,4
rule,OR,139,True,1,4
rule,OR,140,True,1,4
rule,OR,141,True,1,4
rule,OR,142,False,1,0
rule,OR,143,False,1,0
rule,OR,144,False,1,0
rule,OR,145,False,1,0
rule,OR,146,False,1,0
rule,OR,147,True,1,4
rule,OR,148,True,1,4
rule,OR,149,True,1,4
rule,healthy,0,False,1,0
rule,healthy,1,False,1,0
rule,healthy,2,False,1,0
rule,healthy,3,True,1,4
rule,healthy,4,False,1,0
rule,healthy,5,True,1,4
rule,healthy,6,False,1,0
rule,healthy,7,True,1,4
rule,healthy,8,False,1,0
rule,healthy,9,True,1,4
rule,healthy,10,True,1,4
rule,healthy,11,True,1,2
rule,healthy,12,False,1,0
rule,healthy,13,False,1,0
rule,healthy,14,False,1,0
rule,healthy,15,False,1,0
rule,healthy,16,True,1,4
rule,healthy,17,False,1,0
rule,healthy,18,True,1,3
rule,healthy,19,False,1,0
rule,healthy,20,False,1,0
rule,healthy,21,False,1,0
rule,healthy,22,False,1,0
rule,healthy,23,True,1,4
rule,healthy,24,False,1,0
rule,healthy,25,False,1,0
rule,healthy,26,True,1,4
rule,healthy,27,True,1,4
rule,healthy,28,True,1,4
rule,healthy,29,True,1,3
rule,healthy,30,False,1,0
rule,healthy,31,True,1,3
rule,healthy,32,False,1,0
rule,healthy,33,True,1,4
rule,healthy,34,False,1,0
rule,healthy,35,True,1,4
rule,healthy,36,True,1,3
rule,healthy,37,True,1,4
rule,healthy,38,False,1,0
rule,healthy,39,False,1,0
rule,healthy,40,True,1,4
rule,healthy,41,False,1,0
rule,healthy,42,False,1,0
rule,healthy,43,True,1,4
rule,healthy,44,True,1,4
rule,healthy,45,True,1,4
