candidate,heldout,nearest_condition,slots,accepted_slots,accepted_paths_before_diversity,kept_after_diversity,idw_weights_json,kept_healthy,kept_OR,kept_IR
morphology_idw,N09_M07_F10,N15_M07_F10,18,12,42,39,"{""N15_M01_F10"":0.29289323420007923,""N15_M07_F04"":0.29289323420007923,""N15_M07_F10"":0.4142135315998415}",13,6,20
morphology_idw,N15_M01_F10,N15_M07_F10,22,20,138,135,"{""N09_M07_F10"":0.2928932342000793,""N15_M07_F04"":0.2928932342000793,""N15_M07_F10"":0.41421353159984153}",35,58,42
morphology_idw,N15_M07_F04,N15_M07_F10,17,15,116,108,"{""N09_M07_F10"":0.29289323420007923,""N15_M01_F10"":0.29289323420007923,""N15_M07_F10"":0.4142135315998415}",33,30,45
morphology_idw,N15_M07_F10,N09_M07_F10,21,21,156,150,"{""N09_M07_F10"":0.3333333333333333,""N15_M01_F10"":0.3333333333333333,""N15_M07_F04"":0.3333333333333333}",38,54,58
