class,feature,range,median_abs,loo_idw_mae,loo_idw_rel_mae,spearman_rpm,spearman_torque_nm,spearman_radial_load_n,values_by_condition_json,loo_pred_by_condition_json,predictability
healthy,cur1_peak_median,1.2152760028839111,2.5307770371437073,0.591852567120145,0.23386199512379385,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":2.483483910560608,""N15_M01_F10"":1.3774553537368774,""N15_M07_F04"":2.5780701637268066,""N15_M07_F10"":2.5927313566207886}","{""N09_M07_F10"":2.1827531454800937,""N15_M01_F10"":2.570894272906695,""N15_M07_F04"":2.15122446010925,""N15_M07_F10"":2.146336476008097}",weak
healthy,cur1_rms_median,0.8679078087105037,1.7282422341872228,0.4232182919562564,0.24488366479195975,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":1.701028696389739,""N15_M01_F10"":0.9024692604204936,""N15_M07_F04"":1.7554557719847068,""N15_M07_F10"":1.7703770691309972}","{""N09_M07_F10"":1.4761013135846397,""N15_M01_F10"":1.7555257734390626,""N15_M07_F04"":1.4579589928493673,""N15_M07_F10"":1.4529845762649796}",weak
healthy,cur1_skewness_median,0.005375711251264466,0.0021000961954253153,0.002248783347679492,1.0708001621579357,-0.7745966692414834,0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.0037020284990121844,""N15_M01_F10"":-0.0016736827522522812,""N15_M07_F04"":0.0011764361634489843,""N15_M07_F10"":0.0025265096385983492}","{""N09_M07_F10"":0.0006764248709295658,""N15_M01_F10"":0.00249574694306046,""N15_M07_F04"":0.0015182872289095373,""N15_M07_F10"":0.0010682606367362958}",not_predictable
healthy,cur1_std_median,0.8680160999176354,1.7280230426674876,0.42326341798015793,0.244940841371268,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":1.7009151770772428,""N15_M01_F10"":0.9021771783368462,""N15_M07_F04"":1.7551309082577324,""N15_M07_F10"":1.7701932782544816}","{""N09_M07_F10"":1.4758344015287626,""N15_M01_F10"":1.755329504872274,""N15_M07_F04"":1.4577625287848832,""N15_M07_F10"":1.452741087890607}",weak
healthy,cur2_crest_median,0.05629994206467681,1.4740556274093233,0.026638789730349444,0.018071766923172007,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":1.4704092035169163,""N15_M01_F10"":1.526709145581593,""N15_M07_F04"":1.4727614991403248,""N15_M07_F10"":1.4753497556783217}","{""N09_M07_F10"":1.4916067662647472,""N15_M01_F10"":1.4740229133594656,""N15_M07_F04"":1.4908226693571411,""N15_M07_F10"":1.4899599494129447}",interpolatable
healthy,cur2_kurtosis_median,0.002653787302967281,1.5039080844661983,0.0009525239366400262,0.0006333657930813535,-0.7745966692414834,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":1.5056750328177002,""N15_M01_F10"":1.503021245514733,""N15_M07_F04"":1.5039875290496694,""N15_M07_F10"":1.5038286398827272}","{""N09_M07_F10"":1.5036124719327248,""N15_M01_F10"":1.5041820414978164,""N15_M07_F04"":1.5041749720168638,""N15_M07_F10"":1.504227935794034}",interpolatable
healthy,cur2_peak_median,1.2029313445091248,2.5906129479408264,0.5886464403359266,0.22722284346011265,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":2.544175624847412,""N15_M01_F10"":1.4379939436912537,""N15_M07_F04"":2.6370502710342407,""N15_M07_F10"":2.6409252882003784}","{""N09_M07_F10"":2.2386573390308984,""N15_M01_F10"":2.6231916613060307,""N15_M07_F04"":2.207699188131235,""N15_M07_F10"":2.2064066131909685}",weak
healthy,cur2_rms_median,0.8578466439181164,1.7347528678262782,0.4197995842048234,0.24199388396492968,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":1.7114564440860145,""N15_M01_F10"":0.9127146539033447,""N15_M07_F04"":1.7580492915665422,""N15_M07_F10"":1.770561297821461}","{""N09_M07_F10"":1.4804423521763632,""N15_M01_F10"":1.7579398746491133,""N15_M07_F04"":1.4649114353721626,""N15_M07_F10"":1.460740129851967}",weak
healthy,cur2_skewness_median,0.008947495685993687,0.004614659585000255,0.003557039070486389,0.7708128853702606,-0.2581988897471611,-0.7745966692414834,0.7745966692414834,"{""N09_M07_F10"":0.005461596789399394,""N15_M01_F10"":0.010834098135610464,""N15_M07_F04"":0.0018866024496167768,""N15_M07_F10"":0.003767722380601116}","{""N09_M07_F10"":0.005496137387756113,""N15_M01_F10"":0.0037347230984075734,""N15_M07_F04"":0.006687799685061628,""N15_M07_F10"":0.006060765791542211}",not_predictable
healthy,cur2_std_median,0.8607596089383418,1.733073001390344,0.4211578598126461,0.24301218671950492,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":1.7095633244013508,""N15_M01_F10"":0.908507269034116,""N15_M07_F04"":1.7565826783793368,""N15_M07_F10"":1.7692668779724579}","{""N09_M07_F10"":1.4781195483503438,""N15_M01_F10"":1.7565095961633408,""N15_M07_F04"":1.462446463009841,""N15_M07_F10"":1.458217757271601}",weak
healthy,ir_resonance_3000_3600_frac_median,0.08487273466883263,0.24332031435979526,0.032149811131144186,0.1321295807775115,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.17974592527715558,""N15_M01_F10"":0.2646186599459882,""N15_M07_F04"":0.2374620104458639,""N15_M07_F10"":0.24917861827372662}","{""N09_M07_F10"":0.25041976030282176,""N15_M01_F10"":0.23487724195000742,""N15_M07_F04"":0.23118110532699154,""N15_M07_F10"":0.2272755318896692}",interpolatable
healthy,or_resonance_600_1200_frac_median,0.04682178348956417,0.10226250111180366,0.02110170746711074,0.20634843894375202,-0.7745966692414834,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":0.14773614513906158,""N15_M01_F10"":0.10091436164949741,""N15_M07_F04"":0.10288922129846474,""N15_M07_F10"":0.10163578092514255}","{""N09_M07_F10"":0.10181312092157774,""N15_M01_F10"":0.10998119577014742,""N15_M07_F04"":0.11676206439157516,""N15_M07_F10"":0.11717990936234124}",weak
healthy,vib_crest_median,1.8392967362106543,5.2630193101297476,0.8161991832640567,0.15508192829408032,-0.7745966692414834,0.2581988897471611,-0.2581988897471611,"{""N09_M07_F10"":7.026029276737525,""N15_M01_F10"":5.192072583630757,""N15_M07_F04"":5.333966036628739,""N15_M07_F10"":5.1867325405268705}","{""N09_M07_F10"":5.237590280975494,""N15_M01_F10"":5.536829413107595,""N15_M07_F04"":5.801610185973962,""N15_M07_F10"":5.850689298999006}",interpolatable
healthy,vib_kurtosis_median,4.4568721169684045,4.908532138465352,2.0163683586758747,0.4107884601333953,-0.7745966692414834,0.2581988897471611,-0.2581988897471611,"{""N09_M07_F10"":9.266843196368772,""N15_M01_F10"":4.900869930217148,""N15_M07_F04"":4.916194346713557,""N15_M07_F10"":4.809971079400367}","{""N09_M07_F10"":4.8756783152207115,""N15_M01_F10"":5.6141498416157525,""N15_M07_F04"":6.325891577170934,""N15_M07_F10"":6.361302491099825}",weak
healthy,vib_peak_median,0.05118241906166077,0.8021679073572159,0.02025927991497739,0.025255659979838127,0.7745966692414834,-0.2581988897471611,-0.7745966692414834,"{""N09_M07_F10"":0.7688651382923126,""N15_M01_F10"":0.8072727620601654,""N15_M07_F04"":0.8200475573539734,""N15_M07_F10"":0.7970630526542664}","{""N09_M07_F10"":0.8081277676380509,""N15_M01_F10"":0.7961442655205262,""N15_M07_F04"":0.7910669968273254,""N15_M07_F10"":0.7987284859021504}",interpolatable
healthy,vib_rms_median,0.033392730461799525,0.15063705748897527,0.014796735796980674,0.09822772725074891,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.11881432832803507,""N15_M01_F10"":0.1522070587898346,""N15_M07_F04"":0.14956368253152033,""N15_M07_F10"":0.15171043244643018}","{""N09_M07_F10"":0.15116039240184154,""N15_M01_F10"":0.14553464241625214,""N15_M07_F04"":0.14091062902095342,""N15_M07_F10"":0.14019502321646332}",interpolatable
healthy,vib_skewness_median,0.029364569747904266,0.004940908166694025,0.011974228103112237,2.4234872814284136,-0.7745966692414834,0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":0.027492854280336435,""N15_M01_F10"":0.0026369091890432535,""N15_M07_F04"":-0.0018717154675678312,""N15_M07_F10"":0.007244907144344797}","{""N09_M07_F10"":0.0026700431528769225,""N15_M01_F10"":0.009206640139983444,""N15_M07_F04"":0.012458212676888928,""N15_M07_F10"":0.009419349333937286}",not_predictable
healthy,vib_std_median,0.03351913828822728,0.14996364258737221,0.014807856074680444,0.09874297409089879,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.11818189428209819,""N15_M01_F10"":0.15170103257032547,""N15_M07_F04"":0.14890811709010204,""N15_M07_F10"":0.15101916808464239}","{""N09_M07_F10"":0.15054277357417542,""N15_M01_F10"":0.14486003744853243,""N15_M07_F04"":0.14030072064238436,""N15_M07_F10"":0.13959701464750857}",interpolatable
OR,band_0_0_250_frac_median,0.0395220738018913,0.026586136629632634,0.017114188206800184,0.6437260307720363,-0.7745966692414834,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":0.0634441806158155,""N15_M01_F10"":0.023922106813924197,""N15_M07_F04"":0.029227815719185906,""N15_M07_F10"":0.023944457540079365}","{""N09_M07_F10"":0.025698123037604794,""N15_M01_F10"":0.031836820030630354,""N15_M07_F04"":0.037103554241907276,""N15_M07_F10"":0.03886470104964186}",not_predictable
OR,band_1_250_500_frac_median,0.07316250564194798,0.06867512649685359,0.03178322105904752,0.46280542431968996,-0.7745966692414834,-0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":0.13378368191793613,""N15_M01_F10"":0.07559250828133121,""N15_M07_F04"":0.06062117627598815,""N15_M07_F10"":0.06175774471237598}","{""N09_M07_F10"":0.06599046760508667,""N15_M01_F10"":0.07425095820675007,""N15_M07_F04"":0.09037791867870512,""N15_M07_F10"":0.08999912215841849}",weak
OR,band_2_500_1000_frac_median,0.18367642694775432,0.459925046551536,0.08061760465947493,0.17528422351372464,-0.7745966692414834,-0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":0.5300593843318337,""N15_M01_F10"":0.48823494349163954,""N15_M07_F04"":0.3463829573840794,""N15_M07_F10"":0.43161514961143244}","{""N09_M07_F10"":0.42207770336533473,""N15_M01_F10"":0.43394357868942096,""N15_M07_F04"":0.48330305146217645,""N15_M07_F10"":0.45489242840251753}",interpolatable
OR,band_3_1000_1500_frac_median,0.037786369749272665,0.05794680641640251,0.01257499368976975,0.21700926189425415,-0.7745966692414834,0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.07894577506738842,""N15_M01_F10"":0.04115940531811576,""N15_M07_F04"":0.057078245859043836,""N15_M07_F10"":0.0588153669737612}","{""N09_M07_F10"":0.05235101951765536,""N15_M01_F10"":0.06205691454401889,""N15_M07_F04"":0.05964018073473183,""N15_M07_F10"":0.059061142081516006}",weak
OR,band_4_1500_2000_frac_median,0.031470299026640246,0.026758053122770915,0.01303577010259161,0.48717184476366443,0.2581988897471611,0.7745966692414834,-0.7745966692414834,"{""N09_M07_F10"":0.02319983355485142,""N15_M01_F10"":0.02035580992816948,""N15_M07_F04"":0.05182610895480973,""N15_M07_F10"":0.030316272690690406}","{""N09_M07_F10"":0.03416605583753339,""N15_M01_F10"":0.032852898229259395,""N15_M07_F04"":0.024623983916801637,""N15_M07_F10"":0.03179391747927687}",weak
OR,band_5_2000_2500_frac_median,0.015927322453561144,0.012197486329301354,0.006858036462634782,0.5622499814242747,0.7745966692414834,0.2581988897471611,-0.7745966692414834,"{""N09_M07_F10"":0.009909987491607226,""N15_M01_F10"":0.01088958383925684,""N15_M07_F04"":0.02583730994516837,""N15_M07_F10"":0.013505388819345869}","{""N09_M07_F10"":0.016744087453989302,""N15_M01_F10"":0.015045072539632467,""N15_M07_F04"":0.011434991030051887,""N15_M07_F10"":0.015545627092010812}",not_predictable
OR,band_6_2500_3000_frac_median,0.0841501044574558,0.0299533543392906,0.03753943097228872,1.253263008403503,-0.2581988897471611,0.2581988897471611,-0.7745966692414834,"{""N09_M07_F10"":0.03094173896285898,""N15_M01_F10"":0.02896496971572222,""N15_M07_F04"":0.11090482396285602,""N15_M07_F10"":0.026754719505400218}","{""N09_M07_F10"":0.05554144442250343,""N15_M01_F10"":0.0423228444260997,""N15_M07_F04"":0.028887138285468572,""N15_M07_F10"":0.05693717754714574}",not_predictable
OR,band_7_3000_4000_frac_median,0.22389903045323717,0.3194542892169556,0.09008266864738591,0.28198922878110044,0.7745966692414834,0.2581988897471611,-0.2581988897471611,"{""N09_M07_F10"":0.1352302632275726,""N15_M01_F10"":0.31132866143265714,""N15_M07_F04"":0.32757991700125405,""N15_M07_F10"":0.35912929368080976}","{""N09_M07_F10"":0.33267934580879277,""N15_M01_F10"":0.3141102514390962,""N15_M07_F04"":0.26856292812635146,""N15_M07_F10"":0.25804628055382794}",weak
OR,cur1_crest_median,0.07202373240726145,1.4754802346509628,0.03491966004934255,0.023666640344781994,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":1.472816765222858,""N15_M01_F10"":1.5448404976301195,""N15_M07_F04"":1.4746335976768326,""N15_M07_F10"":1.4763268716250928}","{""N09_M07_F10"":1.4986002759079011,""N15_M01_F10"":1.4754098520107295,""N15_M07_F04"":1.4979946663515924,""N15_M07_F10"":1.49743028684327}",interpolatable
OR,cur1_kurtosis_median,0.008953817671128128,1.4995175253659556,0.004006403577063222,0.002671795100282534,-0.7745966692414834,-0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":1.5061293504900886,""N15_M01_F10"":1.5006636415644767,""N15_M07_F04"":1.4971755328189604,""N15_M07_F10"":1.4983714091674347}","{""N09_M07_F10"":1.4987368604222697,""N15_M01_F10"":1.4995278770569052,""N15_M07_F04"":1.5017214600947493,""N15_M07_F10"":1.5013228416245084}",interpolatable
OR,cur1_peak_median,1.2443593740463257,2.519190490245819,0.6059095550180355,0.24051756203583918,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":2.479266881942749,""N15_M01_F10"":1.338687777519226,""N15_M07_F04"":2.559114098548889,""N15_M07_F10"":2.5830471515655518}","{""N09_M07_F10"":2.160283889965264,""N15_M01_F10"":2.5605395480487805,""N15_M07_F04"":2.1336682065457175,""N15_M07_F10"":2.125689586003621}",weak
OR,cur1_rms_median,0.8682308789405377,1.7102405140933934,0.4269747739669214,0.24965773553377263,0.2581988897471611,0.7745966692414834,-0.7745966692414834,"{""N09_M07_F10"":1.6853332380120716,""N15_M01_F10"":0.8690488375272194,""N15_M07_F04"":1.7372797164677571,""N15_M07_F10"":1.7351477901747152}","{""N09_M07_F10"":1.4471593813638732,""N15_M01_F10"":1.726744425392317,""N15_M07_F04"":1.4298439246190668,""N15_M07_F10"":1.4305539306690158}",weak
OR,cur1_skewness_median,0.007643902602247269,0.003185262870426305,0.003986576575978357,1.2515690970878137,-0.7745966692414834,0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.001830492454613968,""N15_M01_F10"":-0.005813410147633301,""N15_M07_F04"":-0.004540033286238643,""N15_M07_F10"":-0.0004398103898794885}","{""N09_M07_F10"":-0.0035977446955745775,""N15_M01_F10"":-0.0007623070107766984,""N15_M07_F04"":-0.0014742405392435343,""N15_M07_F10"":-0.002840983659752659}",not_predictable
OR,cur1_std_median,0.8695033480663601,1.7089649360541252,0.42714020252802554,0.24994088147531626,0.2581988897471611,0.7745966692414834,-0.7745966692414834,"{""N09_M07_F10"":1.6845964954458912,""N15_M01_F10"":0.8675939480952468,""N15_M07_F04"":1.737097296161607,""N15_M07_F10"":1.7333333766623595}","{""N09_M07_F10"":1.446008805564056,""N15_M01_F10"":1.725407550519979,""N15_M07_F04"":1.4285085751175168,""N15_M07_F10"":1.4297625799009148}",weak
OR,cur2_crest_median,0.052098216571218714,1.4857853717978773,0.024746645090242936,0.016655598823322345,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":1.4590545761416742,""N15_M01_F10"":1.511152792712893,""N15_M07_F04"":1.470425060553267,""N15_M07_F10"":1.5011456830424876}","{""N09_M07_F10"":1.4942411931538582,""N15_M01_F10"":1.4883136816301705,""N15_M07_F04"":1.490451039579456,""N15_M07_F10"":1.4802108098026112}",interpolatable
OR,cur2_kurtosis_median,0.0024985532309749203,1.5045257961959488,0.001199680041896689,0.000797380839151558,-0.7745966692414834,0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":1.50623487552922,""N15_M01_F10"":1.5039850850146084,""N15_M07_F04"":1.5037363222982452,""N15_M07_F10"":1.5050665073772893}","{""N09_M07_F10"":1.5042626399047663,""N15_M01_F10"":1.5050379895127275,""N15_M07_F04"":1.5050954892466606,""N15_M07_F10"":1.504652094280691}",interpolatable
OR,cur2_peak_median,1.3068482279777527,2.5840765237808228,0.6376031877412622,0.24674315248533094,0.2581988897471611,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":2.535229206085205,""N15_M01_F10"":1.339321792125702,""N15_M07_F04"":2.6329238414764404,""N15_M07_F10"":2.6461700201034546}","{""N09_M07_F10"":2.20613946796265,""N15_M01_F10"":2.624283880626131,""N15_M07_F04"":2.173574657342048,""N15_M07_F10"":2.1691582798957825}",weak
OR,cur2_rms_median,0.8786171858743745,1.7257471095704338,0.4307616624847155,0.24960879847087755,0.2581988897471611,0.7745966692414834,-0.7745966692414834,"{""N09_M07_F10"":1.7018837873452348,""N15_M01_F10"":0.8776131271788516,""N15_M07_F04"":1.7562303130532262,""N15_M07_F10"":1.7496104317956327}","{""N09_M07_F10"":1.4611518916293167,""N15_M01_F10"":1.7423659665458064,""N15_M07_F04"":1.4430364208004325,""N15_M07_F10"":1.4452424091924374}",weak
OR,cur2_skewness_median,0.01010468592205245,0.005082369061595121,0.004078687544546596,0.8025169944002388,0.2581988897471611,-0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":0.004570226547960264,""N15_M01_F10"":0.010488958200763215,""N15_M07_F04"":0.005594511575229979,""N15_M07_F10"":0.0003842722787107647}","{""N09_M07_F10"":0.0054892367162586615,""N15_M01_F10"":0.0020402138435714973,""N15_M07_F04"":0.005147809085140764,""N15_M07_F10"":0.006884565441317819}",not_predictable
OR,cur2_std_median,0.8714188635491836,1.721111287464788,0.4283013759944322,0.24885164551158978,0.2581988897471611,0.7745966692414834,-0.7745966692414834,"{""N09_M07_F10"":1.6961609659987675,""N15_M01_F10"":0.8774628542756137,""N15_M07_F04"":1.7488817178247973,""N15_M07_F10"":1.7460616089308088}","{""N09_M07_F10"":1.457469328242445,""N15_M01_F10"":1.737764354019684,""N15_M07_F04"":1.4398957809118775,""N15_M07_F10"":1.4408351793663927}",weak
OR,env_peak_err_hz_median,0.5443201376936315,1.3608003442340788,0.25078207686100895,0.1842901333200179,1.0,-0.3333333333333333,-0.3333333333333333,"{""N09_M07_F10"":0.8164802065404473,""N15_M01_F10"":1.3608003442340788,""N15_M07_F04"":1.3608003442340788,""N15_M07_F10"":1.3608003442340788}","{""N09_M07_F10"":1.3608003442340788,""N15_M01_F10"":1.2648718882813026,""N15_M07_F04"":1.179360676334328,""N15_M07_F10"":1.1793602983362015}",interpolatable
OR,env_peak_prominence_median,28.19737872428453,31.319044483422104,13.955025230223335,0.44557634054287987,0.2581988897471611,-0.7745966692414834,0.7745966692414834,"{""N09_M07_F10"":22.29248579065074,""N15_M01_F10"":49.37575555208113,""N15_M07_F04"":21.1783768277966,""N15_M07_F10"":40.345603176193464}","{""N09_M07_F10"":36.96658555828843,""N15_M01_F10"":33.78606246260325,""N15_M07_F04"":37.33795443889039,""N15_M07_F10"":30.94887272350949}",weak
OR,ir_resonance_3000_3600_frac_median,0.20528585047966136,0.27885738402721827,0.07906613453256398,0.28353609788063955,0.7745966692414834,0.2581988897471611,-0.2581988897471611,"{""N09_M07_F10"":0.1153319786957337,""N15_M01_F10"":0.2776860309357272,""N15_M07_F04"":0.2800287371187094,""N15_M07_F10"":0.32061782917539505}","{""N09_M07_F10"":0.29277759041025997,""N15_M01_F10"":0.2772859699226242,""N15_M07_F04"":0.23787878530808776,""N15_M07_F10"":0.22434891558339007}",weak
OR,mod_depth_fr_median,3.731152946831269,6.281170115530922,1.3982646873984879,0.2226121346309175,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":4.091825150326375,""N15_M01_F10"":7.822978097157645,""N15_M07_F04"":5.8429170179027015,""N15_M07_F10"":6.719423213159143}","{""N09_M07_F10"":6.795105951734618,""N15_M01_F10"":6.101876134338329,""N15_M07_F04"":6.2114098785721925,""N15_M07_F10"":5.9192400884622405}",weak
OR,or_resonance_600_1200_frac_median,0.1554004243008439,0.41551724642347715,0.06583112752147201,0.1584317572566443,0.2581988897471611,-0.7745966692414834,0.7745966692414834,"{""N09_M07_F10"":0.4058302857669105,""N15_M01_F10"":0.43124347917205874,""N15_M07_F04"":0.27584305487121485,""N15_M07_F10"":0.4252042070800438}","{""N09_M07_F10"":0.37743034656967067,""N15_M01_F10"":0.3954671204886407,""N15_M07_F04"":0.42075933326646253,""N15_M07_F10"":0.3709722732700613}",interpolatable
OR,vib_crest_median,1.0536947541556163,4.110614457514399,0.46184704110916486,0.11235474547236463,-0.7745966692414834,0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":5.057900778241937,""N15_M01_F10"":4.00420602408632,""N15_M07_F04"":4.045487305347507,""N15_M07_F10"":4.175741609681291}","{""N09_M07_F10"":4.07514518928026,""N15_M01_F10"":4.308253834847691,""N15_M07_F04"":4.412615643850488,""N15_M07_F10"":4.369198035891921}",interpolatable
OR,vib_kurtosis_median,2.569155641859087,4.226431011210623,1.170004348503347,0.27683034347411073,-0.7745966692414834,0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":6.728053219908114,""N15_M01_F10"":4.181418071407806,""N15_M07_F04"":4.158897578049027,""N15_M07_F10"":4.271443951013442}","{""N09_M07_F10"":4.203920007497867,""N15_M01_F10"":4.6845507216274385,""N15_M07_F04"":5.060303437324329,""N15_M07_F10"":5.022789623121648}",weak
