class,feature,range,median_abs,loo_idw_mae,loo_idw_rel_mae,spearman_rpm,spearman_torque_nm,spearman_radial_load_n,values_by_condition_json,loo_pred_by_condition_json,predictability
healthy,band_0_0_250_frac_median,0.021872569199912272,0.03139129809558373,0.009352763627092074,0.2979412829095437,-0.7745966692414834,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":0.050926802862042944,""N15_M01_F10"":0.029054233662130672,""N15_M07_F04"":0.03170744146235555,""N15_M07_F10"":0.031075154728811914}","{""N09_M07_F10"":0.030612277582090425,""N15_M01_F10"":0.03468514838426053,""N15_M07_F04"":0.037018718035277,""N15_M07_F10"":0.037229492662176386}",weak
healthy,band_1_250_500_frac_median,0.020906398289689855,0.03326938716235701,0.009184714789702052,0.2760710542879528,-0.7745966692414834,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":0.052743497061636155,""N15_M01_F10"":0.0318370987719463,""N15_M07_F04"":0.03349188742204956,""N15_M07_F10"":0.033046886902664455}","{""N09_M07_F10"":0.03279195822998651,""N15_M01_F10"":0.036596550931196535,""N15_M07_F04"":0.03920914807407834,""N15_M07_F10"":0.039357494418544005}",weak
healthy,band_2_500_1000_frac_median,0.04792071757406552,0.07465938376573245,0.020826429408243797,0.27895260257323296,-0.7745966692414834,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":0.11922485614174977,""N15_M01_F10"":0.07130413856768425,""N15_M07_F04"":0.07691038357780383,""N15_M07_F10"":0.07240838395366106}","{""N09_M07_F10"":0.07354096634017712,""N15_M01_F10"":0.0814525133582106,""N15_M07_F04"":0.08764576114326181,""N15_M07_F10"":0.08914645942907927}",weak
healthy,band_3_1000_1500_frac_median,0.0807935625093214,0.21500670540878922,0.030371369404280077,0.1412577777348579,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.1543704092867954,""N15_M01_F10"":0.2351639717961168,""N15_M07_F04"":0.20715721646983068,""N15_M07_F10"":0.22285619434774775}","{""N09_M07_F10"":0.22172579655955313,""N15_M01_F10"":0.20801986226256297,""N15_M07_F04"":0.20413023082252205,""N15_M07_F10"":0.19889719918424764}",interpolatable
healthy,band_4_1500_2000_frac_median,0.038161144167625546,0.0850570517098924,0.016651594485769732,0.19576971163270793,-0.7745966692414834,0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":0.11944632097239738,""N15_M01_F10"":0.08466489763172284,""N15_M07_F04"":0.08128517680477183,""N15_M07_F10"":0.08544920578806196}","{""N09_M07_F10"":0.08379976351117954,""N15_M01_F10"":0.09070685050372215,""N15_M07_F04"":0.09652011839973157,""N15_M07_F10"":0.09513213180296401}",interpolatable
healthy,band_5_2000_2500_frac_median,0.03204651802497946,0.08048067632086217,0.013752674568922665,0.1708816972899471,-0.7745966692414834,0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":0.10977764175279492,""N15_M01_F10"":0.07773112372781546,""N15_M07_F04"":0.08220731570486157,""N15_M07_F10"":0.07875403693686275}","{""N09_M07_F10"":0.07956415710210153,""N15_M01_F10"":0.08483008296059377,""N15_M07_F04"":0.08875424663878598,""N15_M07_F10"":0.08990536039515731}",interpolatable
healthy,band_6_2500_3000_frac_median,0.052651922506029625,0.10245969262521122,0.022835519813595186,0.22287320241046094,-0.2581988897471611,0.7745966692414834,-0.7745966692414834,"{""N09_M07_F10"":0.11474051494706208,""N15_M01_F10"":0.08686434941589355,""N15_M07_F04"":0.13951627192192317,""N15_M07_F10"":0.09017887030336036}","{""N09_M07_F10"":0.1055197985868917,""N15_M01_F10"":0.10320249539714998,""N15_M07_F04"":0.09726123013390182,""N15_M07_F10"":0.11370704542829294}",weak
healthy,band_7_3000_4000_frac_median,0.07106934384842811,0.2973291429591948,0.028107060902309897,0.09453180614075478,0.7745966692414834,-0.7745966692414834,0.2581988897471611,"{""N09_M07_F10"":0.2408679793439945,""N15_M01_F10"":0.3119373231924226,""N15_M07_F04"":0.2944373192536399,""N15_M07_F10"":0.30022096666474973}","{""N09_M07_F10"":0.30219853225035537,""N15_M01_F10"":0.28874158833003766,""N15_M07_F04"":0.2843421228145436,""N15_M07_F10"":0.2824142072633523}",interpolatable
healthy,cur1_crest_median,0.058699620368701355,1.461414387193875,0.027711436130452072,0.01896206604592352,0.7745966692414834,-0.7745966692414834,-0.2581988897471611,"{""N09_M07_F10"":1.4569931955952222,""N15_M01_F10"":1.5156928159639236,""N15_M07_F04"":1.4614908972694471,""N15_M07_F10"":1.4613378771183028}","{""N09_M07_F10"":1.479507158931339,""N15_M01_F10"":1.4605991581633317,""N15_M07_F04"":1.4780079281633185,""N15_M07_F10"":1.478058969609531}",interpolatable
healthy,cur1_kurtosis_median,0.007995517865000856,1.499566582377109,0.004065347736517677,0.0027110151588404883,-0.7745966692414834,-0.2581988897471611,0.7745966692414834,"{""N09_M07_F10"":1.5053308535914,""N15_M01_F10"":1.5012592719352664,""N15_M07_F04"":1.4973353357263992,""N15_M07_F10"":1.4978738928189512}","{""N09_M07_F10"":1.4988228315165895,""N15_M01_F10"":1.4990931601888535,""N15_M07_F04"":1.5014879985858425,""N15_M07_F10"":1.5013084870843552}",interpolatable
