dataset,method,class,metric,metric_label,method_distance,rule_distance,log2_ratio,n_pool,status
cwru,llm,IR,rms_w1,RMS-W1,0.2099488305,0.2058929351,0.028143424845910443,20,available
cwru,llm,IR,kurtosis_w1,Kurtosis-W1,5.353971905,5.929172549,-0.1472212137691388,20,available
cwru,llm,IR,psd_w1_mean,PSD-W1,82.11023001,74.13706047,0.14736706323738658,20,available
cwru,llm,IR,band_energy_relative_error_mean,Band error,0.1851035273,0.1678199176,0.14141843593016598,20,available
cwru,llm,IR,envelope_frequency_alignment_error_hz,Fault align.,2.256165583,2.06373075,0.12861819485688478,20,available
cwru,llm,B,rms_w1,RMS-W1,0.4840151945,0.4830539932,0.002867883338837595,20,available
cwru,llm,B,kurtosis_w1,Kurtosis-W1,3.881218851,4.208418541,-0.11676840758277425,20,available
cwru,llm,B,psd_w1_mean,PSD-W1,75.17643539,49.60466558,0.5998046892683383,20,available
cwru,llm,B,band_energy_relative_error_mean,Band error,0.2461940344,0.2675069167,-0.11978039066262432,20,available
cwru,llm,B,envelope_frequency_alignment_error_hz,Fault align.,0.4657666667,0.4657666667,0.0,20,available
cwru,llm,OR,rms_w1,RMS-W1,0.1936679443,0.1866419371,0.05331199463693929,20,available
cwru,llm,OR,kurtosis_w1,Kurtosis-W1,7.865027948,6.69426344,0.2325265655379711,20,available
cwru,llm,OR,psd_w1_mean,PSD-W1,128.5175634,123.9747351,0.051919391016149445,20,available
cwru,llm,OR,band_energy_relative_error_mean,Band error,0.4166961611,0.4187605092,-0.007129587765766332,20,available
cwru,llm,OR,envelope_frequency_alignment_error_hz,Fault align.,2.054948167,2.054948167,0.0,20,available
cwru,noise_aug,healthy,rms_w1,RMS-W1,0.002771292613,0.001548408371,0.8397730367206107,20,available
cwru,noise_aug,healthy,kurtosis_w1,Kurtosis-W1,0.04275556113,0.03629177708,0.2364693784288969,20,available
cwru,noise_aug,healthy,psd_w1_mean,PSD-W1,160.7075288,28.35906868,2.502555457790805,20,available
cwru,noise_aug,healthy,band_energy_relative_error_mean,Band error,33.34606467,0.07639795563,8.769766763714102,20,available
cwru,noise_aug,healthy,envelope_frequency_alignment_error_hz,Fault align.,,,,20,NA: metric unavailable
cwru,noise_aug,IR,rms_w1,RMS-W1,0.03968636463,0.2058929351,-2.3751790079156145,20,available
cwru,noise_aug,IR,kurtosis_w1,Kurtosis-W1,0.8356825353,5.929172549,-2.826803891415509,20,available
cwru,noise_aug,IR,psd_w1_mean,PSD-W1,272.7602548,74.13706047,1.8793666190571894,20,available
cwru,noise_aug,IR,band_energy_relative_error_mean,Band error,0.233335675,0.1678199176,0.4754929484578363,20,available
cwru,noise_aug,IR,envelope_frequency_alignment_error_hz,Fault align.,2.846419583,2.06373075,0.4638935832300462,20,available
cwru,noise_aug,B,rms_w1,RMS-W1,0.1134450147,0.4830539932,-2.0901912431407683,20,available
cwru,noise_aug,B,kurtosis_w1,Kurtosis-W1,0.8769931353,4.208418541,-2.2626407374381223,20,available
cwru,noise_aug,B,psd_w1_mean,PSD-W1,225.5563898,49.60466558,2.1849404316554857,20,available
cwru,noise_aug,B,band_energy_relative_error_mean,Band error,0.6486714482,0.2675069167,1.2779117442801962,20,available
cwru,noise_aug,B,envelope_frequency_alignment_error_hz,Fault align.,4.96696,0.4657666667,3.4146838287969854,20,available
cwru,noise_aug,OR,rms_w1,RMS-W1,0.04757148472,0.1866419371,-1.9721042277549554,20,available
cwru,noise_aug,OR,kurtosis_w1,Kurtosis-W1,1.516463301,6.69426344,-2.142214742054764,20,available
cwru,noise_aug,OR,psd_w1_mean,PSD-W1,317.9183519,123.9747351,1.3586101560262642,20,available
cwru,noise_aug,OR,band_energy_relative_error_mean,Band error,0.347514117,0.4187605092,-0.26905381138619644,20,available
cwru,noise_aug,OR,envelope_frequency_alignment_error_hz,Fault align.,3.554850417,2.054948167,0.7906868500495248,20,available
berkeley,llm,healthy,rms_w1,RMS-W1,0.3761197437,0.366441503,0.037609128253354086,20,available
berkeley,llm,healthy,kurtosis_w1,Kurtosis-W1,,,,20,NA: metric unavailable
berkeley,llm,healthy,psd_w1_mean,PSD-W1,1.851000805,3.245105695,-0.809959945778681,20,available
berkeley,llm,healthy,band_energy_relative_error_mean,Band error,0.2041530803,0.2512796798,-0.2996426743292104,20,available
berkeley,llm,healthy,envelope_frequency_alignment_error_hz,Fault align.,,,,20,NA: metric unavailable
