experiment,stage,active_stage,quadrant,tool_condition,passed_visual_inspection,feedrate,clamp_pressure,windows
17,End,False,clean_unworn,unworn,yes,3.0,2.5,4
18,Prep,False,ambiguous_worn_pass,worn,yes,3.0,2.5,1
18,Layer 1 Up,True,ambiguous_worn_pass,worn,yes,3.0,2.5,5
18,Layer 1 Down,True,ambiguous_worn_pass,worn,yes,3.0,2.5,2
18,Repositioning,False,ambiguous_worn_pass,worn,yes,3.0,2.5,3
18,Layer 2 Up,True,ambiguous_worn_pass,worn,yes,3.0,2.5,4
18,Layer 2 Down,True,ambiguous_worn_pass,worn,yes,3.0,2.5,3
18,Layer 3 Up,True,ambiguous_worn_pass,worn,yes,3.0,2.5,5
18,Layer 3 Down,True,ambiguous_worn_pass,worn,yes,3.0,2.5,5
18,End,False,ambiguous_worn_pass,worn,yes,3.0,2.5,3
