method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
noise_aug,sharp,ch4_crest,1.4050384,1.370865,-0.034173432,-0.187369,-0.024322,0.607843
noise_aug,sharp,ch4_kurtosis,3.2329399,3.1463535,-0.086586359,-0.138624,-0.026783,0.958824
noise_aug,sharp,ch4_rms,0.15004914,0.15212855,0.0020794094,0.055861,0.013858,0.413725
noise_aug,sharp,ch4_skewness,0.44215962,0.46793678,0.025777154,0.075899,0.058298,0.708145
noise_aug,sharp,ch4_tooth_rms_cv,0.084090059,0.08182156,-0.0022684992,-0.055765,-0.026977,0.702866
noise_aug,sharp,ch4_tpf_amp_ratio,0.060780213,0.065473607,0.0046933934,0.117317,0.077219,0.237255
noise_aug,sharp,ch5_band0_frac,0.03111954,0.032512946,0.0013934057,0.051422,0.044776,0.437707
noise_aug,sharp,ch5_band1_frac,0.20696726,0.21487667,0.0079094103,0.043301,0.038216,0.437255
noise_aug,sharp,ch5_band2_frac,0.3932928,0.31010246,-0.083190346,-0.546149,-0.211523,0.337255
noise_aug,sharp,ch5_band3_frac,0.13135991,0.14424853,0.012888623,0.273373,0.098117,0.356863
noise_aug,sharp,ch5_band4_frac,0.079568349,0.071926213,-0.0076421353,-0.171143,-0.096045,0.526848
noise_aug,sharp,ch5_band5_frac,0.050727751,0.058699528,0.0079717777,0.157748,0.157148,0.440121
noise_aug,sharp,ch5_crest,1.4357989,1.401667,-0.034131896,-0.208816,-0.023772,0.640573
noise_aug,sharp,ch5_kurtosis,2.9488381,3.0262734,0.077435377,0.164529,0.026260,0.690498
noise_aug,sharp,ch5_rms,0.19132361,0.18621923,-0.0051043771,-0.139305,-0.026679,0.462745
noise_aug,sharp,ch5_skewness,0.38125467,0.34076299,-0.04049168,-0.139399,-0.106206,0.573454
noise_aug,sharp,ch5_tooth_rms_cv,0.10203803,0.10612073,0.0040827026,0.080901,0.040012,0.553846
noise_aug,sharp,ch5_tpf_amp_ratio,0.055496024,0.062930674,0.0074346505,0.245323,0.133967,0.466667
noise_aug,sharp,energy_frac_ch0,0.058475151,0.058305051,-0.00017009944,-0.095598,-0.002909,0.457768
noise_aug,sharp,energy_frac_ch1,0.8836246,0.89690246,0.013277861,0.391394,0.015027,0.401961
noise_aug,sharp,energy_frac_ch2,0.04113655,0.036665909,-0.0044706409,-0.130622,-0.108678,0.474962
noise_aug,sharp,energy_frac_ch3,0.0048482995,0.0041306812,-0.00071761825,-0.265142,-0.148014,0.574811
noise_aug,sharp,energy_frac_ch4,0.0010649405,0.0010829713,1.8030816e-05,0.040610,0.016931,0.708597
noise_aug,sharp,energy_frac_ch5,0.0018104221,0.0015061782,-0.00030424394,-0.269444,-0.168051,0.475867
noise_aug,sharp,high_band_frac,0.011751773,0.013323842,0.0015720685,0.278444,0.133773,0.559276
noise_aug,sharp,total_rms,1.8646022,1.9596955,0.095093282,0.138181,0.050999,0.376471
noise_aug,worn,ch0_band0_frac,0.0046332941,0.002924983,-0.0017083111,-0.603064,-0.368703,0.480037
noise_aug,worn,ch0_band1_frac,0.98208213,0.98505807,0.0029759459,0.485093,0.003030,0.315677
noise_aug,worn,ch0_band2_frac,0.002728005,0.0024691956,-0.00025880942,-0.170299,-0.094871,0.512776
noise_aug,worn,ch0_band3_frac,0.0026568001,0.0035810273,0.00092422717,0.776233,0.347872,0.346819
noise_aug,worn,ch0_band4_frac,0.0030907785,0.0035691963,0.00047841783,0.367090,0.154789,0.428001
noise_aug,worn,ch0_band5_frac,0.0031478864,0.0023845648,-0.00076332163,-0.561434,-0.242487,0.541389
noise_aug,worn,ch0_crest,1.8972932,1.8019394,-0.09535375,-0.545540,-0.050258,0.665025
noise_aug,worn,ch0_kurtosis,1.5981081,1.5823165,-0.015791653,-0.315386,-0.009881,0.520761
noise_aug,worn,ch0_rms,1.6641238,2.5072046,0.84308083,0.980109,0.506621,0.261246
noise_aug,worn,ch0_skewness,-0.011776697,-0.007873982,0.0039027147,0.196906,0.331393,0.370242
noise_aug,worn,ch0_tooth_rms_cv,0.39760559,0.37715888,-0.020446708,-0.703703,-0.051425,0.334709
noise_aug,worn,ch0_tpf_amp_ratio,0.0030529902,0.002547613,-0.0005053772,-0.357501,-0.165535,0.595023
noise_aug,worn,ch1_band0_frac,0.65669002,0.30134873,-0.35534129,-0.552757,-0.541110,0.119377
noise_aug,worn,ch1_band1_frac,0.022030967,0.064211105,0.042180137,0.507161,1.914584,0.477242
noise_aug,worn,ch1_band2_frac,0.083980745,0.16035375,0.076373003,0.488015,0.909411,0.183391
noise_aug,worn,ch1_band3_frac,0.00017600102,0.10776161,0.10758561,400.906856,611.278345,0.249800
noise_aug,worn,ch1_band4_frac,6.3335488e-05,0.14722423,0.14716089,1051.067301,2323.513898,0.006920
noise_aug,worn,ch1_band5_frac,4.343938e-05,0.11776075,0.11771731,1302.146136,2709.921525,0.001730
noise_aug,worn,ch1_crest,1.0387061,1.054529,0.015822889,0.375682,0.015233,0.711605
noise_aug,worn,ch1_kurtosis,2.371822,2.7187248,0.34690283,0.468857,0.146260,0.970588
noise_aug,worn,ch1_rms,6.5480722,9.7028668,3.1547946,0.935760,0.481790,0.298376
noise_aug,worn,ch1_skewness,-0.031065346,-0.051093356,-0.02002801,-0.112706,-0.644706,0.874767
noise_aug,worn,ch1_tooth_rms_cv,0.017993949,0.020051492,0.0020575433,0.087750,0.114346,0.778281
noise_aug,worn,ch1_tpf_amp_ratio,0.00058047516,0.026897283,0.026316808,24.873104,45.336664,0.055363
noise_aug,worn,ch2_band0_frac,0.016298047,0.017061216,0.0007631681,0.039914,0.046826,0.764972
noise_aug,worn,ch2_band1_frac,0.16039355,0.19817407,0.037780527,0.231535,0.235549,0.499068
noise_aug,worn,ch2_band2_frac,0.29373118,0.43330494,0.13957376,0.682356,0.475175,0.292388
noise_aug,worn,ch2_band3_frac,0.10298489,0.085921647,-0.017063239,-0.241203,-0.165687,0.402183
noise_aug,worn,ch2_band4_frac,0.23902639,0.30507672,0.06605033,0.269448,0.276331,0.291456
noise_aug,worn,ch2_band5_frac,0.013238743,0.012888604,-0.00035013879,-0.047254,-0.026448,0.802635
noise_aug,worn,ch2_crest,1.374628,1.3749452,0.00031723054,0.001477,0.000231,0.558690
noise_aug,worn,ch2_kurtosis,2.6675527,2.5489373,-0.11861538,-0.266966,-0.044466,0.602076
noise_aug,worn,ch2_rms,0.82795875,1.0186553,0.19069659,0.522177,0.230321,0.361592
noise_aug,worn,ch2_skewness,0.018945702,0.12739982,0.10845412,0.256502,5.724471,0.736758
noise_aug,worn,ch2_tooth_rms_cv,0.11990188,0.12623285,0.0063309674,0.089307,0.052801,0.470322
noise_aug,worn,ch2_tpf_amp_ratio,0.10006333,0.084010294,-0.016053033,-0.198692,-0.160429,0.262976
noise_aug,worn,ch3_band0_frac,0.33678739,0.3188905,-0.017896899,-0.079947,-0.053140,0.245675
noise_aug,worn,ch3_band1_frac,0.14046564,0.15716987,0.01670423,0.276984,0.118920,0.302768
noise_aug,worn,ch3_band2_frac,0.1506968,0.14288852,-0.0078082782,-0.097144,-0.051814,0.447831
noise_aug,worn,ch3_band3_frac,0.10901849,0.10246738,-0.0065511128,-0.163403,-0.060092,0.408171
noise_aug,worn,ch3_band4_frac,0.093754223,0.083754325,-0.0099998976,-0.144255,-0.106661,0.483364
noise_aug,worn,ch3_band5_frac,0.085251241,0.085063799,-0.00018744266,-0.005351,-0.002199,0.376231
noise_aug,worn,ch3_crest,1.1803263,1.1795825,-0.00074376209,-0.013910,-0.000630,0.862257
noise_aug,worn,ch3_kurtosis,3.8505793,3.7099158,-0.14066349,-0.097965,-0.036530,0.885813
noise_aug,worn,ch3_rms,0.29155255,0.28816107,-0.0033914772,-0.078715,-0.011632,0.298376
noise_aug,worn,ch3_skewness,0.6679819,0.79238901,0.1244071,0.213115,0.186243,0.505057
noise_aug,worn,ch3_tooth_rms_cv,0.035931304,0.043852464,0.00792116,0.754267,0.220453,0.668219
noise_aug,worn,ch3_tpf_amp_ratio,0.033182067,0.032935217,-0.0002468505,-0.010866,-0.007439,0.359862
noise_aug,worn,ch4_band0_frac,0.082662115,0.10802465,0.025362539,0.414115,0.306822,0.342561
noise_aug,worn,ch4_band1_frac,0.18353008,0.16862493,-0.014905153,-0.127879,-0.081214,0.403114
noise_aug,worn,ch4_band2_frac,0.19056329,0.19970454,0.0091412491,0.092723,0.047970,0.318339
noise_aug,worn,ch4_band3_frac,0.13366667,0.12352219,-0.010144489,-0.181609,-0.075894,0.344291
noise_aug,worn,ch4_band4_frac,0.23987085,0.2804124,0.040541557,0.320145,0.169014,0.299308
noise_aug,worn,ch4_band5_frac,0.043851473,0.039224507,-0.0046269663,-0.246521,-0.105515,0.541522
noise_aug,worn,ch4_crest,1.4638833,1.5084172,0.044533875,0.345709,0.030422,0.415225
noise_aug,worn,ch4_kurtosis,3.1549548,3.1444768,-0.010478015,-0.021173,-0.003321,0.854671
noise_aug,worn,ch4_rms,0.22213867,0.25037402,0.028235346,0.423172,0.127107,0.457546
noise_aug,worn,ch4_skewness,0.45879358,0.61868776,0.15989418,0.680258,0.348510,0.573463
noise_aug,worn,ch4_tooth_rms_cv,0.092819776,0.084008085,-0.0088116919,-0.333730,-0.094933,0.454884
noise_aug,worn,ch4_tpf_amp_ratio,0.09969216,0.072031404,-0.027660756,-0.424547,-0.277462,0.216263
noise_aug,worn,ch5_band0_frac,0.10096725,0.12343036,0.02246311,0.220465,0.222479,0.368512
noise_aug,worn,ch5_band1_frac,0.15848011,0.13258396,-0.025896147,-0.232648,-0.163403,0.385813
noise_aug,worn,ch5_band2_frac,0.20902555,0.21269882,0.0036732732,0.024040,0.017573,0.335640
noise_aug,worn,ch5_band3_frac,0.12866466,0.12508431,-0.0035803458,-0.066709,-0.027827,0.534602
noise_aug,worn,ch5_band4_frac,0.19493272,0.23852094,0.043588217,0.300383,0.223606,0.282805
noise_aug,worn,ch5_band5_frac,0.038745999,0.039199067,0.00045306753,0.018043,0.011693,0.534602
noise_aug,worn,ch5_crest,1.4391154,1.3492996,-0.089815799,-0.593359,-0.062410,0.480969
noise_aug,worn,ch5_kurtosis,3.0646275,2.7610124,-0.30361507,-0.636730,-0.099071,0.633750
noise_aug,worn,ch5_rms,0.27141423,0.28869158,0.017277358,0.213932,0.063657,0.418685
noise_aug,worn,ch5_skewness,0.46580583,0.34305575,-0.12275008,-0.498018,-0.263522,0.519031
noise_aug,worn,ch5_tooth_rms_cv,0.096988144,0.072930791,-0.024057353,-0.737304,-0.248044,0.489619
noise_aug,worn,ch5_tpf_amp_ratio,0.083804966,0.082841608,-0.00096335808,-0.017329,-0.011495,0.458478
noise_aug,worn,energy_frac_ch0,0.060060728,0.06433598,0.0042752524,0.533799,0.071182,0.361592
noise_aug,worn,energy_frac_ch1,0.91149112,0.90453208,-0.0069590352,-0.310267,-0.007635,0.385813
noise_aug,worn,energy_frac_ch2,0.01203369,0.010379183,-0.0016545079,-0.148822,-0.137490,0.543120
noise_aug,worn,energy_frac_ch3,0.0018328183,0.0014903879,-0.00034243039,-0.246272,-0.186833,0.549241
noise_aug,worn,energy_frac_ch4,0.0010050075,0.00060689311,-0.00039811434,-1.071021,-0.396131,0.533404
noise_aug,worn,energy_frac_ch5,0.0016637536,0.00082760037,-0.00083615321,-0.800819,-0.502570,0.306228
noise_aug,worn,high_band_frac,0.007603618,0.0077056086,0.00010199062,0.029016,0.013413,0.770695
noise_aug,worn,total_rms,2.7796699,4.1247786,1.3451087,0.957840,0.483910,0.338967
noise_aug,severe,ch0_band0_frac,0.0038062973,0.0044280745,0.00062177714,0.322547,0.163355,0.454545
noise_aug,severe,ch0_band1_frac,0.98379391,0.98374201,-5.1901254e-05,-0.008644,-0.000053,0.475319
noise_aug,severe,ch0_band2_frac,0.0021466928,0.0026063104,0.00045961762,0.271728,0.214105,0.285479
noise_aug,severe,ch0_band3_frac,0.0025995452,0.0028216077,0.00022206252,0.304879,0.085424,0.490745
noise_aug,severe,ch0_band4_frac,0.0031918333,0.0034295749,0.00023774154,0.215830,0.074484,0.546277
noise_aug,severe,ch0_band5_frac,0.0027958557,0.0031034599,0.00030760428,0.285641,0.110022,0.520773
noise_aug,severe,ch0_crest,1.8477867,1.8146581,-0.033128564,-0.227315,-0.017929,0.550185
noise_aug,severe,ch0_kurtosis,1.5824057,1.5816544,-0.00075130108,-0.018691,-0.000475,0.717400
noise_aug,severe,ch0_rms,1.9865755,1.7731498,-0.21342571,-0.270441,-0.107434,0.227273
noise_aug,severe,ch0_skewness,-0.0095735139,0.022567382,0.032140896,1.502206,3.357273,0.409297
noise_aug,severe,ch0_tooth_rms_cv,0.38562701,0.3847529,-0.00087410255,-0.048028,-0.002267,0.692513
noise_aug,severe,ch0_tpf_amp_ratio,0.0025885676,0.0034833256,0.00089475799,0.860664,0.345658,0.522213
noise_aug,severe,ch1_band0_frac,0.44006322,0.2471081,-0.19295512,-0.317068,-0.438471,0.147059
noise_aug,severe,ch1_band1_frac,0.017547799,0.074122182,0.056574383,0.452316,3.224016,0.205265
noise_aug,severe,ch1_band2_frac,0.1531992,0.16913478,0.015935585,0.064291,0.104019,0.226656
noise_aug,severe,ch1_band3_frac,0.00017953859,0.12683132,0.12665179,416.615663,705.429329,0.008021
noise_aug,severe,ch1_band4_frac,7.6755411e-05,0.10831693,0.10824018,831.449588,1410.196033,0.000000
noise_aug,severe,ch1_band5_frac,4.7754056e-05,0.092410787,0.092363033,1266.772589,1934.140015,0.000000
noise_aug,severe,ch1_crest,1.0278484,1.0527447,0.024896296,0.549043,0.024222,0.569107
noise_aug,severe,ch1_kurtosis,2.4190613,2.720456,0.30139464,0.489427,0.124592,0.989305
noise_aug,severe,ch1_rms,7.8392894,6.9776291,-0.86166032,-0.316890,-0.109916,0.401892
noise_aug,severe,ch1_skewness,0,-0.078740612,-0.078740612,-0.478425,-78740612472.942917,0.922871
noise_aug,severe,ch1_tooth_rms_cv,0.013223328,0.013605148,0.00038182081,0.018064,0.028875,0.687166
noise_aug,severe,ch1_tpf_amp_ratio,0.00070261043,0.023130608,0.022427998,14.759796,31.920958,0.076923
noise_aug,severe,ch2_band0_frac,0.017492668,0.012603793,-0.0048888758,-0.376226,-0.279481,0.860963
noise_aug,severe,ch2_band1_frac,0.11771534,0.12545729,0.0077419507,0.049600,0.065768,0.357672
noise_aug,severe,ch2_band2_frac,0.23737857,0.30151301,0.064134435,0.452686,0.270178,0.302139
noise_aug,severe,ch2_band3_frac,0.12718365,0.087510886,-0.039672764,-0.464644,-0.311933,0.453311
noise_aug,severe,ch2_band4_frac,0.25718348,0.18203195,-0.075151529,-0.341791,-0.292210,0.272727
noise_aug,severe,ch2_band5_frac,0.014675545,0.01518863,0.00051308488,0.056957,0.034962,0.718017
noise_aug,severe,ch2_crest,1.383765,1.448758,0.06499295,0.293641,0.046968,0.545455
noise_aug,severe,ch2_kurtosis,2.839591,2.9647057,0.12511469,0.263155,0.044061,0.814480
noise_aug,severe,ch2_rms,0.78906404,0.83023962,0.04117558,0.106308,0.052183,0.307487
noise_aug,severe,ch2_skewness,0.024741894,0.023545162,-0.0011967323,-0.002537,-0.048369,0.526944
noise_aug,severe,ch2_tooth_rms_cv,0.10083669,0.14889707,0.04806038,0.973820,0.476616,0.598313
noise_aug,severe,ch2_tpf_amp_ratio,0.10805579,0.1055035,-0.0025522841,-0.027307,-0.023620,0.243316
noise_aug,severe,ch3_band0_frac,0.4363322,0.36146511,-0.074867096,-0.647936,-0.171583,0.320856
noise_aug,severe,ch3_band1_frac,0.12724952,0.12543499,-0.0018145303,-0.039600,-0.014260,0.441176
noise_aug,severe,ch3_band2_frac,0.12502914,0.12703954,0.0020104065,0.049071,0.016080,0.514809
noise_aug,severe,ch3_band3_frac,0.10894048,0.10874602,-0.00019446556,-0.006021,-0.001785,0.387084
noise_aug,severe,ch3_band4_frac,0.083367948,0.093177734,0.0098097857,0.332678,0.117669,0.633896
