method,class,channel,band,real_frac,method_frac,delta
llm,severe,vib_table,70-100,0.287301,0.266839,-0.020462
llm,severe,vib_table,100-125,0.013189,0.043003,0.029815
llm,severe,vib_spindle,0-8,0.210732,0.499124,0.288392
llm,severe,vib_spindle,8-20,0.200274,0.137775,-0.062499
llm,severe,vib_spindle,20-40,0.204689,0.091791,-0.112898
llm,severe,vib_spindle,40-70,0.178395,0.104775,-0.073620
llm,severe,vib_spindle,70-100,0.134462,0.076051,-0.058410
llm,severe,vib_spindle,100-125,0.071450,0.090484,0.019034
llm,severe,AE_table,0-8,0.124164,0.253392,0.129228
llm,severe,AE_table,8-20,0.171550,0.140838,-0.030711
llm,severe,AE_table,20-40,0.145076,0.155743,0.010667
llm,severe,AE_table,40-70,0.101338,0.209953,0.108615
llm,severe,AE_table,70-100,0.426352,0.192992,-0.233360
llm,severe,AE_table,100-125,0.031521,0.047082,0.015562
llm,severe,AE_spindle,0-8,0.234738,0.500341,0.265603
llm,severe,AE_spindle,8-20,0.150976,0.087440,-0.063537
llm,severe,AE_spindle,20-40,0.150509,0.111324,-0.039185
llm,severe,AE_spindle,40-70,0.099786,0.080150,-0.019636
llm,severe,AE_spindle,70-100,0.334079,0.199475,-0.134604
llm,severe,AE_spindle,100-125,0.029911,0.021270,-0.008641
rule,sharp,smcAC,0-8,0.010713,0.009424,-0.001289
rule,sharp,smcAC,8-20,0.972054,0.972669,0.000614
rule,sharp,smcAC,20-40,0.007453,0.006450,-0.001003
rule,sharp,smcAC,40-70,0.003466,0.003826,0.000360
rule,sharp,smcAC,70-100,0.003211,0.003497,0.000286
rule,sharp,smcAC,100-125,0.003103,0.004134,0.001031
rule,sharp,smcDC,0-8,0.841144,0.814228,-0.026916
rule,sharp,smcDC,8-20,0.071300,0.081887,0.010587
rule,sharp,smcDC,20-40,0.056334,0.100213,0.043879
rule,sharp,smcDC,40-70,0.025449,0.002072,-0.023377
rule,sharp,smcDC,70-100,0.005436,0.000991,-0.004445
rule,sharp,smcDC,100-125,0.000338,0.000609,0.000271
rule,sharp,vib_table,0-8,0.027573,0.007093,-0.020480
rule,sharp,vib_table,8-20,0.414325,0.158830,-0.255495
rule,sharp,vib_table,20-40,0.253753,0.550278,0.296526
rule,sharp,vib_table,40-70,0.128963,0.188341,0.059378
rule,sharp,vib_table,70-100,0.165860,0.084449,-0.081412
rule,sharp,vib_table,100-125,0.009526,0.011010,0.001484
rule,sharp,vib_spindle,0-8,0.106931,0.370943,0.264012
rule,sharp,vib_spindle,8-20,0.299465,0.114125,-0.185340
rule,sharp,vib_spindle,20-40,0.143018,0.229235,0.086216
rule,sharp,vib_spindle,40-70,0.236568,0.127305,-0.109262
