baseline,n_real,metric,n,mean,std,median,min,max,n_syn_values
real_only,5,acc,20,0.65748,0.08284571328998451,0.6684,0.5166,0.7526,0
real_only,5,macro_f1,20,0.63506,0.08562444559943455,0.6472500000000001,0.4546,0.7286,0
real_only,5,f1_healthy,20,0.78489,0.07310075886999001,0.8325,0.6136,0.8368,0
real_only,5,f1_OR,20,0.5096399999999999,0.06897264446293565,0.5284,0.3416,0.5802,0
real_only,5,f1_IR,20,0.6106200000000002,0.21711217716582415,0.6898500000000001,0.0051,0.7688,0
real_only,10,acc,20,0.663515,0.08997047044798408,0.7021999999999999,0.4595,0.7495,0
real_only,10,macro_f1,20,0.631155,0.10320350093510954,0.6816,0.4199,0.7241,0
real_only,10,f1_healthy,20,0.8222549999999998,0.04081802330240637,0.8333,0.6571,0.861,0
real_only,10,f1_OR,20,0.5165799999999999,0.06899268153408127,0.55235,0.3508,0.5725,0
real_only,10,f1_IR,20,0.5546,0.28254952616637335,0.6935,0.0052,0.7688,0
real_only,25,acc,20,0.7339300000000001,0.04158837261593804,0.7484,0.6112,0.8046,0
real_only,25,macro_f1,20,0.7135100000000001,0.04734968348696525,0.7236499999999999,0.5797,0.8016,0
real_only,25,f1_healthy,20,0.84846,0.038899714516609035,0.8345,0.7662,0.9436,0
real_only,25,f1_OR,20,0.5681,0.05689910738361923,0.5694,0.4372,0.6923,0
real_only,25,f1_IR,20,0.723975,0.09660579079842717,0.7529,0.3347,0.7688,0
real_only,50,acc,20,0.787425,0.02148747187010191,0.79625,0.7391,0.8119,0
real_only,50,macro_f1,20,0.77499,0.027923483797127138,0.7767999999999999,0.7181,0.8095,0
real_only,50,f1_healthy,20,0.9532550000000001,0.04163909442111495,0.96695,0.8399,0.9967,0
real_only,50,f1_OR,20,0.6125200000000002,0.05843862817655712,0.5766,0.5492,0.7143,0
real_only,50,f1_IR,20,0.75919,0.018737182285498533,0.7631,0.7227,0.7875,0
phaseA_v2_random_open_loop,5,acc,20,0.4502050000000001,0.029145632064188496,0.4579,0.3846,0.4938,450
phaseA_v2_random_open_loop,5,macro_f1,20,0.43580499999999994,0.05289508458906376,0.45699999999999996,0.3021,0.5003,450
phaseA_v2_random_open_loop,5,f1_healthy,20,0.37726999999999994,0.13868975259075275,0.41900000000000004,0.039,0.5408,450
phaseA_v2_random_open_loop,5,f1_OR,20,0.447105,0.04221597945153744,0.4593,0.3567,0.4976,450
phaseA_v2_random_open_loop,5,f1_IR,20,0.48305,0.05236689894640657,0.4877,0.3868,0.5947,450
phaseA_v2_random_open_loop,10,acc,20,0.4834749999999999,0.012578296889149146,0.4844,0.4626,0.499,450
phaseA_v2_random_open_loop,10,macro_f1,20,0.4877649999999999,0.01466511345443937,0.482,0.4686,0.5102,450
phaseA_v2_random_open_loop,10,f1_healthy,20,0.5315899999999999,0.017969532694623903,0.5273000000000001,0.5097,0.566,450
phaseA_v2_random_open_loop,10,f1_OR,20,0.38539,0.0763150181812204,0.37545,0.2682,0.5,450
phaseA_v2_random_open_loop,10,f1_IR,20,0.546325,0.06637800741526559,0.5701,0.4112,0.654,450
phaseA_v2_random_open_loop,25,acc,20,0.52926,0.02205742266759293,0.5285500000000001,0.4865,0.5686,450
phaseA_v2_random_open_loop,25,macro_f1,20,0.52671,0.01722232027891346,0.52955,0.4931,0.5526,450
phaseA_v2_random_open_loop,25,f1_healthy,20,0.6145249999999999,0.039350902818506964,0.61385,0.5486,0.7034,450
phaseA_v2_random_open_loop,25,f1_OR,20,0.36249,0.04848647016925117,0.37665000000000004,0.2784,0.4415,450
phaseA_v2_random_open_loop,25,f1_IR,20,0.6031299999999999,0.04730824007450888,0.6104499999999999,0.526,0.6829,450
phaseA_v2_random_open_loop,50,acc,20,0.6296849999999999,0.04165649345982475,0.6387499999999999,0.5468,0.7048,450
phaseA_v2_random_open_loop,50,macro_f1,20,0.6219349999999999,0.037548050268254536,0.6272,0.5509,0.6991,450
phaseA_v2_random_open_loop,50,f1_healthy,20,0.7630149999999999,0.0540874854189707,0.76475,0.6679,0.8426,450
phaseA_v2_random_open_loop,50,f1_OR,20,0.45908499999999997,0.0666348358000923,0.4389,0.3625,0.5989,450
phaseA_v2_random_open_loop,50,f1_IR,20,0.6436849999999998,0.0435330035115525,0.6479,0.5576,0.7076,450
phaseA_v2_rule,5,acc,20,0.6961,0.05257914335351493,0.6902,0.5998,0.7827,450
phaseA_v2_rule,5,macro_f1,20,0.69055,0.04940286056068968,0.6858500000000001,0.6075,0.7712,450
phaseA_v2_rule,5,f1_healthy,20,0.8420200000000001,0.06950876960953618,0.8489,0.6855,0.939,450
phaseA_v2_rule,5,f1_OR,20,0.596425,0.08259621423081787,0.61395,0.4453,0.7309,450
phaseA_v2_rule,5,f1_IR,20,0.633215,0.11229480128098915,0.65835,0.3243,0.7967,450
phaseA_v2_rule,10,acc,20,0.7238,0.04226597486843226,0.7104999999999999,0.6435,0.8056,450
phaseA_v2_rule,10,macro_f1,20,0.72404,0.04044322075778781,0.7192000000000001,0.6565,0.8104,450
phaseA_v2_rule,10,f1_healthy,20,0.9092350000000001,0.044496969441453926,0.911,0.8371,0.9868,450
phaseA_v2_rule,10,f1_OR,20,0.63915,0.04671604593036981,0.64105,0.5323,0.7199,450
phaseA_v2_rule,10,f1_IR,20,0.62376,0.09961545747734664,0.6003000000000001,0.4551,0.7737,450
phaseA_v2_rule,25,acc,20,0.7686050000000001,0.024824128224476757,0.7697499999999999,0.7308,0.8254,450
phaseA_v2_rule,25,macro_f1,20,0.7701649999999999,0.024261975339374603,0.76665,0.7341,0.8282,450
phaseA_v2_rule,25,f1_healthy,20,0.963875,0.01779848825632465,0.96875,0.9143,0.99,450
phaseA_v2_rule,25,f1_OR,20,0.65828,0.04498823939887542,0.6589,0.5475,0.7263,450
phaseA_v2_rule,25,f1_IR,20,0.688345,0.0588678848645087,0.6873,0.5518,0.7802,450
phaseA_v2_rule,50,acc,20,0.8147449999999999,0.028122784825045155,0.8186,0.7484,0.8555,450
phaseA_v2_rule,50,macro_f1,20,0.8163549999999999,0.026240255835562828,0.8202499999999999,0.7536,0.8546,450
phaseA_v2_rule,50,f1_healthy,20,0.98519,0.01215435377918026,0.98915,0.9554,0.9967,450
phaseA_v2_rule,50,f1_OR,20,0.71779,0.03258491578694203,0.7162,0.6622,0.7916,450
phaseA_v2_rule,50,f1_IR,20,0.746085,0.06492490621763286,0.75,0.5898,0.8299,450
phaseA_v2_llm_k3,5,acc,20,0.7766550000000001,0.02734696124752593,0.77755,0.7017,0.8243,450
phaseA_v2_llm_k3,5,macro_f1,20,0.7755050000000001,0.026419699089883668,0.77185,0.7056,0.8267,450
phaseA_v2_llm_k3,5,f1_healthy,20,0.9690350000000001,0.02241034241970481,0.97515,0.9223,0.9934,450
phaseA_v2_llm_k3,5,f1_OR,20,0.63093,0.06436538870509441,0.6306,0.5412,0.7639,450
phaseA_v2_llm_k3,5,f1_IR,20,0.7265299999999999,0.054315192214178507,0.7379,0.5854,0.7771,450
phaseA_v2_llm_k3,10,acc,20,0.79605,0.03048210001054112,0.8025,0.7328,0.8389,450
phaseA_v2_llm_k3,10,macro_f1,20,0.79951,0.028563408686455374,0.80545,0.7393,0.8418,450
phaseA_v2_llm_k3,10,f1_healthy,20,0.9808549999999998,0.013965614728211647,0.9857499999999999,0.9383,0.995,450
phaseA_v2_llm_k3,10,f1_OR,20,0.680175,0.04338694777052317,0.6614,0.606,0.7508,450
phaseA_v2_llm_k3,10,f1_IR,20,0.7375200000000001,0.0556074739391634,0.74695,0.5824,0.8081,450
phaseA_v2_llm_k3,25,acc,20,0.81798,0.020814711396661637,0.81705,0.7796,0.8514,450
phaseA_v2_llm_k3,25,macro_f1,20,0.82118,0.021905889619004287,0.82075,0.7839,0.8561,450
phaseA_v2_llm_k3,25,f1_healthy,20,0.9866000000000001,0.009021786495974467,0.98845,0.9691,0.9983,450
phaseA_v2_llm_k3,25,f1_OR,20,0.71254,0.04690462214907363,0.7133499999999999,0.6163,0.7817,450
phaseA_v2_llm_k3,25,f1_IR,20,0.764405,0.03208482958461342,0.77115,0.6919,0.8111,450
phaseA_v2_llm_k3,50,acc,20,0.8548800000000002,0.026076882280550412,0.8524,0.79,0.9033,450
phaseA_v2_llm_k3,50,macro_f1,20,0.8579850000000002,0.026321679577668927,0.85585,0.792,0.9063,450
phaseA_v2_llm_k3,50,f1_healthy,20,0.9915500000000002,0.010254678008237587,0.99585,0.9677,1.0,450
phaseA_v2_llm_k3,50,f1_OR,20,0.784565,0.03587758829834111,0.77835,0.7262,0.8567,450
phaseA_v2_llm_k3,50,f1_IR,20,0.7978349999999998,0.04481539062467387,0.8029999999999999,0.682,0.8706,450
