baseline,n_real,seed,n_syn,acc,f1
real_only,10,0,0,0.6659,0.5330
noise_aug,10,0,300,0.6659,0.5389
real_only,10,1,0,0.6659,0.5330
real_only,10,2,0,0.6659,0.5330
real_only,10,3,0,0.4947,0.4344
real_only,10,4,0,0.6011,0.4993
real_only,10,5,0,0.5003,0.4079
real_only,10,6,0,0.6571,0.5287
real_only,10,7,0,0.6482,0.5243
real_only,25,0,0,0.6360,0.5285
real_only,25,1,0,0.6659,0.5330
real_only,25,2,0,0.6194,0.5095
real_only,25,3,0,0.6571,0.5287
real_only,25,4,0,0.6327,0.5164
real_only,25,5,0,0.3307,0.1695
real_only,25,6,0,0.6006,0.4997
real_only,25,7,0,0.6659,0.5330
real_only,50,0,0,0.6648,0.6537
real_only,50,1,0,0.6742,0.6683
real_only,50,2,0,0.6526,0.6396
real_only,50,3,0,0.6687,0.5620
real_only,50,4,0,0.6620,0.6421
real_only,50,5,0,0.6587,0.5366
real_only,50,6,0,0.6659,0.5330
real_only,50,7,0,0.6742,0.6626
noise_aug,10,1,300,0.6659,0.6550
noise_aug,10,2,300,0.6632,0.5331
noise_aug,10,3,300,0.5651,0.5210
noise_aug,10,4,300,0.5651,0.5394
noise_aug,10,5,300,0.5224,0.5046
noise_aug,10,6,300,0.6521,0.5399
noise_aug,10,7,300,0.6139,0.5826
noise_aug,25,0,300,0.6648,0.6537
noise_aug,25,1,300,0.6654,0.6518
noise_aug,25,2,300,0.5740,0.5665
noise_aug,25,3,300,0.6637,0.6524
noise_aug,25,4,300,0.6626,0.6633
noise_aug,25,5,300,0.4715,0.4966
noise_aug,25,6,300,0.6571,0.6480
noise_aug,25,7,300,0.6665,0.6531
noise_aug,50,0,300,0.6593,0.6473
noise_aug,50,1,300,0.6665,0.6668
noise_aug,50,2,300,0.6571,0.6600
noise_aug,50,3,300,0.6576,0.6454
noise_aug,50,4,300,0.6632,0.6642
noise_aug,50,5,300,0.6421,0.6418
noise_aug,50,6,300,0.6609,0.6499
noise_aug,50,7,300,0.6670,0.6562
vae,10,0,300,0.6659,0.5384
vae,10,1,300,0.5945,0.4955
vae,10,2,300,0.6659,0.5330
vae,10,3,300,0.4404,0.3921
vae,10,4,300,0.6399,0.6210
vae,10,5,300,0.6476,0.6423
vae,10,6,300,0.6582,0.6031
vae,10,7,300,0.4886,0.4083
vae,25,0,300,0.6670,0.6558
vae,25,1,300,0.6676,0.6566
vae,25,2,300,0.6055,0.5838
vae,25,3,300,0.7235,0.7004
vae,25,4,300,0.5861,0.5462
vae,25,5,300,0.6449,0.5699
vae,25,6,300,0.6449,0.6321
vae,25,7,300,0.6693,0.6556
vae,50,0,300,0.5778,0.5622
vae,50,1,300,0.6632,0.5580
vae,50,2,300,0.6127,0.5725
vae,50,3,300,0.6665,0.6618
vae,50,4,300,0.6659,0.6652
vae,50,5,300,0.5850,0.5159
vae,50,6,300,0.6615,0.6552
vae,50,7,300,0.6188,0.5870
gan,10,0,300,0.6659,0.5378
gan,10,1,300,0.6659,0.5330
gan,10,2,300,0.6183,0.5087
gan,10,3,300,0.5429,0.4868
gan,10,4,300,0.6626,0.5314
gan,10,5,300,0.7501,0.7373
gan,10,6,300,0.6659,0.5336
gan,10,7,300,0.6659,0.5330
gan,25,0,300,0.6670,0.6555
gan,25,1,300,0.6726,0.6616
gan,25,2,300,0.7590,0.7258
gan,25,3,300,0.6809,0.6718
gan,25,4,300,0.5540,0.5035
gan,25,5,300,0.2942,0.1594
gan,25,6,300,0.4748,0.4246
gan,25,7,300,0.6177,0.5118
gan,50,0,300,0.6637,0.6495
gan,50,1,300,0.6670,0.6675
gan,50,2,300,0.6676,0.6680
gan,50,3,300,0.5601,0.5318
gan,50,4,300,0.6654,0.6616
gan,50,5,300,0.6543,0.5911
gan,50,6,300,0.6066,0.5214
gan,50,7,300,0.6582,0.6453
open_loop_basic,10,0,300,0.3706,0.2593
open_loop_basic,10,1,300,0.3418,0.2095
open_loop_basic,10,2,300,0.3429,0.2054
open_loop_basic,10,3,300,0.3457,0.2400
open_loop_basic,10,4,300,0.3950,0.2752
open_loop_basic,10,5,300,0.4471,0.3544
open_loop_basic,10,6,300,0.4953,0.3874
open_loop_basic,10,7,300,0.3939,0.2887
open_loop_basic,25,0,300,0.5047,0.4194
open_loop_basic,25,1,300,0.5086,0.4087
open_loop_basic,25,2,300,0.5125,0.4245
open_loop_basic,25,3,300,0.5003,0.4015
open_loop_basic,25,4,300,0.5053,0.4266
open_loop_basic,25,5,300,0.5767,0.4860
open_loop_basic,25,6,300,0.4992,0.3996
open_loop_basic,25,7,300,0.4548,0.3535
open_loop_basic,50,0,300,0.5213,0.4332
open_loop_basic,50,1,300,0.6078,0.5051
open_loop_basic,50,2,300,0.5003,0.4272
open_loop_basic,50,3,300,0.5141,0.4337
open_loop_basic,50,4,300,0.5158,0.4553
open_loop_basic,50,5,300,0.5573,0.4737
