baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
phaseA_rule_v2,10,1,469,0.7422,0.7379,0.8255,0.6543,0.7339,"[[265,1,34],[49,176,76],[28,60,273]]"
phaseA_rule_v2,10,2,469,0.8337,0.8359,0.9787,0.7848,0.7442,"[[299,1,0],[5,279,17],[7,130,224]]"
phaseA_rule_v2,10,3,469,0.7370,0.7153,0.8427,0.5625,0.7408,"[[300,0,0],[55,126,120],[57,21,283]]"
phaseA_rule_v2,10,4,469,0.6965,0.7046,0.9431,0.5864,0.5842,"[[282,0,18],[3,185,113],[13,145,203]]"
phaseA_rule_v2,10,5,469,0.6486,0.6458,0.8960,0.6172,0.4241,"[[267,0,33],[23,241,37],[6,239,116]]"
phaseA_rule_v2,10,6,469,0.7412,0.7481,0.9542,0.6789,0.6112,"[[281,2,17],[4,241,56],[4,166,191]]"
phaseA_rule_v2,10,7,469,0.7027,0.7137,0.9485,0.5832,0.6094,"[[276,23,1],[4,198,99],[2,157,202]]"
phaseA_rule_v2,25,0,469,0.7869,0.7866,0.9556,0.6503,0.7540,"[[280,0,20],[6,172,123],[0,56,305]]"
phaseA_rule_v2,25,1,469,0.7869,0.7896,0.9848,0.6488,0.7351,"[[292,0,8],[1,182,118],[0,78,283]]"
phaseA_rule_v2,25,2,469,0.7994,0.8045,0.9851,0.7112,0.7171,"[[298,1,1],[5,234,62],[2,122,237]]"
phaseA_rule_v2,25,3,469,0.7412,0.7282,0.9804,0.5000,0.7043,"[[300,0,0],[3,120,178],[9,59,293]]"
phaseA_rule_v2,25,4,469,0.7744,0.7726,0.9169,0.6850,0.7157,"[[298,0,2],[20,199,82],[32,81,248]]"
phaseA_rule_v2,25,5,469,0.7869,0.7752,0.9865,0.5739,0.7653,"[[292,2,6],[0,134,167],[0,30,331]]"
phaseA_rule_v2,25,6,469,0.7578,0.7355,0.9077,0.5483,0.7506,"[[300,0,0],[29,122,150],[32,22,307]]"
phaseA_rule_v2,25,7,469,0.8430,0.8469,0.9884,0.7651,0.7873,"[[298,0,2],[4,241,56],[1,88,272]]"
phaseA_rule_v2,50,0,469,0.8638,0.8661,0.9950,0.7810,0.8224,"[[300,0,0],[1,230,70],[2,58,301]]"
phaseA_rule_v2,50,1,469,0.8524,0.8560,0.9917,0.7785,0.7977,"[[300,0,0],[3,246,52],[2,85,274]]"
phaseA_rule_v2,50,2,469,0.8680,0.8703,0.9884,0.7921,0.8303,"[[299,0,1],[6,240,55],[0,65,296]]"
phaseA_rule_v2,50,3,469,0.8503,0.8536,0.9885,0.7977,0.7746,"[[300,0,0],[2,274,25],[5,112,244]]"
phaseA_rule_v2,50,4,469,0.8617,0.8649,0.9934,0.7875,0.8140,"[[299,0,1],[0,239,62],[3,67,291]]"
phaseA_rule_v2,50,5,469,0.8617,0.8652,0.9901,0.7937,0.8118,"[[299,0,1],[5,254,42],[0,85,276]]"
phaseA_rule_v2,50,6,469,0.8254,0.8237,0.9657,0.7176,0.7878,"[[296,0,4],[1,188,112],[16,35,310]]"
phaseA_rule_v2,50,7,469,0.8316,0.8295,0.9390,0.7478,0.8017,"[[300,0,0],[18,209,74],[21,49,291]]"
phaseA_llm_k3_v2,10,0,592,0.7464,0.7541,0.9571,0.6218,0.6834,"[[279,15,6],[2,194,105],[2,114,245]]"
phaseA_llm_k3_v2,10,1,592,0.8274,0.8212,0.9933,0.6653,0.8048,"[[297,3,0],[1,165,135],[0,27,334]]"
phaseA_llm_k3_v2,10,2,592,0.8119,0.8177,0.9813,0.7503,0.7213,"[[289,11,0],[0,272,29],[0,141,220]]"
phaseA_llm_k3_v2,10,3,592,0.8254,0.8273,0.9804,0.7291,0.7724,"[[300,0,0],[3,214,84],[9,72,280]]"
phaseA_llm_k3_v2,10,4,592,0.7692,0.7665,0.9693,0.5860,0.7441,"[[284,15,1],[0,155,146],[2,58,301]]"
phaseA_llm_k3_v2,10,5,592,0.7900,0.7965,0.9933,0.7057,0.6905,"[[297,3,0],[0,241,60],[1,138,222]]"
phaseA_llm_k3_v2,10,6,592,0.7547,0.7632,0.9779,0.6685,0.6433,"[[287,12,1],[0,237,64],[0,159,202]]"
phaseA_llm_k3_v2,10,7,592,0.7786,0.7786,0.9761,0.6120,0.7478,"[[286,14,0],[0,168,133],[0,66,295]]"
phaseA_llm_k3_v2,25,0,592,0.7578,0.7648,0.9150,0.6317,0.7476,"[[253,46,1],[0,199,102],[0,84,277]]"
phaseA_llm_k3_v2,25,1,592,0.8056,0.7936,0.9867,0.6059,0.7882,"[[297,3,0],[4,143,154],[1,25,335]]"
phaseA_llm_k3_v2,25,2,592,0.8389,0.8441,0.9933,0.7641,0.7750,"[[296,4,0],[0,251,50],[0,101,260]]"
phaseA_llm_k3_v2,25,3,592,0.7682,0.7751,0.9917,0.6553,0.6784,"[[297,3,0],[1,211,89],[1,129,231]]"
phaseA_llm_k3_v2,25,4,592,0.8306,0.8361,0.9796,0.7473,0.7815,"[[288,12,0],[0,241,60],[0,91,270]]"
phaseA_llm_k3_v2,25,5,592,0.8326,0.8360,0.9934,0.7333,0.7812,"[[299,1,0],[2,220,79],[1,78,282]]"
phaseA_llm_k3_v2,25,6,592,0.7931,0.7696,0.9916,0.5318,0.7854,"[[295,5,0],[0,113,188],[0,6,355]]"
phaseA_llm_k3_v2,25,7,592,0.8389,0.8438,0.9848,0.7582,0.7884,"[[292,8,0],[1,243,57],[0,89,272]]"
phaseA_llm_k3_v2,50,0,592,0.8170,0.8200,0.9901,0.7092,0.7607,"[[300,0,0],[3,211,87],[3,83,275]]"
phaseA_llm_k3_v2,50,1,592,0.8638,0.8675,0.9967,0.7930,0.8128,"[[300,0,0],[2,251,48],[0,81,280]]"
phaseA_llm_k3_v2,50,2,592,0.8534,0.8544,0.9804,0.7645,0.8182,"[[300,0,0],[9,224,68],[3,61,297]]"
phaseA_llm_k3_v2,50,3,592,0.8617,0.8659,0.9967,0.7963,0.8047,"[[299,1,0],[0,258,43],[1,88,272]]"
phaseA_llm_k3_v2,50,4,592,0.8316,0.8345,0.9950,0.7226,0.7860,"[[297,3,0],[0,211,90],[0,69,292]]"
phaseA_llm_k3_v2,50,5,592,0.8295,0.8310,0.9820,0.7805,0.7304,"[[300,0,0],[9,288,4],[2,149,210]]"
phaseA_llm_k3_v2,50,6,592,0.8482,0.8513,0.9983,0.7550,0.8006,"[[300,0,0],[1,225,75],[0,70,291]]"
phaseA_llm_k3_v2,50,7,592,0.8597,0.8624,0.9950,0.7739,0.8182,"[[299,1,0],[2,231,68],[0,64,297]]"
