baseline,n_real,seed,n_syn,acc,f1
open_loop_basic,25,0,416,0.6424,0.5363
open_loop_basic,25,1,416,0.6798,0.6318
open_loop_basic,25,2,416,0.5624,0.4817
open_loop_basic,25,3,416,0.7401,0.7144
open_loop_basic,25,4,416,0.5759,0.5112
open_loop_basic,25,5,416,0.7380,0.7132
open_loop_basic,25,6,416,0.6393,0.5348
open_loop_basic,25,7,416,0.6393,0.6241
open_loop_basic,50,0,416,0.6798,0.6649
open_loop_basic,50,1,416,0.6601,0.5865
open_loop_basic,50,2,416,0.6019,0.5825
open_loop_basic,50,3,416,0.6279,0.6141
open_loop_basic,50,4,416,0.6268,0.5049
open_loop_basic,50,5,416,0.6486,0.5752
open_loop_basic,50,6,416,0.6383,0.5342
open_loop_basic,50,7,416,0.6486,0.6275
open_loop_phys,10,0,450,0.7890,0.7958
open_loop_phys,10,1,450,0.8087,0.8113
open_loop_phys,10,2,450,0.7557,0.7585
open_loop_phys,10,3,450,0.8503,0.8545
open_loop_phys,10,4,450,0.7599,0.7576
open_loop_phys,10,5,450,0.8170,0.8233
open_loop_phys,10,6,450,0.7225,0.7322
open_loop_phys,10,7,450,0.7640,0.7630
open_loop_phys,25,0,450,0.8087,0.8119
open_loop_phys,25,1,450,0.8545,0.8501
open_loop_phys,25,2,450,0.8358,0.8396
open_loop_phys,25,3,450,0.8337,0.8362
open_loop_phys,25,4,450,0.8233,0.8282
open_loop_phys,25,5,450,0.8067,0.8067
open_loop_phys,25,6,450,0.7879,0.7706
open_loop_phys,25,7,450,0.7983,0.8047
open_loop_phys,50,0,450,0.8254,0.8281
open_loop_phys,50,1,450,0.8659,0.8693
open_loop_phys,50,2,450,0.8794,0.8830
open_loop_phys,50,3,450,0.8597,0.8632
open_loop_phys,50,4,450,0.8649,0.8691
open_loop_phys,50,5,450,0.8534,0.8577
open_loop_phys,50,6,450,0.8295,0.8347
open_loop_phys,50,7,450,0.8202,0.8241
stats_only,10,0,253,0.6819,0.6820
stats_only,10,1,253,0.7235,0.7198
stats_only,10,2,253,0.8035,0.8102
stats_only,10,3,253,0.7308,0.7301
stats_only,10,4,253,0.7006,0.6977
stats_only,10,5,253,0.7256,0.7186
stats_only,10,6,253,0.6985,0.7048
stats_only,10,7,253,0.6923,0.6908
stats_only,25,0,253,0.8035,0.8073
stats_only,25,1,253,0.7765,0.7596
stats_only,25,2,253,0.8015,0.8040
stats_only,25,3,253,0.7391,0.7402
stats_only,25,4,253,0.7630,0.7627
stats_only,25,5,253,0.7152,0.7187
stats_only,25,6,253,0.7734,0.7538
stats_only,25,7,253,0.8306,0.8326
stats_only,50,0,253,0.8337,0.8327
stats_only,50,1,253,0.8597,0.8637
stats_only,50,2,253,0.8586,0.8600
stats_only,50,3,253,0.7942,0.7950
stats_only,50,4,253,0.8170,0.8222
stats_only,50,5,253,0.8285,0.8299
stats_only,50,6,253,0.8067,0.8105
stats_only,50,7,253,0.8160,0.8183
envelope_only,10,0,442,0.7505,0.7608
envelope_only,10,1,442,0.8254,0.8095
envelope_only,10,2,442,0.8067,0.8123
envelope_only,10,3,442,0.8441,0.8485
envelope_only,10,4,442,0.7661,0.7692
envelope_only,10,5,442,0.8254,0.8311
envelope_only,10,6,442,0.7713,0.7780
envelope_only,10,7,442,0.7817,0.7831
envelope_only,25,0,442,0.8056,0.8110
envelope_only,25,1,442,0.8514,0.8442
envelope_only,25,2,442,0.8378,0.8424
envelope_only,25,3,442,0.8077,0.8076
envelope_only,25,4,442,0.8472,0.8478
envelope_only,25,5,442,0.8181,0.8207
envelope_only,25,6,442,0.7713,0.7581
envelope_only,25,7,442,0.8046,0.8106
envelope_only,50,0,442,0.8503,0.8466
envelope_only,50,1,442,0.8441,0.8459
envelope_only,50,2,442,0.8617,0.8646
envelope_only,50,3,442,0.8597,0.8637
envelope_only,50,4,442,0.8586,0.8631
envelope_only,50,5,442,0.8545,0.8591
envelope_only,50,6,442,0.8326,0.8375
envelope_only,50,7,442,0.7900,0.7947
breeze_k0,10,0,160,0.6944,0.6987
breeze_k0,10,1,389,0.6642,0.6607
breeze_k0,10,2,431,0.7256,0.7247
breeze_k0,10,3,311,0.8004,0.8028
breeze_k0,10,4,319,0.6736,0.6750
breeze_k0,10,5,173,0.7173,0.7110
breeze_k0,10,6,254,0.7339,0.7314
breeze_k0,10,7,218,0.6985,0.7088
breeze_k0,25,0,463,0.7859,0.7929
breeze_k0,25,1,336,0.8191,0.8206
breeze_k0,25,2,422,0.8285,0.8322
breeze_k0,25,3,400,0.7890,0.7887
breeze_k0,25,4,519,0.7807,0.7865
breeze_k0,25,5,523,0.7848,0.7766
breeze_k0,25,6,466,0.7775,0.7601
breeze_k0,25,7,536,0.8337,0.8380
breeze_k0,50,0,568,0.8337,0.8352
breeze_k0,50,1,556,0.8056,0.8118
breeze_k0,50,2,523,0.8617,0.8635
breeze_k0,50,3,485,0.8202,0.8207
breeze_k0,50,4,526,0.8514,0.8482
breeze_k0,50,5,565,0.8212,0.8256
breeze_k0,50,6,581,0.8046,0.8001
breeze_k0,50,7,600,0.8607,0.8618
breeze_k1,10,0,213,0.6590,0.6621
breeze_k1,10,1,417,0.7547,0.7453
breeze_k1,10,2,446,0.7131,0.7122
breeze_k1,10,3,382,0.8150,0.8166
breeze_k1,10,4,364,0.7131,0.7149
breeze_k1,10,5,229,0.7412,0.7437
breeze_k1,10,6,277,0.8119,0.8188
breeze_k1,10,7,274,0.6538,0.6661
breeze_k1,25,0,519,0.8035,0.8016
breeze_k1,25,1,404,0.8410,0.8374
breeze_k1,25,2,474,0.7848,0.7874
breeze_k1,25,3,474,0.7578,0.7614
breeze_k1,25,4,531,0.8233,0.8274
breeze_k1,25,5,555,0.8004,0.8049
breeze_k1,25,6,490,0.8004,0.7794
breeze_k1,25,7,599,0.7900,0.7959
breeze_k1,50,0,600,0.6601,0.6248
breeze_k1,50,1,600,0.8358,0.8399
breeze_k1,50,2,568,0.8555,0.8581
breeze_k1,50,3,524,0.8254,0.8290
breeze_k1,50,4,569,0.8555,0.8600
breeze_k1,50,5,600,0.8368,0.8414
breeze_k1,50,6,600,0.8514,0.8544
breeze_k1,50,7,600,0.8586,0.8610
breeze_k2,10,0,243,0.6601,0.6563
breeze_k2,10,1,418,0.7339,0.7361
breeze_k2,10,2,459,0.7422,0.7445
breeze_k2,10,3,436,0.7994,0.8034
breeze_k2,10,4,404,0.7505,0.7500
breeze_k2,10,5,277,0.7568,0.7613
breeze_k2,10,6,293,0.5956,0.5690
breeze_k2,10,7,321,0.7183,0.7291
breeze_k2,25,0,569,0.7412,0.7512
breeze_k2,25,1,460,0.8067,0.8076
breeze_k2,25,2,535,0.7775,0.7810
breeze_k2,25,3,540,0.7609,0.7660
breeze_k2,25,4,554,0.7630,0.7707
breeze_k2,25,5,585,0.8035,0.7970
breeze_k2,25,6,508,0.7848,0.7645
breeze_k2,25,7,600,0.7807,0.7886
breeze_k2,50,0,600,0.7859,0.7844
