n_real,baseline,breeze_mean,other_mean,delta,p_wilcoxon
10,real_only,0.7283,0.64465,0.08365,0.0234375
10,noise_aug,0.7283,0.6991875,0.029112499999999986,0.4609375
10,vae,0.7283,0.6820625,0.04623749999999993,0.3828125
10,gan,0.7283,0.7179125,0.010387499999999994,1.0
10,vae_fs,0.7283,0.6298125,0.09848749999999995,0.0546875
10,gan_fs,0.7283,0.7109,0.01739999999999997,0.7421875
10,open_loop_basic,0.7283,0.3971,0.33119999999999994,0.0078125
10,open_loop_phys,0.7283,0.7833874999999999,-0.055087499999999956,0.078125
10,stats_only,0.7283,0.7195875,0.008712499999999901,0.7421875
10,envelope_only,0.7283,0.7964,-0.06810000000000005,0.015625
10,breeze_k0,0.7283,0.7134874999999999,0.014812500000000006,0.1796875
10,breeze_k1,0.7283,0.732725,-0.004425000000000012,1.0
10,breeze_k2,0.7283,0.7196,0.00869999999999993,0.7421875
25,real_only,0.7844375,0.7370000000000001,0.04743749999999991,0.0390625
25,noise_aug,0.7844375,0.8225125,-0.03807499999999997,0.1953125
25,vae,0.7844375,0.760525,0.023912500000000003,0.1484375
25,gan,0.7844375,0.7850999999999999,-0.0006624999999998993,0.9765625
25,vae_fs,0.7844375,0.754675,0.029762500000000025,0.2421875
25,gan_fs,0.7844375,0.75545,0.028987500000000055,0.4609375
25,open_loop_basic,0.7844375,0.65215,0.1322875,0.0078125
25,open_loop_phys,0.7844375,0.8186125,-0.034174999999999955,0.0390625
25,stats_only,0.7844375,0.77535,0.009087500000000026,0.5234375
25,envelope_only,0.7844375,0.8179625,-0.03352500000000003,0.0390625
25,breeze_k0,0.7844375,0.7999,-0.015462500000000046,0.078125
25,breeze_k1,0.7844375,0.80015,-0.015712500000000018,0.25
25,breeze_k2,0.7844375,0.7772874999999999,0.007150000000000101,0.1796875
50,real_only,0.831725,0.7885875,0.04313750000000005,0.0078125
50,noise_aug,0.831725,0.8616250000000001,-0.029900000000000038,0.0234375
50,vae,0.831725,0.83135,0.0003750000000000142,0.640625
50,gan,0.831725,0.8483624999999999,-0.01663749999999986,0.078125
50,vae_fs,0.831725,0.8104125,0.021312500000000068,0.25
50,gan_fs,0.831725,0.845375,-0.01364999999999994,0.265625
50,open_loop_basic,0.831725,0.6415,0.1902250000000001,0.0078125
50,open_loop_phys,0.831725,0.8498000000000001,-0.018075000000000063,0.109375
50,stats_only,0.831725,0.8268,0.004925000000000068,0.484375
50,envelope_only,0.831725,0.8439375,-0.01221249999999996,0.25
50,breeze_k0,0.831725,0.8323875000000001,-0.0006625000000000103,0.9375
50,breeze_k1,0.831725,0.8223875,0.009337499999999999,0.1796875
50,breeze_k2,0.831725,0.8380875000000001,-0.006362500000000049,0.1484375
