cond,split,class,n,pass_rate,fail_sanity,fail_stats_union,fail_soft_spectrum,fail_psd_w1,fail_envelope_multi,fail_vector_mcsa
N09_M07_F10,train,healthy,1200,0.7125,0,5,41,24,298,0
N09_M07_F10,train,OR,1202,0.9442595673876872,0,12,31,24,6,0
N09_M07_F10,train,IR,1444,0.9570637119113573,0,9,30,26,6,0
N09_M07_F10,test,healthy,300,0.68,0,3,17,2,83,0
N09_M07_F10,test,OR,301,0.8372093023255814,0,1,35,22,2,0
N09_M07_F10,test,IR,361,0.9085872576177285,0,11,15,16,4,0
N15_M01_F10,train,healthy,1203,0.7049044056525353,0,13,32,25,307,0
N15_M01_F10,train,OR,1204,0.9501661129568106,0,6,31,28,3,0
N15_M01_F10,train,IR,1446,0.9564315352697096,0,8,33,24,3,0
N15_M01_F10,test,healthy,300,0.6966666666666667,0,3,8,7,79,0
N15_M01_F10,test,OR,300,0.93,0,14,6,3,0,0
N15_M01_F10,test,IR,361,0.9556786703601108,0,0,12,4,0,0
N15_M07_F04,train,healthy,1202,0.6938435940099834,0,16,35,34,315,0
N15_M07_F04,train,OR,1201,0.9542048293089093,0,6,31,24,1,0
N15_M07_F04,train,IR,1447,0.9647546648237734,0,2,30,26,2,0
N15_M07_F04,test,healthy,300,0.7666666666666667,0,4,6,1,61,0
N15_M07_F04,test,OR,300,0.9033333333333333,0,0,13,24,0,0
N15_M07_F04,test,IR,360,0.9833333333333333,0,0,4,2,0,0
N15_M07_F10,train,healthy,1200,0.6958333333333333,0,5,30,24,328,0
N15_M07_F10,train,OR,1200,0.9441666666666667,0,4,29,38,1,0
N15_M07_F10,train,IR,1441,0.9590562109646079,0,8,33,24,0,0
N15_M07_F10,test,healthy,301,0.6777408637873754,0,1,13,3,86,0
N15_M07_F10,test,OR,301,0.7973421926910299,0,1,44,36,0,0
N15_M07_F10,test,IR,362,0.9116022099447514,0,8,24,3,0,0
